001 第一卷　　楚國無以為寶，惟善以為寶
002 第二卷　　子路問強
003 第三卷　　公冶長可妻也，雖在縲紲之中，非其罪也
004 第四卷　　宰予晝寢
005 第五卷　　孔文子何以謂之文也
006 第六卷　　臧文仲居蔡
007 第七卷　　令尹子文三仕為令尹
008 第八卷　　孰謂微生高直
009 第九卷　　原思為之宰與之粟九百辭
010 第十卷　　有澹台滅明者
011 第十一卷　　孝哉閔子騫
012 第十二卷　　葉公問政
013 第十三卷　　羿善射
014 第十四卷　　卞莊子之勇
015 第十五卷　　直哉史魚
016 第十六卷　　伯夷叔齊餓於首陽之下
017 第十七卷　　柳下惠為士師
018 第十八卷　　齊人歸女樂季桓子受之
019 第十九卷　　管仲以其君霸
020 第二十卷　　王歡朝暮見
021 第二十一卷　　段乾木逾垣而避之
022 第二十二卷　　墨氏兼愛
023 第二十三卷　　陳仲子豈不誠廉士哉
024 第二十四卷　　公輸子之巧
025 第二十五卷　　師曠之聰
026 第二十六卷　　淳於髡日
027 第二十七卷　　子產聽鄭國之政
028 第二十八卷　　逢蒙學射於羿
029 第二十九卷　　匡章通國皆稱不孝焉
030 第三十卷　　伊尹相湯
031 第三十一卷　　百里奚自鬻於秦
032 第三十二卷　　易牙先得我口之所嗜者也
033 第三十三卷　　奕秋通國之善奕者也
034 第三十四卷　　秦穆公用之而霸
035 第三十五卷　　王豹處於淇
036 第三十六卷　　華周杞梁之妻善哭其夫而變國俗
037 第三十七卷　　孫叔敖舉於海
038 第三十八卷　　楊子取為我
039 第三十九卷　　晉人有馮婦者
040 第四十卷　　若太公望散宜生則見而知之
