000 序
001 第一回　　看得倫理真　寫出奸徒幻
002 第二回　　千金苦不易　一死曲伸冤
003 第三回　　情詞無可逗　羞殺抱琵琶
004 第四回　　設計去姑易　買舟送父難
005 第五回　　烈士殉君難　書生得女貞
006 第六回　　冰心還獨抱　惡計枉教施
007 第七回　　生報花萼恩　死謝徐海義
008 第八回　　義僕還自守　浪子寧不回
009 第九回　　淫婦情可誅　俠士心當宥
010 第十回　　千秋盟友誼　雙璧返他鄉
011 第十一回　　捐金非有意　得地豈無心
012 第十二回　　坐懷能不亂　秉正自無偏
013 第十三回　　匿頭計占紅顏　發棺立蘇呆婿
014 第十四回　　郎材莫與匹　女識更無雙
015 第十五回　　劫庫機雖巧　擒凶智倍神
016 第十六回　　見白鏹失義　因雀引鳴冤
017 第十七回　　八兩殺二命　一雷誅七凶
018 第十八回　　奇顛清俗累　仙術動朝廷
019 第十九回　　血指害無辜　金冠雪枉法
020 第二十回　　良緣狐作合　伉儷草能偕
021 第二十一回　　夫妻還假合　朋友卻真緣
022 第二十二回　　藏珠符可護　貪色檄能誅
023 第二十三回　　猴冠欺御史　皮相顯真人
024 第二十四回　　冤家原自結　兒女債須還
025 第二十五回　　緣投波浪裡　恩向小窗親
026 第二十六回　　院裡花空憶　湖頭計更奸
027 第二十七回　　為傳花月道　貫講差使書
028 第二十八回　　修齋邀紫綬　說法騙紅裙
029 第二十九回　　淫貪皆有報　僧俗總難逃
030 第三十回　　竊篆心雖巧　完璧計尤神
