001 三遂平妖傳 5564 第一回 　　胡員外典當得仙畫　張院君焚畫產永兒
002 三遂平妖傳 5565 第二回 　　胡永兒大雪買炊餅　聖姑姑傳授玄女法
003 三遂平妖傳 5566 第三回 　　胡永兒試變錢米法　胡員外怒燒如意冊
004 三遂平妖傳 5567 第四回 　　胡永兒剪草為馬　胡永兒撒豆成兵
005 三遂平妖傳 5568 第五回 　　胡員外女嫁憨哥　胡永兒私走鄭州
006 三遂平妖傳 5569 第六回 　　胡永兒客店變異相　卜客長赴永兒落井
007 三遂平妖傳 5570 第七回 　　八角井卜吉遇聖姑姑　獻金鼎刺配卜吉密州
008 三遂平妖傳 5571 第八回 　　野林中張鸞救卜吉　山神廟張鸞賞雙月
009 三遂平妖傳 5572 第九回 　　左瘸師買餅誘任遷　任吳張怒趕左瘸師
010 三遂平妖傳 5573 第十回 　　莫坡寺瘸師入佛肚　任吳張夢授永兒法
011 三遂平妖傳 5574 第十一回 　　彈子和尚攝善王錢　杜七聖法術剁孩兒
012 三遂平妖傳 5575 第十二回 　　包龍圖下令捉妖僧　李二哥首妖遭跌死
013 三遂平妖傳 5576 第十三回 　　永兒賣泥燭誘工則　聖姑姑教王則謀反
014 三遂平妖傳 5577 第十四回 　　左瘸師散錢米招軍　王則被官司拿下獄
015 三遂平妖傳 5578 第十五回 　　瘸師救王則禁諸人　劉彥威領兵收王則
016 三遂平妖傳 5579 第十六回 　　王則領眾貝州造反　永兒率兵擄掠郡邑
017 三遂平妖傳 5580 第十七回 　　文彥博領兵下貝州　曹招討血筒破妖法
018 三遂平妖傳 5581 第十八回 　　左瘸師飛磨打潞公　多目神救潞公獻策
019 三遂平妖傳 5582 第十九回 　　文彥博偶遇諸葛遂　李魚羹獻計擒王則
020 三遂平妖傳 5583 第二十回 　　貝州城碎剮眾妖人　文招討平妖轉東京
