001 九命奇冤 4017 第一回 　　亂哄哄強盜作先聲　慢悠悠閒文標引首
002 九命奇冤 4018 第二回 　　廣源店股東拆股　馬鞍街星士談星
003 九命奇冤 4019 第三回 　　接京函陳大人賣關節　除孝服凌貴興考鄉科
004 九命奇冤 4020 第四回 　　盼鄉榜焦心似沸　講風水信口開河
005 九命奇冤 4021 第五回 　　論柴米家庭現醜態　恣鼓簧中表動爭端
006 九命奇冤 4022 第六回 　　鼠牙雀角宗孔穿墉　虎噬狼吞爵興設計
007 九命奇冤 4023 第七回 　　假三千債搶三百銀強徒得意　打五巴掌換五擔米鄉老便宜
008 九命奇冤 4024 第八回 　　明恩怨夫妻大鬧　盡慈孝母子傷心
009 九命奇冤 4025 第九回 　　贈衣銀賢母憐貧　縊羅巾淑媛謝世
010 九命奇冤 4026 第十回 　　遇重喪惡棍大遭殃　代和事好徒快中飽
011 九命奇冤 4027 第十一回 　　裕耕堂一場惡鬧　區爵興兩次私肥
012 九命奇冤 4028 第十二回 　　黃千總有意縱強徒　凌貴興親身行搶劫
013 九命奇冤 4029 第十三回 　　爵興宗孔雙薦凶徒　葉盛簡當一場敗北
014 九命奇冤 4030 第十四回 　　三德號大有定奇謀　裕耕堂爵興詐酬謝
015 九命奇冤 4031 第十五回 　　堂前設惡誓大有劫盟　窗外聽私言張鳳報信
016 九命奇冤 4032 第十六回 　　區爵興當筵儼行軍令　凌祈伯臨陣卻用火攻
017 九命奇冤 4033 第十七回 　　聞凶耗梁天來氣死　破石室黃知縣驗屍
018 九命奇冤 4034 第十八回 　　張阿鳳挺身作證　施智伯仗義謄詞
019 九命奇冤 4035 第十九回 　　憤奇冤天來初告狀　行重賄勒先訪官親
020 九命奇冤 4036 第二十回 　　簡勒先智使舅老爺　殷孺人大鬧黃知縣
021 九命奇冤 4037 第二十一回 　　千金且向閨中送　八命初沉海底冤
022 九命奇冤 4038 第二十二回 　　輕財色張阿鳳拒贓　買珠釧鮑師爺受賄
023 九命奇冤 4039 第二十三回 　　劉太守誤聽一席話　焦按察故沉九命冤
024 九命奇冤 4040 第二十四回 　　施智伯發議天和行　凌貴興夜宿巡撫衙
025 九命奇冤 4041 第二十五回 　　折毛錐智伯辭陽世　聽童謠制台察冤情
026 九命奇冤 4042 第二十六回 　　楊巡捕勇擒大有　孔制台夜審喜來
027 九命奇冤 4043 第二十七回 　　一道旨調去兩廣督　十萬金再沉九命冤
028 九命奇冤 4044 第二十八回 　　大張華筵偏是幸災樂禍　傳來警信頓教膽戰心驚
029 九命奇冤 4045 第二十九回 　　妙算無遺爵興再點將　屬垣有耳阿七聽私言
030 九命奇冤 4046 第三十回 　　拐鉅款喜來遁跡　進京都爵興登程
031 九命奇冤 4047 第三十一回 　　眷懷故舊蔡顯洪贈金　憐憫奇冤蘇沛之仗義
032 九命奇冤 4048 第三十二回 　　梁天來度嶺走長途　林大有書房獻密計
033 九命奇冤 4049 第三十三回 　　探案情沛之入虎穴　擬行賄李豐走江西
034 九命奇冤 4050 第三十四回 　　林大有平空被捕　凌貴興黑夜遭擒
035 九命奇冤 4051 第三十五回 　　下監牢強徒納悶　自出首李豐獻謀
036 九命奇冤 4052 第三十六回 　　留後嗣原告代求恩　定罪名欽差結冤案
