001 二刻拍案驚奇 3859 第一卷 　　進香客莽看金剛經　出獄僧巧完法會分
002 二刻拍案驚奇 3860 第二卷 　　小道人一著饒天下　女棋童兩局注終身
003 二刻拍案驚奇 3861 第三卷 　　權學士權認遠鄉姑　白孺人白嫁親生女
004 二刻拍案驚奇 3862 第四卷 　　青樓市探人蹤　紅花場假鬼鬧
005 二刻拍案驚奇 3863 第五卷 　　襄敏公元宵失子　十三郎五歲朝天
006 二刻拍案驚奇 3864 第六卷 　　李將軍錯認舅　劉氏女詭從夫
007 二刻拍案驚奇 3865 第七卷 　　呂使者情媾宦家妻　吳太守義配儒門女
008 二刻拍案驚奇 3866 第八卷 　　沈將仕三千買笑錢　王朝議一夜迷魂陣
009 二刻拍案驚奇 3867 第九卷 　　莽兒郎驚散新鶯燕　㑳梅香認合玉蟾蜍
010 二刻拍案驚奇 3868 第十卷 　　趙五虎合計挑家釁　莫大郎立地散神奸
011 二刻拍案驚奇 3869 第十一卷 　　滿少卿饑附飽颺　焦文姬生讎死報
012 二刻拍案驚奇 3870 第十二卷 　　硬勘案大儒爭閒氣　甘受刑俠女著芳名
013 二刻拍案驚奇 3871 第十三卷 　　鹿胎庵客人作寺主　剡溪里舊鬼借新屍
014 二刻拍案驚奇 3872 第十四卷 　　趙縣君喬送黃柑　吳宣教乾償白鏹
015 二刻拍案驚奇 3873 第十五卷 　　韓侍郎婢作夫人　顧提控掾居郎署
016 二刻拍案驚奇 3874 第十六卷 　　遲取券毛烈賴原錢　失還魂牙僧索剩命
017 二刻拍案驚奇 3875 第十七卷 　　同窗友認假作真　女秀才移花接木
018 二刻拍案驚奇 3876 第十八卷 　　甄監生浪吞秘藥　春花婢誤洩風情
019 二刻拍案驚奇 3877 第十九卷 　　田舍翁時時經理　牧童兒夜夜尊榮
020 二刻拍案驚奇 3878 第二十卷 　　賈廉訪贗行府牒　商功父陰攝江巡
021 二刻拍案驚奇 3879 第二十一卷 　　許蔡院感夢擒僧　王氏子因風獲盜
022 二刻拍案驚奇 3880 第二十二卷 　　癡公子狠使噪脾錢　賢丈人巧賺回頭婿
023 二刻拍案驚奇 3881 第二十三卷 　　大姊魂遊完宿願　小姨病起續前緣
024 二刻拍案驚奇 3882 第二十四卷 　　庵內看惡鬼善神　井中譚前因後果
025 二刻拍案驚奇 3883 第二十五卷 　　徐茶酒乘鬧劫新人　鄭蕊珠鳴冤完舊案
026 二刻拍案驚奇 3884 第二十六卷 　　懵教官愛女不受報　窮庠生助師得令終
027 二刻拍案驚奇 3885 第二十七卷 　　偽漢裔奪妾山中　假將軍還姝江上
028 二刻拍案驚奇 3886 第二十八卷 　　程朝奉單遇無頭婦　王通判雙雪不明冤
029 二刻拍案驚奇 3887 第二十九卷 　　贈芝麻識破假形　擷草藥巧諧真偶
030 二刻拍案驚奇 3888 第三十卷 　　瘞遺骸王玉英配夫　償聘金韓秀才贖子
031 二刻拍案驚奇 3889 第三十一卷 　　行孝子到底不簡屍　殉節婦留待雙出柩
032 二刻拍案驚奇 3890 第三十二卷 　　張福娘一心貞守　朱天錫萬里符名
033 二刻拍案驚奇 3891 第三十三卷 　　楊抽馬甘請杖　富家郎浪受驚
034 二刻拍案驚奇 3892 第三十四卷 　　任君用恣樂深閨　楊太尉戲宮館客
035 二刻拍案驚奇 3893 第三十五卷 　　錯調情賈母詈女　誤告狀孫郎得妻
036 二刻拍案驚奇 3894 第三十六卷 　　王漁翁捨鏡崇三寶　白水僧盜物喪雙生
037 二刻拍案驚奇 3895 第三十七卷 　　疊居奇程客得助　三救厄海神顯靈
038 二刻拍案驚奇 3896 第三十八卷 　　兩錯認莫大姐私奔　再成交楊二郎正本
039 二刻拍案驚奇 3897 第三十九卷 　　神偷寄興一枝梅　俠盜慣行三昧戲
