001 第一回　　錢月英酬神還願　馮子清誤入桃園
002 第二回　　贈金扇馮旭得意　拜天地翠秀許婚
003 第三回　　遊西湖林璋遇故　賣寶劍馬雲逢凶
004 第四回　　馬雲大鬧五柳園　湯彪仗義贈金帛
005 第五回　　真才子走筆成章　假斯文揉碎肚腸
006 第六回　　姚夏封廣陵風鑒　常萬青南海朝山
007 第七回　　朱翰林代為月老　馮子清聘定月英
008 第八回　　魏家婦人前賣俏　花文芳黑夜逾牆
009 第九回　　魏臨川於中取利　花文芳將計就計
010 第十回　　書房內明修棧道　牆頭上暗渡陳倉
011 第十一回　　武宗爺親點主考　花榮玉相府詳夢
012 第十二回　　林正國觸奸投水　徐弘基進香還朝
013 第十三回　　定國公早朝上本　林正國權為西賓
014 第十四回　　魏臨川暗使毒計　馮子清明受災殃
015 第十五回　　春英無辜遭毒手　季坤黑夜暗行兇
016 第十六回　　花文芳面囑知縣　孫文進性直秉公
017 第十七回　　三學生員遞公呈　知縣緝拿魏臨川
018 第十八回　　孫文進復審人命　魏臨川花府潛身
019 第十九回　　生員聚眾鬧轅門　巡撫都堂強斷婚
020 第二十回　　馮旭受刑認死罪　百姓罷市留青天
021 第二十一回　　羅太守安撫百姓　孫知縣復任錢塘
022 第二十二回　　馮子清錢塘起解　錢文山哭別舟中
023 第二十三回　　季坤奉主命差遣　花能黑夜裏放火
024 第二十四回　　有憐定計害臨川　月英家門帶姑孝
025 第二十五回　　花文芳納綵行聘　錢月英認義姊妹
026 第二十六回　　錢月英改妝避禍　文芳開宴款家人
027 第二十七回　　季坤仗義釋馮旭　有憐智謀賺崔氏
028 第二十八回　　使假銀暗中奸計　公堂上明受非刑
029 第二十九回　　趙翠秀代主替嫁　花有憐姦拐紅顏
030 第三十回　　假小姐閨中哭別　真公子婚娶新人
031 第三十一回　　花文芳愛色被殺　趙翠秀為主報仇
032 第三十二回　　錢林聞信忙奔走　童仁飛報進都城
033 第三十三回　　都堂飛馬閉城門　知縣踏看定真假
034 第三十四回　　孫文進通詳咨部　花榮玉火速行文
035 第三十五回　　假小姐市曹行刑　真丈夫法場劫犯
036 第三十六回　　劫法場英雄顯武　調官兵追趕逃人
037 第三十七回　　烏金鎮瓦打英雄　劉家莊夜鬧官兵
038 第三十八回　　觀音點化常萬青　馬傑調兵捉壯士
039 第三十九回　　金山寺總鎮司將　揚子江英雄交鋒
040 第四十回　　萬青被擒解杭州　飛鵬甘露逢舊友
041 第四十一回　　釣魚臺英雄聚義　丹陽縣夜劫犯人
042 第四十二回　　馬傑提兵追壯士　英雄踏水奪行舟
043 第四十三回　　花榮玉哭奏天子　東方白鎖解京都
044 第四十四回　　三法司勘問東方白　地方官搜擒錢月英
045 第四十五回　　功臣廟潛身避禍　迎風山姐妹遭兇
046 第四十六回　　常萬青路見不平　董天雄惡盈受戮
047 第四十七回　　花有憐身入相府　沈廷芳花園得意
048 第四十八回　　沈廷芳獨佔崔氏　姚夏封入贅東床
049 第四十九回　　花有憐智誘林旭　姚蕙蘭誤入圈套
050 第五十回　　沈義芳貪淫被戮　姚蕙蘭斧劈奸徒
051 第五十一回　　沈白清濫刑錯斷　林子清屈招認罪
052 第五十二回　　沈白清出詳各憲　姚夏封得信探監
053 第五十三回　　護國寺奸僧造孽　馬文山誤陷土牢
054 第五十四回　　武宗爺私遊玩月　林正國幸遇明君
055 第五十五回　　奉聖旨謁相辭閣　察民情理屈伸冤
056 第五十六回　　姚夏封赴水投狀　林經略行牌准投
057 第五十七回　　假老虎惡貫滿盈　真老虎與民除害
058 第五十八回　　三鳥飛鳴冤屈狀　二禿被害命強姦
059 第五十九回　　赴市曹奸僧梟首　暗探訪私渡黃河
060 第六十回　　林公月下准鬼狀　臬司令箭催行刑
061 第六十一回　　姚夏封法場活祭　林經略暗進淮城
062 第六十二回　　林經略行香宿廟　府城隍各案顯靈
063 第六十三回　　馮旭解轅見母舅　林璋出票提有憐
064 第六十四回　　林公釋放許成龍　經略正法桑剝皮
065 第六十五回　　經略拜本進京都　廷芳計害花有憐
066 第六十六回　　林經略判出奇冤　崔氏婦路遇對頭
067 第六十七回　　林經略開棺驗傷　崔氏婦當堂受刑
068 第六十八回　　林大人二次開棺　宋朝英轅門聽審
069 第六十九回　　易道清立斃杖下　陳武氏得放歸家
070 第七十回　　林公嚴刑拷淫婦　崔氏受刑吐真情
071 第七十一回　　沈廷芳潛身內院　宋臬司當堂受刑
072 第七十二回　　天子見表心不悅　林公失陷護國寺
073 第七十三回　　湯彪急調海州兵　林璋初請上方劍
074 第七十四回　　林公火焚護國寺　公差受比捉廷芳
075 第七十五回　　沈廷芳逃走被獲　林經略勘問真情
076 第七十六回　　沈廷芳供出真情　林經略結清各案
077 第七十七回　　沈廷芳杖下立斃　劉尚書痛哭姨姪
078 第七十八回　　林正國掛印征西　馮子清獨佔鰲頭
079 第七十九回　　結絲羅兩國相好　獻降書元帥班師
080 第八十回　　受皇恩一門富貴　加封贈五美團圓
