001 第一回　　南天國差臣進表　平西王夜宴觀星
002 第二回　　包公奉旨詔英雄　五虎興兵臨敵境
003 第三回　　狄元帥以眾攻關　張將軍臨陣斬將
004 第四回　　段小姐誇能演術　飛山虎逞勇交兵
005 第五回　　飛山虎出敵被擒　段小姐靈符迷將
006 第六回　　被迷執家將留神　遭大難劉慶得救
007 第七回　　鬥法寶大敗紅玉　施異術議陷家將
008 第八回　　困高山家將驚惶　越險地劉張討戰
009 第九回　　孫總兵有心陷將　楊文廣不意拿奸
010 第十回　　露機謀傳書得禍　明陷阱奏本伸冤
011 第十一回　　聞被困議將解圍　憶離情專心訓子
012 第十二回　　到汴樑弟兄同忠　當金殿太君陳兵
013 第十三回　　平西後楊府托兒　範樞密三關調將
014 第十四回　　王夫人奉旨興師　孫總兵背君投敵
015 第十五回　　楊文廣奉命探山　段紅玉施法取勝
016 第十六回　　沙場布陣困英雄　鋒鏑中婚思小將
017 第十七回　　段小姐暗問心口　狄公子假訂姻緣
018 第十八回　　段小姐謊詞哄母　終南山真偈規徒
019 第十九回　　段小姐移回宋營　狄公子羞慚女將
020 第二十回　　出高山宋帥責兒　逢勁敵段洪憶女
021 第二十一回　　南蠻王收錄逃臣　王禪師開兵提將
022 第二十二回　　王懷女助戰得勝　王和尚布陣逞能
023 第二十三回　　純陽陣拿捉宋將　報異夢明傳武曲
024 第二十四回　　祈神祗翁媳相逢　因情義金蘭助力
025 第二十五回　　議破陣金蘭同志　計劫營段洪失機
026 第二十六回　　施巧計蘭英斬僧　中機謀段洪降宋
027 第二十七回　　老南將真誠降宋　少蠻女私訂良緣
028 第二十八回　　王蘭英背義奪關　狄元帥正軍斬子
029 第二十九回　　宋將軍脫難回營　段小姐單身探穴
030 第三十回　　大金環中術被誅　段紅玉奪山救將
031 第三十一回　　慶洞房恩成虛願　露緣故愛反為仇
032 第三十二回　　王蘭英勸父歸宋　段紅玉興兵討仇
033 第三十三回　　紅玉敗走竹枝山　王凡歸降狄元帥
034 第三十四回　　狄元帥計斬孟浩　達摩祖毒陷宋軍
035 第三十五回　　鬼谷師遺丹救將　狄公子奉令招安
036 第三十六回　　再投宋紅玉完婚　施毒泉道人傷將
037 第三十七回　　救三軍女將求泉　活生靈龍神運水
038 第三十八回　　獲私書奸謀盡露　拜戰本旨意參詳
039 第三十九回　　包龍圖登臺選將　楊金花奪帥逞能
040 第四十回　　當金殿三傑領兵　施法寶群英獻技
041 第四十一回　　排八卦收除蟒怪　度昆崙剿滅蠻王
042 第四十二回　　獲叛臣奏凱班師　誅佞賊榮封眾將
