001 第一回　　賑民饑包公奉旨　圖謀害龐相施計
002 第二回　　孫兵部到關權理　狄元帥奉旨征西
003 第三回　　火叉崗焦先鋒問路　安平關禿總兵陣亡
004 第四回　　正平關焦廷貴大敗　單單國禿天虎原因
005 第五回　　禿總兵生擒二將　狄元帥認錯求和
006 第六回　　石郡馬沙場斬將　多花女雪恨興兵
007 第七回　　狄元帥求和受辱　烏麻海中箭身亡
008 第八回　　巴三奈堅守石亭　八寶女興師議敵
009 第九回　　乾坤索生擒宋將　石亭關大破南兵
010 第十回　　狄元帥出關迎敵　八寶女上陣牽情
011 第十一回　　狄元帥被提下囚牢　八寶女克敵思佳偶
012 第十二回　　美公主得勝班師　硬將軍斷頭不降
013 第十三回　　證姻緣仙母救宋將　依善果番主勸英雄
014 第十四回　　卻姻緣公主報怨　暫合巹宋帥從權
015 第十五回　　假哄嬌妻番王封爵　真嗔烈將張忠說因
016 第十六回　　聞飛報圖害中機關　強奏主奉旨拿家屬
017 第十七回　　飛山虎汴京探聽　狄元帥痛母囚牢
018 第十八回　　八寶女真情待夫主　狄元帥假意騙嬌妻
019 第十九回　　全大義一心歸宋　怨無情千里追夫
020 第二十回　　狄元帥騙關逃國　八寶女感義從夫
021 第二十一回　　出風火夫妻分別　離離單單五虎征西
022 第二十二回　　景花沙獻關投降　張將軍斬將立功
023 第二十三回　　景花沙戰死白鶴關　李將軍大敗酥而岱
024 第二十四回　　白鶴關黑利逞威　沙場地狄青破敵
025 第二十五回　　聞兵敗遼王議敵　誇驍勇太子興師
026 第二十六回　　達麻花遇寶歸原　扳天將興兵拒敵
027 第二十七回　　扳天將圍困白鶴關　飛山虎求救單單國
028 第二十八回　　貪酒食劉慶被擒　詢因由公主得書
029 第二十九回　　卻求救番君勸女　明大義公主提兵
030 第三十回　　到三關焦孟討救兵　出單單公主逢二將
031 第三十一回　　八寶公主大破重圍　星星羅海沙場喪命
032 第三十二回　　解重圍夫婦訴離情　下文書番王議投降
033 第三十三回　　飛龍定計報夫仇　黑利陰魂現妻眼
034 第三十四回　　歸單單夫妻分別　降遼國宋將班師
035 第三十五回　　到三關忠佞談言　回本國宋帥復旨
036 第三十六回　　楊宗保顯聖逐黑利　狄元帥伏罪見君王
037 第三十七回　　奏訴前因明君剖斷　敘談遠別狄後宣親
038 第三十八回　　南清宮姑嫂談心　趙王府娘兒聚首
039 第三十九回　　論功封爵狄青封王　立志報仇番女密訪
040 第四十回　　番公主相府訴夫冤　龐國丈書房思偶合
041 第四十一回　　薦行刺龐洪托友　居王府狄青思妻
042 第四十二回　　假結姻緣奉旨完娶　真迎花燭不進洞房
043 第四十三回　　平西王守義卻歡娛　狄太君知情調兒媳
044 第四十四回　　從母命遇害卻除害　報夫仇圖殺反被殺
045 第四十五回　　莽將軍奪首級報信　刁佞黨乘機隙施謀
046 第四十六回　　奏冤陷玄天收寶　命審斷宋帝差臣
047 第四十七回　　審疑案二忠辭辦　完民饑包拯回朝
048 第四十八回　　包公奉旨審疑案　楊滔委曲掩真情
049 第四十九回　　詢丫環真情透露　賺鳳嬌曲折詳明
050 第五十回　　露奸謀楊戶部招供　圖免罪龐貴妃內助
051 第五十一回　　勘奸謀包公復旨　消罪案宋帝偏親
052 第五十二回　　悔前非楊滔解過　送骨柩張忠往遼
053 第五十三回　　遼王定計貢天朝　國丈私通受賄禮
054 第五十四回　　國丈通遼害狄青　宋王信讒惑奸計
055 第五十五回　　驗假旗狄青觸君　求赦斬莽將飛報
056 第五十六回　　平西王死中得活　嘉祐王發配功臣
057 第五十七回　　國丈圖謀托驛丞　狄青起解遊龍驛
058 第五十八回　　到驛中平西王遵旨　囑王正龐國丈催書
059 第五十九回　　存厚道驛丞告害　點門徒王禪賜丹
060 第六十回　　裝假病真誠囑將　遵師言詐死埋名
