001 第一回　　說楔子敷陳大義　借名流隱括全文
002 第二回　　王孝廉村學識同科　周蒙師暮年登上第
003 第三回　　周學道校士拔真才　胡屠戶行兇鬧捷報
004 第四回　　薦亡齋和尚喫官司　打秋風鄉紳遭橫事
005 第五回　　王秀才議立偏房　嚴監生疾終正寢
006 第六回　　鄉紳發病鬧船家　寡婦含冤控大伯
007 第七回　　范學道視學報師恩　王員外立朝敦友誼
008 第八回　　王觀察窮途逢世好　婁公子故裏遇貧交
009 第九回　　婁公子捐金贖朋友　劉守備冒姓打船家
010 第十回　　魯翰林憐才擇婿　蘧公孫富室招親
011 第十一回　　魯小姐制義難新郎　楊司訓相府薦賢士
012 第十二回　　名士大宴鶯脰湖　俠客虛設人頭會
013 第十三回　　蘧駪夫求賢問業　馬純上仗義疏財
014 第十四回　　蘧公孫書坊送良友　馬秀才山洞遇神仙
015 第十五回　　葬神仙馬秀才送喪　思父母匡童生盡孝
016 第十六回　　大柳莊孝子事親　樂清縣賢宰愛士
017 第十七回　　匡秀才重遊舊地　趙醫生高踞詩壇
018 第十八回　　約詩會名士攜匡二　訪朋友書店會潘三
019 第十九回　　匡超人幸得良朋　潘自業橫遭禍事
020 第二十回　　匡超人高興長安道　牛布衣客死蕪湖關
021 第二十一回　　冒姓字小子求名　念親戚老夫臥病
022 第二十二回　　認祖孫玉圃聯宗　愛交遊雪齋留客
023 第二十三回　　發陰私詩人被打　歎老景寡婦尋夫
024 第二十四回　　牛浦郎牽連多訟事　鮑文卿整理舊生涯
025 第二十五回　　鮑文卿南京遇舊　倪廷璽安慶招親
026 第二十六回　　向觀察陞官哭友　鮑廷璽喪父娶妻
027 第二十七回　　王太太夫妻反目　倪廷珠兄弟相逢
028 第二十八回　　季葦蕭揚州入贅　蕭金鉉白下選書
029 第二十九回　　諸葛佑僧寮遇友　杜慎卿江郡納姬
030 第三十回　　愛少俊訪友神樂觀　逞風流高會莫愁湖
031 第三十一回　　天長縣同訪豪傑　賜書樓大醉高朋
032 第三十二回　　杜少卿平居豪舉　婁煥文臨去遺言
033 第三十三回　　杜少卿夫婦游山　遲衡山朋友議禮
034 第三十四回　　議禮樂名流訪友　備弓旌天子招賢
035 第三十五回　　聖天子求賢問道　莊徵君辭爵還家
036 第三十六回　　常熟縣真儒降生　泰伯祠名賢主祭
037 第三十七回　　祭先聖南京修禮　送孝子西蜀尋親
038 第三十八回　　郭孝子深山遇虎　甘露僧狹路逢讎
039 第三十九回　　蕭雲仙救難明月嶺　平少保奏凱青楓城
040 第四十回　　蕭雲仙廣武山賞雪　沈瓊枝利涉橋賣文
041 第四十一回　　莊濯江話舊秦淮河　沈瓊枝押解江都縣
042 第四十二回　　公子妓院說科場　家人苗疆報信息
043 第四十三回　　野羊塘將軍大戰　歌舞地酋長劫營
044 第四十四回　　湯總鎮成功歸故鄉　余明經把酒問葬事
045 第四十五回　　敦友誼代兄受過　講堪輿回家葬親
046 第四十六回　　三山門賢人餞別　五河縣勢利薰心
047 第四十七回　　虞秀才重修元武閣　方鹽商大鬧節孝祠
048 第四十八回　　徽州府烈婦殉夫　泰伯祠遺賢感舊
049 第四十九回　　翰林高談龍虎榜　中書冒占鳳凰池
050 第五十回　　假官員當街出醜　真義氣代友求名
051 第五十一回　　少婦騙人折風月　壯士高興試官刑
052 第五十二回　　比武藝公子傷身　毀廳堂英雄討債
053 第五十三回　　國公府雪夜留賓　來賓樓燈花驚夢
054 第五十四回　　病佳人青樓算命　呆名士妓館獻詩
055 第五十五回　　添四客述往思來　彈一曲高山流水
