001 第一回　　山神店醜女擒響馬　金鑾殿鐵牛鬥奸妃
002 第二回　　陳景龍掛帥徵交趾　哈羞花帶兵襲宋營
003 第三回　　哈公主生擒陳元帥　唐將軍巧遇麻軍師
004 第四回　　呂駙馬後宮見聖駕　唐矬子長街遇奇人
005 第五回　　陳清秋夜探太師府　唐鐵牛被擒八角寺
006 第六回　　唐矬子活捉麻亞裡　賽活猴會戰神力牛
007 第七回　　唐鐵牛對陣說大話　宋萬年臨終吐真情
008 第八回　　過大河鐵牛救老者　定巧計楊方扮新娘
009 第九回　　鬧洞房英雄戰太子　請師爺矬子遇救星
010 第十回　　老劍客比武會神牛　小英雄斬蟒救姑娘
011 第十一回　　雙峰觀義士請道士　鐵甲關鐵牛會神牛
012 第十二回　　戰哈雷老道受鏢傷　搬救兵鐵牛闖重圍
013 第十三回　　番營中楊方娶公主　破廟內樂寶拜老師
014 第十四回　　女英雄戰敗花太歲　老花子打跑南烈門
015 第十五回　　智將軍收服孟春達　猛先鋒砸死川金龍
016 第十六回　　二路大軍旗開得勝　三闖連營馬到成功
017 第十七回　　孟春達陣前中暗器　陳清秋營中治毒傷
018 第十八回　　鐵佛寺英雄救狀元　紅土崗猛將劫囚車
019 第十九回　　楊賽花救夫劈木籠　蓋嬌娘臥底下番營
020 第二十回　　假歌女番營唱小曲　真公主寶帳曉大義
021 第二十一回　　蓋嬌娘策反遇小姐　唐矬子山下逢大蟲
022 第二十二回　　唐鐵牛高山請道長　餘子安番營訓徒兒
023 第二十三回　　齊天雲投宋定巧計　林素娘派兵破重圍
024 第二十四回　　孟春達沙灘鬥神牛　時長青洞房哭愛妻
025 第二十五回　　陳清秋新婚遇刺客　八賢王微服訪元凶
026 第二十六回　　八王千歲長街測字　鑽雲燕子古廟現形
027 第二十七回　　狀元府小俠訪金貴　會友樓英雄拜李昆
028 第二十八回　　奚金哥飛鏢打師叔　唐鐵牛唱歌亂賊心
029 第二十九回　　保國寺奚金哥比武　狀元府蓋世英祭靈
030 第三十回　　孟春達智敗生鐵佛　陳清秋計引奚金哥
031 第三十一回　　愉悅園奚金哥飲酒　太師府石三郎賣畫
032 第三十二回　　試真偽夜探狀元府　比高低偷入紫禁城
033 第三十三回　　石三郎巧計捉二寇　唐永豐泄忿動私刑
034 第三十四回　　太監傳旨罪魁漏網　鐵牛落難絕處逢生
035 第三十五回　　師徒三人誤入柳巷　拯救孤女巧遇刁徒
036 第三十六回　　勸進酒醉識紅粉女　扔繡帕戲耍綠袍僧
037 第三十七回　　和尚蒙冤死不瞑目　豔女懷春語態傳情
038 第三十八回　　定計捉賊反被賊困　拼死突圍又遭圍截
039 第三十九回　　乾巴老頭送機密信　機靈小子認兩姨親
040 第四十回　　小義士潛身玄都觀　平夷侯夜探慈安塔
