000 本書說明
001 第一回　　讀奇書舊事覺新民　游宦海燃萁空煮豆
002 第二回　　喪天良逆子累嚴親　逃國法刁奴釁賢宰
003 第三回　　說韜鈐英雄傷往事　親宵小知縣誤前程
004 第四回　　太史公冶游遭奇辱　觀察使懼內敗官箴
005 第五回　　繪旗人薇垣聚□　說訟棍花封射影
006 第六回　　一榻茶煙暢談怪事　百年眷屬誤種情根
007 第七回　　去思碑過客憶甘棠　餞行酒同人爭折柳
008 第八回　　翻新令妙語出紅妝　嘆歧途熱心遭白眼
009 第九回　　亂哄哄萬乘走長安　情岌岌隔窗聽密語
010 第十回　　駐洋場虛心探社會　遇翻黨無意得機關
011 第十一回　　畫葫蘆巧計成虛話　翻舊樣妙女選情郎
012 第十二回　　禍中得福老虎做官　笑裡藏刀烏龜出丑
013 第十三回　　死中丞誤認大小馬　活月老巧判前後夫
014 第十四回　　夢斷鴛鴦魂銷谷埠　書傳魚雁淚灑申江
015 第十五回　　渡長江扒手放謠言　保國粹傷心驚鬼語
016 第十六回　　信數理新學辯神權　誤歧途杞人憂國事
017 第十七回　　小司員冒險拜門牆　老中堂薦才遭黨禍
018 第十八回　　梓鄉歸去災象驚心　噩耗傳來良箴動魄
019 第十九回　　甓社湖魔王識天文　蘇州城周郎歸地府
020 第二十回　　晴川閣兩次宴嘉賓　黃花澇一番談騙術
021 第二十一回　　戴高帽政界有心傳　誤聖經俗儒多耳食
022 第二十二回　　笑官場鼓吹散鴛鴦　演幫匪麼魔出社會
023 第二十三回　　訊理會堂上露真情　開喜筵同人出公份
024 第二十四回　　笑罵由他風生席上　好官做我月旦樽前
025 第二十五回　　雨金無術死後悟窮因　致病有原生前嚴胎教
026 第二十六回　　樂極悲生粵人信鬼　盤根錯節婆子裝神
027 第二十七回　　吳鎮軍單騎救同寅　鮑男爵懼禍逃內地
028 第二十八回　　朱互蘭再領鶯燕班　祝如椿重酬風月債
029 第二十九回　　賓鴻棧醉夢兩模糊　普天香中西雙輯睦
030 第三十回　　釋嫌疑妙判仰前型　說考試奇談出後進
