001 劉公案－劉墉傳奇 10233 第一回 　　劉羅鍋初審李有義
002 劉公案－劉墉傳奇 10234 第二回 　　假算命巧裝探私情
003 劉公案－劉墉傳奇 10235 第三回 　　白翠蓮半吐心中事
004 劉公案－劉墉傳奇 10236 第四回 　　陳大勇探得真消息
005 劉公案－劉墉傳奇 10237 第五回 　　裝神靈畫符鎮冤鬼
006 劉公案－劉墉傳奇 10238 第六回 　　焦素英憤題絕命詩
007 劉公案－劉墉傳奇 10239 第七回 　　賭博場兇犯投羅網
008 劉公案－劉墉傳奇 10240 第八回 　　兩承差乘機落贓銀
009 劉公案－劉墉傳奇 10241 第九回 　　遞冤狀民女上公堂
010 劉公案－劉墉傳奇 10242 第十回 　　貪錢財鐘凶害親朋
011 劉公案－劉墉傳奇 10243 第十一回 　　萬人愁霸搶民間女
012 劉公案－劉墉傳奇 10244 第十二回 　　巡撫子仗勢逞豪強
013 劉公案－劉墉傳奇 10245 第十三回 　　除惡少知府察賊宅
014 劉公案－劉墉傳奇 10246 第十四回 　　徐大勇夜探虎狼窩
015 劉公案－劉墉傳奇 10247 第十五回 　　為擒賊劉墉暗調兵
016 劉公案－劉墉傳奇 10248 第十六回 　　十里堡官軍戰惡霸
017 劉公案－劉墉傳奇 10249 第十七回 　　嫌禮輕總督動肝火
018 劉公案－劉墉傳奇 10250 第十八回 　　審死屍女頭竟男身
019 劉公案－劉墉傳奇 10251 第十九回 　　難上難苦無原被告
020 劉公案－劉墉傳奇 10252 第二十回 　　酒鋪裡醉鬼吐案情
021 劉公案－劉墉傳奇 10253 第二十一回 　　劉知府驅邪假畫符
022 劉公案－劉墉傳奇 10254 第二十二回 　　風雲變又起醃屍案
023 劉公案－劉墉傳奇 10255 第二十三回 　　黑吃黑盟兄殺盟弟
024 劉公案－劉墉傳奇 10256 第二十四回 　　王二樓貪財誤偷屍
025 劉公案－劉墉傳奇 10257 第二十五回 　　亂佛規女尼私產子
026 劉公案－劉墉傳奇 10258 第二十六回 　　蓮花庵色鬼又殺人
