001 第一回　　嘉靖爺開科取士　濟小塘落榜讀書
002 第二回　　觀曲詞嚴嵩動怒　救房東小塘施恩
003 第三回　　王書手報恩嫁女　濟小塘擇日完親
004 第四回　　柳樹精奉命點化　純陽祖度脫濟生
005 第五回　　唸大學化飯充饑　宿僧舍許修佛寺
006 第六回　　混元鬼趙府作祟　開緣簿死者復生
007 第七回　　青魚精戲弄小塘　獨角龍水淹泗州
008 第八回　　西秦王愛財受騙　趙知府存仁施恩
009 第九回　　當鋪中賄通嚴府　瓊花觀小塘拜友
010 第十回　　偷庫銀承光被擒　濟小塘結識苗慶
011 第十一回　　濟小塘回家戲妻　遣五鬼混鬧家庭
012 第十二回　　王玉容怒罵夫主　一枝梅偷富濟貧
013 第十三回　　試遁法苗慶出獄　顯神通小塘傳法
014 第十四回　　變戲法大鬧嚴府　避捕捉奔往伯州
015 第十五回　　李家集小塘點將　伯州城金蟬興兵
016 第十六回　　小塘夜造假天書　王氏計換陰魔錄
017 第十七回　　終南山呂祖點化　黃河岸魚精作耗
018 第十八回　　得道書小塘辭友　遇仙洞苗慶修真
019 第十九回　　濟小塘折蘆過江　戚總鎮興兵平賊
020 第二十回　　定海城小塘擺陣　白鹿洞承光遇狐
021 第二十一回　　濕神符承光遇難　焚仙洞小塘除妖
022 第二十二回　　假道童韓府喪命　死乞丐法場受刑
023 第二十三回　　山海關小塘遇友　總帥府懷古受驚
024 第二十四回　　濟小塘機房裝病　搬運神京城運絲
025 第二十五回　　韓慶雲高中魁首　濟小塘面辱嚴嵩
026 第二十六回　　磨大王興妖作祟　碾將軍領眾搶親
027 第二十七回　　焚靈符退除邪鬼　索謝銀賑濟饑荒
028 第二十八回　　韓慶雲夢裡做夢　濟小塘法中變法
029 第二十九回　　韓駙馬花園試寶　風如虎軍前立功
030 第三十回　　槐陰下點破奇夢　趵突泉演試飛杯
031 第三十一回　　高仲舉典產求名　靠山王圖財剪徑
032 第三十二回　　用木刀立斬丘四　演戲術打救高生
033 第三十三回　　月英東嶽還香願　年七見色起淫心
034 第三十四回　　貪錢財李虎害命　罵知縣仲舉受刑
035 第三十五回　　一枝梅借宿報信　於月英全孝救親
036 第三十六回　　為全節對夫剜目　因救友威唬解公
037 第三十七回　　王從善仗義報信　胡尚書款留年姪
038 第三十八回　　高仲舉重婚張氏　於月英產生丁郎
039 第三十九回　　判冤情恩開大漢　救孤子雷擊凶徒
040 第四十回　　徼承光護送孤子　小神童辭母脫逃
041 第四十一回　　張賢人收留幼子　小神童改姓攻書
042 第四十二回　　高仲舉探妻遭害　韓慶雲為友訪親
043 第四十三回　　一枝梅大鬧磁店　蘇九宮仗義疏財
044 第四十四回　　王解公猴洞受難　濟小塘四川降妖
045 第四十五回　　於月英寓所討飯　胡世顯金榜奪魁
046 第四十六回　　赴酒席年七被捆　審眾犯陸爺動刑
047 第四十七回　　嚴世蕃差人行刺　徼承光怒摔凶徒
048 第四十八回　　馬猴大鬧風流院　京城畫影捉小塘
049 第四十九回　　孫瘋子混鬧神廟　徼承光護守節婦
050 第五十回　　吳月蓮上吊遇救　歐法官煎藥騙財
051 第五十一回　　徼承光現形裝鬼　歐老道中魔鬧壇
052 第五十二回　　哄愚人物歸本主　做活局治服惡豪
053 第五十三回　　懷寧侯閉戶躲災　徐夫人細問端詳
054 第五十四回　　蘇九宮侯府賣畫　懷寧侯紙上遇仙
055 第五十五回　　孫瘋子當堂服軟　包察院監禁惡豪
056 第五十六回　　王解公當堂投審　眾奸黨從實招認
