001 反三國演義 23213 第一回 　　省詐書水鏡留元直　脫徐母孔明遣趙雲
002 反三國演義 23214 第二回 　　戰江夏孫氏雪前仇　讓荊州劉牧懲後患
003 反三國演義 23215 第三回 　　借刀殺人周郎設計　因虛作實曹相興兵
004 反三國演義 23216 第四回 　　泄舊忿張繡投孫權　挫先聲甘寧射樂進
005 反三國演義 23217 第五回 　　小周瑜水陸破曹兵　矮張松東西販蜀土
006 反三國演義 23218 第六回 　　巡江上趙子龍得圖　取漢中夏侯淵耀武
007 反三國演義 23219 第七回 　　數抗命矯詔召馬騰　聯新婚開閣迎呂范
008 反三國演義 23220 第八回 　　戰合肥太史慈中箭　出潼關馬孟起報仇
009 反三國演義 23221 第九回 　　曹孟德計阻臨潼縣　諸葛亮兵伐白水關
010 反三國演義 23222 第十回 　　馬孟起間道入四川　管幼安捐軀蹈東海
011 反三國演義 23223 第十一回 　　伏皇后策授傳國璽　喬國老痛哭小東床
012 反三國演義 23224 第十二回 　　賦歸寧孫夫人不歸　下密詔漢獻帝不密
013 反三國演義 23225 第十三回 　　銅雀台大宴論當涂　金鳳橋愛子陳天命
014 反三國演義 23226 第十四回 　　孫夫人雨泣葬江流　劉皇叔雪涕祭武擔
015 反三國演義 23227 第十五回 　　吳蜀仇讎阿瞞稱帝　漢魏禪讓子建出亡
016 反三國演義 23228 第十六回 　　大復仇劉玄德興師　小得勝夏侯淵敗績
017 反三國演義 23229 第十七回 　　魏文長偷度子午谷　馬孟起再入長安城
018 反三國演義 23230 第十八回 　　侈親征魏武帝逞兵　雪積憾馬孟起奮武
019 反三國演義 23231 第十九回 　　徵舊部馬岱旋武威　襲故智魏延渡壺口
020 反三國演義 23232 第二十回 　　急援兵賈詡明聯吳　扮舟商呂蒙暗襲蜀
021 反三國演義 23233 第二十一回 　　趙子龍截江敗呂蒙　龐士元巡城識向寵
022 反三國演義 23234 第二十二回 　　張翼德血戰奪方城　關雲長兵威震河北
023 反三國演義 23235 第二十三回 　　議遷都曹操還許下　領新軍馬岱出關中
024 反三國演義 23236 第二十四回 　　孫仲謀兩路攻荊州　趙子龍一軍奪江夏
025 反三國演義 23237 第二十五回 　　劉玄德正位漢中王　諸葛亮誓師長安道
026 反三國演義 23238 第二十六回 　　老黃忠奮威敗徐晃　勇姜維設計賺曹真
027 反三國演義 23239 第二十七回 　　諸葛瞻越險奪龍門　司馬昭藏兵匿少室
028 反三國演義 23240 第二十八回 　　張文遠反攻圍方城　龐士元智救襲郟鄏
029 反三國演義 23241 第二十九回 　　劉玄德駐蹕荊州城　徐文響失機沔陽縣
030 反三國演義 23242 第三十回 　　仙桃鎮徐趙大鏖兵　皂角市關張雙縱火
031 反三國演義 23243 第三十一回 　　鬥三將許褚喪澠池　陷重圍徐晃棄函谷
032 反三國演義 23244 第三十二回 　　偃師縣曹彰戰馬超　黑石關黃忠敗張郃
033 反三國演義 23245 第三十三回 　　除虎倀射殺滿伯寧　藉雉媒招降諸葛誕
034 反三國演義 23246 第三十四回 　　曹孟德許昌大會議　孫仲謀鄱陽小閱兵
035 反三國演義 23247 第三十五回 　　犯桂陽虞翻夜撤師　收零陵蔣琬宵臨敵
036 反三國演義 23248 第三十六回 　　大涼山孟獲懾疑兵　三連海呂凱擒蠻帥
037 反三國演義 23249 第三十七回 　　趙子龍麾兵九里關　馬孟起燒糧孟津驛
038 反三國演義 23250 第三十八回 　　炸新安諸葛試地雷　拒洛水司馬掘天塹
039 反三國演義 23251 第三十九回 　　洛陽城漢魏大交鋒　孟津縣許典雙敗陣
040 反三國演義 23252 第四十回 　　游洛水諸葛亮賦詩　收合肥孫仲謀傳檄
041 反三國演義 23253 第四十一回 　　徐文響盡節死新蔡　曹孟德臨命涸漳河
042 反三國演義 23254 第四十二回 　　劉玄德略地駐南陽　趙子龍決水灌臨穎
043 反三國演義 23255 第四十三回 　　敗李典趙雲入許都　灸華歆馬超掘疑塚
044 反三國演義 23256 第四十四回 　　張文遠憑城殉葉縣　司馬懿拔隊退延津
045 反三國演義 23257 第四十五回 　　出上黨馬超襲安陽　渡滎澤張飛戰原武
046 反三國演義 23258 第四十六回 　　邢台縣孟起走曹彰　幽州城文長捉程昱
047 反三國演義 23259 第四十七回 　　公孫淵獻俘幽州城　司馬懿坐困延津縣
048 反三國演義 23260 第四十八回 　　劉阿鬥遇刺江陵驛　呂子明分襲封邱城
049 反三國演義 23261 第四十九回 　　濮陽城三國大交兵　章邱邑二將深入敵
050 反三國演義 23262 第五十回 　　呂子明戰死濮陽城　司馬懿退屯東阿縣
051 反三國演義 23263 第五十一回 　　救東阿曹仁雙中伏　破館陶於禁再被擒
052 反三國演義 23264 第五十二回 　　定山東諸葛亮歸天　失江北孫仲謀殞命
053 反三國演義 23265 第五十三回 　　黃公覆殉節九江口　張翼德驅兵采石磯
054 反三國演義 23266 第五十四回 　　白門鼓角將帥成功　黃海風濤君臣共命
055 反三國演義 23267 第五十五回 　　趙子龍按甲定閩甌　蔣公琰督兵收交廣
056 反三國演義 23268 第五十六回 　　樓桑村樹萎殞真王　柳城塞秋高來敵騎
057 反三國演義 23269 第五十七回 　　劉王孫正位繼中興　龐丞相序官復舊制
058 反三國演義 23270 第五十八回 　　封功臣六王膺上賞　畫軍區四督鎮雄邊
059 反三國演義 23271 第五十九回 　　馬孟起衣錦返西涼　曹子建悲歌行絕塞
060 反三國演義 23272 第六十回 　　深杯浮白鐵案掀翻　古墓冬青石人惆悵
