001 第一卷　　蔣興哥重會珍珠衫
002 第二卷　　陳御史巧勘金釵鈿
003 第三卷　　新橋市韓五賣春情
004 第四卷　　閑雲庵阮三償冤債
005 第五卷　　窮馬周遭際賣䭔媼
006 第六卷　　葛令公生遣弄珠兒
007 第七卷　　羊角哀捨命全交
008 第八卷　　吳保安棄家贖友
009 第九卷　　裴晉公義還原配
010 第十卷　　滕大尹鬼斷家私
011 第十一卷　　趙伯升茶肆遇仁宗
012 第十二卷　　眾名姬春風弔柳七
013 第十三卷　　張道陵七試趙昇
014 第十四卷　　陳希夷四辭朝命
015 第十五卷　　史弘肇龍虎君臣會
016 第十六卷　　范巨卿雞黍死生交
017 第十七卷　　單符郎全州佳偶
018 第十八卷　　楊八老越國奇逢
019 第十九卷　　楊謙之客舫遇俠僧
020 第二十卷　　陳從善梅嶺失渾家
021 第二十一卷　　臨安里錢婆留發跡
022 第二十二卷　　木綿庵鄭虎臣報冤
023 第二十三卷　　張舜美燈宵得麗女
024 第二十四卷　　楊思溫燕山逢故人
025 第二十五卷　　晏平仲二桃殺三士
026 第二十六卷　　沈小官一鳥害七命
027 第二十七卷　　金玉奴棒打薄情郎
028 第二十八卷　　李秀卿義結黃貞女
029 第二十九卷　　月明和尚度柳翠
030 第三十卷　　明悟禪師趕五戒
031 第三十一卷　　鬧陰司司馬貌斷獄
032 第三十二卷　　游酆都胡母迪吟詩
033 第三十三卷　　張古老種瓜娶文女
