001 大明正德皇游江南傳 19157 第一回 　　孝宗皇臨崩顧命　明武帝即位封臣
002 大明正德皇游江南傳 19158 第二回 　　諫新君百官聯奏　惑少主群閹用讒
003 大明正德皇游江南傳 19159 第三回 　　誘村愚假裝刺客　滅口實真是虧心
004 大明正德皇游江南傳 19160 第四回 　　餞長亭賢臣話別　臨險地智士施謀
005 大明正德皇游江南傳 19161 第五回 　　假投江守仁歸隱　傷縣令逆賊為非
006 大明正德皇游江南傳 19162 第六回 　　白花村寘鐇起義　宜川縣萬程投軍
007 大明正德皇游江南傳 19163 第七回 　　劫賊營劉瓊敗北　失郡縣士奎殞軀
008 大明正德皇游江南傳 19164 第八回 　　郭安人懸樑盡節　楊總制拜本回京
009 大明正德皇游江南傳 19165 第九回 　　闖宮門忠良殞命　誅奸佞豪傑復仇
010 大明正德皇游江南傳 19166 第十回 　　兩兄妹山寨安身　各英雄桃園敘義
011 大明正德皇游江南傳 19167 第十一回 　　貢龍駒蠻王恣志　舉虎將金殿揚名
012 大明正德皇游江南傳 19168 第十二回 　　伏龍駒奪鼇得志　離豐潤王氏尋夫
013 大明正德皇游江南傳 19169 第十三回 　　殺糟糠賊徒負義　救主母烈婢行仁
014 大明正德皇游江南傳 19170 第十四回 　　路途中紅顏遇救　荒郊上薄倖傷兵
015 大明正德皇游江南傳 19171 第十五回 　　焚茅舍狠心消毒氣　回蝸廬豪傑各安身
016 大明正德皇游江南傳 19172 第十六回 　　逢總兵英雄得志　陳妙論豪傑歸降
017 大明正德皇游江南傳 19173 第十七回 　　陣場中賊徒自刎　荒山上兄弟窺形
018 大明正德皇游江南傳 19174 第十八回 　　李東陽從謀發令　王反賊戰敗被擒
019 大明正德皇游江南傳 19175 第十九回 　　眾功臣陳情對楓陛　群奸黨被劾作冰山
020 大明正德皇游江南傳 19176 第二十回 　　圍私第劉瑾遭擒　劫法場奪鼇落草
021 大明正德皇游江南傳 19177 第二十一回 　　欲回鄉瀝情奏主　思遊玩易眼追臣
022 大明正德皇游江南傳 19178 第二十二回 　　梁太師入宮候主　張太后敕令尋兒
023 大明正德皇游江南傳 19179 第二十三回 　　別國太老相出宸京　入魯莊小皇傳密旨
024 大明正德皇游江南傳 19180 第二十四回 　　投敕書兆輝遵旨　往強娶宗顯被拿
025 大明正德皇游江南傳 19181 第二十五回 　　魯家莊承恩免禍　柴氏母拜壽開筵
026 大明正德皇游江南傳 19182 第二十六回 　　據上席奇句驚人　回粵東橫財娛老
027 大明正德皇游江南傳 19183 第二十七回 　　倒運公孫逢烈漢　無知協鎮捉英雄
028 大明正德皇游江南傳 19184 第二十八回 　　施國蘭過衙弔審　徐協鎮到府受刑
029 大明正德皇游江南傳 19185 第二十九回 　　下松江君臣失路　回草舍母子延賓
030 大明正德皇游江南傳 19186 第三十回 　　法前賢殺雞為食　依古聖以孝求忠
031 大明正德皇游江南傳 19187 第三十一回 　　問佳人真龍遺蹟　見勢宦窮漢傳書
032 大明正德皇游江南傳 19188 第三十二回 　　聽奸謀丫環仗義　聞婢語小姐耽驚
033 大明正德皇游江南傳 19189 第三十三回 　　說原因丫環用計　從致囑母子逃奔
034 大明正德皇游江南傳 19190 第三十四回 　　曹侍郎歪心逆旨　奸奴婢用火燒樓
035 大明正德皇游江南傳 19191 第三十五回 　　聞火災夫人守孝　因路絕小姐投江
036 大明正德皇游江南傳 19192 第三十六回 　　郭如龍竹花開鳳尾　李阿鳳杏旆映龍顏
037 大明正德皇游江南傳 19193 第三十七回 　　宋家綠萼呈祥瑞　道士紅塵點化機
038 大明正德皇游江南傳 19194 第三十八回 　　以舅為媒李龍多口　得隴望蜀天子探花
039 大明正德皇游江南傳 19195 第三十九回 　　扁舟邀友復匡君　竊寶入城重護駕
040 大明正德皇游江南傳 19196 第四十回 　　驅象陣賊眾逞能　對棋盤山中聞報
041 大明正德皇游江南傳 19197 第四十一回 　　驅銅人計殺毒象　逢妖女誤喪軍兵
042 大明正德皇游江南傳 19198 第四十二回 　　何振邦蒙仙指點　老仙翁下山破陣
043 大明正德皇游江南傳 19199 第四十三回 　　現狐身破陣被擒　明天子獲佞班師
044 大明正德皇游江南傳 19200 第四十四回 　　朱天子回朝封贈　眾功臣配合團圓
045 大明正德皇游江南傳 19201 第四十五回 　　誼殿下還鄉省母　曹小姐入寺逢親
