000 第一回　　大漠走明駝　電掣霆奔　驚沙夕起<br>　　深宵聞玉笛　風饕雪虐　鐵羽晨飛
001 第二回　　劍氣沖霄　絕壑雄風尋煉士<br>　　香光如海　萬方儀態照華燈
002 第三回　　大壑飛身　雪地冰天援愛侶<br>　　靈峰取寶　晶門玉柱拜仙師
003 第四回　　山洞聞青琴　同心兆應三珠樹<br>　　沖雲渡雪嶺　攜手人如比翼鶼
004 第五回　　苦意訴衷腸　夫也不良　天何此醉<br>　　有情成眷屬　佳人絕代　國士無雙
005 第六回　　絕壁助真仙　萬丈寒潮參魔主<br>　　三關通大劫　千重霞影遁妖人
006 第七回　　絕頂湧蓮花　變滅旗門騰異彩<br>　　飛光追魅影　旃檀佛法護真神
007 第八回　　勞燕惜分飛　萬種離愁傷薄命<br>　　癡情察隱患　三杯別酒縱淫凶
008 第九回　　別淚注金樽　惆悵天涯　斷腸人遠<br>　　清音鳴玉盤　荒涼石屋　十指禪修
009 第一○回　　平地湧靈泉　火霧千重　獨飛健羽<br>　　蠻荒尋異寶　關山萬里　同探神峰
010 第一一回　　古碣暗藏珍　冷焰寒光生寶帶<br>　　班荊成至契　晶峰玉洞起仙韶
011 第一二回　　灑雪噴珠　不盡流泉飄靈雨<br>　　熔沙沸石　沖空火柱似森林
