001 大漢三合明珠寶劍全傳 12783 第一回 　　遇英雄同心結拜　救母女惹禍奔逃
002 大漢三合明珠寶劍全傳 12784 第二回 　　避急災弟兄分別　脫羅網兄妹權棲
003 大漢三合明珠寶劍全傳 12785 第三回 　　贈寶劍鬼谷差徒　妒賢良屈忠薦敵
004 大漢三合明珠寶劍全傳 12786 第四回 　　承君命奉旨提兵　到父衙奇緣入贅
005 大漢三合明珠寶劍全傳 12787 第五回 　　群奸設計圖謀急　世誼深交拜探忙
006 大漢三合明珠寶劍全傳 12788 第六回 　　假聖旨柳絮幾危　真仗義李張解厄
007 大漢三合明珠寶劍全傳 12789 第七回 　　虛心病杜門絕客　重交情忍辱按兵
008 大漢三合明珠寶劍全傳 12790 第八回 　　立熱腸千里奔京　敢冒名一時自陷
009 大漢三合明珠寶劍全傳 12791 第九回 　　明冤陷捨命闖宮　歷情由招供自首
010 大漢三合明珠寶劍全傳 12792 第十回 　　盤刺客金後明詳　訴譎詞屈方強辯
011 大漢三合明珠寶劍全傳 12793 第十一回 　　明假冒囚禁天牢　證欺君辯攻奸佞
012 大漢三合明珠寶劍全傳 12794 第十二回 　　定奸謀宮內圖君　不意中御園救駕
013 大漢三合明珠寶劍全傳 12795 第十三回 　　露奸計奔逃被難　表功勞賜贈榮封
014 大漢三合明珠寶劍全傳 12796 第十四回 　　逃災難誤投賊旅　貪財寶逼賣煙花
015 大漢三合明珠寶劍全傳 12797 第十五回 　　忍恥辱認姐逢弟　圖美麗誤男作女
016 大漢三合明珠寶劍全傳 12798 第十六回 　　試才藻有心安處　念忠賢下詔回師
017 大漢三合明珠寶劍全傳 12799 第十七回 　　繡閣中私結良緣　公堂上糊塗立案
018 大漢三合明珠寶劍全傳 12800 第十八回 　　兄逼妹強離閨閣　僕伴主誤進禪堂
019 大漢三合明珠寶劍全傳 12801 第十九回 　　追神鹿殲奸解厄　訪駙馬遇舊談心
020 大漢三合明珠寶劍全傳 12802 第二十回 　　到昇平舅甥聚首　說梁山強寇歸投
021 大漢三合明珠寶劍全傳 12803 第二十一回 　　別舅妹公辦勞忙　救柳絮死生瞬息
022 大漢三合明珠寶劍全傳 12804 第二十二回 　　災去福來欣聚會　奸強善弱慍欺凌
023 大漢三合明珠寶劍全傳 12805 第二十三回 　　為貪淫左目中傷　懼征討攜家奔遁
024 大漢三合明珠寶劍全傳 12806 第二十四回 　　全貞節咬舌歸陰　救妹子敗兵失散
025 大漢三合明珠寶劍全傳 12807 第二十五回 　　富柳英初逢柳絮　九龍道兩敗馬俊
026 大漢三合明珠寶劍全傳 12808 第二十六回 　　蒙野道拜懇為徒　賄行童暗污邪物
027 大漢三合明珠寶劍全傳 12809 第二十七回 　　暗通風計除妖道　明誅戮義釋群僧
028 大漢三合明珠寶劍全傳 12810 第二十八回 　　有福人臨危遇救　倒運賊不意遭殃
029 大漢三合明珠寶劍全傳 12811 第二十九回 　　路途中兄弟重逢　馬家莊師徒分別
030 大漢三合明珠寶劍全傳 12812 第三十回 　　擬擂台拜本回朝　正國法誅凶警眾
031 大漢三合明珠寶劍全傳 12813 第三十一回 　　背師言野道下山　遵旨命鸞英開擂
032 大漢三合明珠寶劍全傳 12814 第三十二回 　　頒御旨眾將加封　背君恩群奸造反
033 大漢三合明珠寶劍全傳 12815 第三十三回 　　打擂台英雄入贅　焚難香慈悲賜寶
034 大漢三合明珠寶劍全傳 12816 第三十四回 　　現原形龜精被戮　忿出丑王勇助奸
035 大漢三合明珠寶劍全傳 12817 第三十五回 　　劫夜營屈奸敗陣　投賊寨鼠輩招軍
036 大漢三合明珠寶劍全傳 12818 第三十六回 　　知天命老祖訓徒　違法戒左道背師
037 大漢三合明珠寶劍全傳 12819 第三十七回 　　聞妖道請旨添兵　閱章奏准師赴敵
038 大漢三合明珠寶劍全傳 12820 第三十八回 　　施妖術漢軍敗績　焚信香兄妹求師
039 大漢三合明珠寶劍全傳 12821 第三十九回 　　領法旨善才助漢　探軍情妖術傷兵
040 大漢三合明珠寶劍全傳 12822 第四十回 　　鬥法寶法成敗陣　念道流老祖遣徒
041 大漢三合明珠寶劍全傳 12823 第四十一回 　　獲奸佞原歸法寶　成戰功奏凱班師
042 大漢三合明珠寶劍全傳 12824 第四十二回 　　表軍功頒諧花燭　誅奸佞封贈團圓
