000 本書說明
001 第一回　　西王母瑤池開宴　天狼星月殿求姻
002 第二回　　蒲台縣嫦娥降世　林宦家后羿投胎
003 第三回　　鮑仙姑化身作乳母　唐賽兒誕日悟前因
004 第四回　　裴道人秘授真春丹　林公子巧合假庚帖
005 第五回　　唐賽兒守制辭婚　林公子棄家就婦
006 第六回　　嫁林郎半年消宿債　嫖柳妓三戰脫元陽
007 第七回　　掃新壟猝遇計都星　訪神尼直劈無門洞
008 第八回　　九天玄女教天書七卷　太清道祖賜丹藥三丸
009 第九回　　賑饑荒廉官請獎　謀伉儷貪守遭閹
010 第十回　　董家莊真素娥認妹　賓善門假端女降妖
011 第十一回　　小猴變虎邪道侵真　兩絲化龍靈雨濟旱
012 第十二回　　柳煙兒捨身賺鹿怪　唐月君為國掃蝗災
013 第十三回　　邀女主嵩陽懸異對　改男妝洛邑訪奇才
014 第十四回　　二金仙九州遊戲　諸神女萬里逢迎
015 第十五回　　姚道衍倡逆興師　耿炳文拒諫敗績
016 第十六回　　王師百萬豎子全亡　義士三千鐵公大捷
017 第十七回　　黑風吹折盛帥旗　紫雲護救燕王命
018 第十八回　　陳都督占讖附燕王　王羽士感夢迎聖駕
019 第十九回　　女元帥起義勤王　眾義士齊心殺賊
020 第二十回　　太陰主尊賢創業　御陽子建策開基
021 第二十一回　　燕王殺千百忠臣　教坊發幾多烈女
022 第二十二回　　鐵兵部焦魄能誅衛士　景文曲朽皮猶搏燕王
023 第二十三回　　鮑道姥賣花入教坊　曼陀尼懸珠照幽獄
024 第二十四回　　女無師延攬英雄　諸少年比試武藝
025 第二十五回　　真番女賺馘高指揮　假燕將活擒茹太守
026 第二十六回　　仝淳風義匿司公子　高監軍計襲萊州府
027 第二十七回　　黑氣蔽天夜邀剎魔主　赤虹貫日晝降鬼母尊
028 第二十八回　　衛指揮月明動寨　呂軍師雪夜屠城
029 第二十九回　　設玉圭唐月君朝帝朔　舞鐵鍬女金剛截仙駕
030 第三十回　　呂軍師獻馘行宮　唐月君燕饗諸將
031 第三十一回　　驪山老姥徵十八仙詩　剎魔公主講三千鬼話
032 第三十二回　　兩奇兵飛救新行殿　一番騎廛戰舊細君
033 第三十三回　　景公子義求火力士　聶隱娘智救鐵監軍
034 第三十四回　　安遠侯空出三奇計　呂司馬大破兩路兵
035 第三十五回　　兩皂旗死生報故主　二軍師內外奏膚功
036 第三十六回　　唐月君創立濟南都　呂師貞議訪建文帝
037 第三十七回　　帝師敕議內外官制　軍師奏設文武科目
038 第三十八回　　兩軍師同心建國　一公子戮力分兵
039 第三十九回　　美貞娘殺美淫宮　女秀才降女劍俠
040 第四十回　　濟寧州三女殺監河　兗州府四士逐太守
041 第四十一回　　呂司馬謁闕裡廟　景僉都拔沂州城
042 第四十二回　　僇敗將禍及三王　蠱謠言謀生一劍
043 第四十三回　　衛指揮海外通書　奎道人宮中演法
044 第四十四回　　十萬倭夷遭殺劫　兩三美女建奇勛
045 第四十五回　　鐵公托夢定切蒼黎　帝師祈霖恩加仇敵
046 第四十六回　　帝旨賜諡殉難臣　天緣配合守貞女
047 第四十七回　　幸蒲台五廟追尊　登日觀諸臣聯韻
048 第四十八回　　煉神針八蠟咸誅　剪仙蓑萬氓全活
049 第四十九回　　鄭亨爭將當先喪律　景隆克帥落後褒封
050 第五十回　　蒲葵扇舉掃虎豹遊魂　赤烏鏡飛驅魑魅幻魄
051 第五十一回　　鬼母手劈奎道人　燕兒腰斬李豎子
052 第五十二回　　訪聖主信傳虞帝廟　收俠客梟取燕朝使
053 第五十三回　　兩句詩分路訪高增　一首偈三緘貽女主
054 第五十四回　　航海梯山八蠻競貢　談天說地諸子爭鋒
055 第五十五回　　震聲靈遣使議讓位　懾威風報聘許歸藩
056 第五十六回　　張羽士神謁天師府　溫元帥怒劈靈猴使
057 第五十七回　　九魔女群攝地仙魂　二孤神雙破天師法
058 第五十八回　　待字女感夢識郎君　假鋪卒空文揭開府
059 第五十九回　　預伏英雄堅城內潰　假裝神鬼勍敵宵奔
060 第六十回　　高郵州夫婦再爭雄　廣陵城兄弟初交戰
061 第六十一回　　劍仙師一葉訪貞姑　女飛將片旗驅敵帥
062 第六十二回　　姚道衍設舟誘敵　雷一度落水歸神
063 第六十三回　　三義士虎腹藏兵　一將軍龍頭殺賊
064 第六十四回　　方學士片言折七令　鐵先生一札服諸官
065 第六十五回　　兩猿臂箭賭一雄州　一虎兒刀劈兩奴賊
066 第六十六回　　譚都督夾睢水立重營　鐵元帥焚浮橋破勍敵
067 第六十七回　　一客誅都閫藩司　片刻取中州大郡
068 第六十八回　　呂軍師占星拔寨　谷藩王造讖興戈
069 第六十九回　　三如公子獻雄郡　二松道人縛渠魁
070 第七十回　　逞神通連黛統妖兵　賣風流柳煙服偽主
071 第七十一回　　范飛娘獨戰連珠蕊　劉次雲雙鬥苗龍虎
072 第七十二回　　妖道邪僧五技窮　仙姥神尼七寶勝
073 第七十三回　　奉正朔偽主班師　慕金仙珠娘學道
074 第七十四回　　兩首詩題南陽草廬　一夕話夢諸葛武侯
075 第七十五回　　慕嚴慈月君巡汴郡　謁庭闈司韜哭冥府
076 第七十六回　　唐月夢錯廣寒闕　梅婢魂歸孝謙主
077 第七十七回　　燒崗山火攻伏卒　決湘江水灌堅城
078 第七十八回　　呂軍師三敗誘蠻酋　荊門州一火燒佷賊
079 第七十九回　　神武廟雙建帝師旗　偃月刀單梟燕帥首
080 第八十回　　吳侍講十年撫孤子　呂師相一疏苊名臣
081 第八十一回　　卜兌卦聖主驚心　訪震宮高人得病
082 第八十二回　　收英才六科列榜　中春闈二弟還家
083 第八十三回　　建文帝敕議君臣典禮　唐月君頒行男女儀制
084 第八十四回　　呂師相奏正刑書　高少保請定賦役
085 第八十五回　　大救凶災剎魔貸金　小施道術鬼神移粟
086 第八十六回　　姚少師毒計全憑炮火　雷將軍神威急顯雲旗
087 第八十七回　　少師謀國訪魔僧　孀姊知君斥逆弟
088 第八十八回　　二十皮鞭了夙緣　一枝禪杖還惡報
089 第八十九回　　白鶴羽士銜金棟凌霄　金箔仙人呼紅雲助駕
090 第九十回　　丹青幻客獻仙容　金剛禪魔鬥法寶
091 第九十一回　　剎魔聖主略揭翠霞裙　火首毗耶永墮紅玉袋
092 第九十二回　　狀元正使現五色花臉　畫士中書變兩角狼頭
093 第九十三回　　申天討飛檄十大罪　命元戎秘授兩奇函
094 第九十四回　　燕庶子三敗走河間　司開府一戰取上谷
095 第九十五回　　劉元帥破堅壁清野　譚監軍獻襄沙渡河
096 第九十六回　　孛夫人暗施毒蜮妖蟆　太陰主小試針鋒劍炁
097 第九十七回　　坎藏水火生紅燄　土合陰陽滅白波
098 第九十八回　　北平城飛玄女片符　榆木川受鬼母一劍
099 第九十九回　　嫦娥白日返瑤台　師相黃冠歸玉局
100 第一○○回　　忠臣義士萬古流芳　烈媛貞姑千秋表節
