001 如此京華 16837 第一回 　　喬篡竊亂登祈年殿　綱領哀唱《望江南》
002 如此京華 16838 第二回 　　危教讀正規彈鋏客　劉僉事亂和閨情詩
003 如此京華 16839 第三回 　　郭先生探歡場奇境　劉老爺演嫖界新規
004 如此京華 16840 第四回 　　春草玉關鍾傳名唱　名花綺席電達悲音
005 如此京華 16841 第五回 　　簾掩蝦鬚曲廊小語　茗焙雀舌書舍怡賓
006 如此京華 16842 第六回 　　萬里梯航人來南國　一幀織錦名遍京華
007 如此京華 16843 第七回 　　陌上搴帷客來不速　燈前弄影記到名詞
008 如此京華 16844 第八回 　　雨花庵佛前參妙諦　沈青兒江上識奇緣
009 如此京華 16845 第九回 　　不顧而唾嗔鶯叱燕　幽然神往屑玉霏珠
010 如此京華 16846 第十回 　　限字畫古人翻新令　尋消息孤鶴憶離鸞
011 如此京華 16847 第十一回 　　論優伶奇情發妙語　鬥豔曲白首倚紅妝
012 如此京華 16848 第十二回 　　李伯純詩貽沈挹芬　破落戶途窘書呆子
013 如此京華 16849 第十三回 　　暄赫頭銜龜能人語　慇懃晉接免解客嘲
014 如此京華 16850 第十四回 　　中人十家貴官一擲　掌班推食知事登天
015 如此京華 16851 第十五回 　　珠絡雲裳盟成信誓　眠香喬醋唱遍新聲
016 如此京華 16852 第十六回 　　紈扇佳人棄擲恨　縫窮婆子定情詩
017 如此京華 16853 第十七回 　　灌夫罵人何嘗真醉　屠兒善價別寓奇文
018 如此京華 16854 第十八回 　　尊前人是戲中事　眼底文多弦外音
019 如此京華 16855 第十九回 　　妖怪娶妻莫名其妙　怒馬歧路突如其來
020 如此京華 16856 第二十回 　　洗兵馬將軍應詩課　破鴛夢名士作花郎
021 如此京華 16857 第二十一回 　　豚犬才名景升兒子　野雞口脗蘇小鄉親
022 如此京華 16858 第二十二回 　　瞎追歡書呆遭呼斥　惡懺悔名士落狴犴
023 如此京華 16859 第二十三回 　　見歪詩名士作和尚　入垂地群婢戰將軍
024 如此京華 16860 第二十四 　　回竹帚先鋒脂雄粉怒　虯髯丈夫劍撥弩張
025 如此京華 16861 第二十五回 　　假排場新恩到輿隸　祈速死痛哭向天涯
026 如此京華 16862 第二十六回 　　古剎秋風蒲團入定　市樓夜醉燈火催歸
027 如此京華 16863 第二十七回 　　香滿蕭齋酒邊戒酒　月明空巷禪外參禪
028 如此京華 16864 第二十八回 　　聽梵音故宮開夜祭　辨篡奪秘冊落人間
029 如此京華 16865 第二十九回 　　被禁錮離懷通尺素　和秋興哀唱動江關
030 如此京華 16866 第三十回 　　獎能員咄嗟供內帑　趁盛會奔走覓街車
031 如此京華 16867 第三十一回 　　趁香車良辰擁佳麗　游僻地糞窖話前游
032 如此京華 16868 第三十二回 　　競優秀禮帽作舞蹈　寄感慨鼓板繞餘音
033 如此京華 16869 第三十三回 　　良宵豔曲飛越夢痕　拉縴掇梯詼諧世故
034 如此京華 16870 第三十四回 　　金榜親題姓名有價　玉郎豔唱本事成詩
035 如此京華 16871 第三十五回 　　禁風狂蘭閨定清課　探秘密瓜子寓癡情
036 如此京華 16872 第三十六回 　　攬人才齊東野肆席　護名花杜丁卯解紛
037 如此京華 16873 第三十七回 　　盛德園作餞春雅集　瓊瑤館逢捧硯雲郎
038 如此京華 16874 第三十八回 　　花錫佳名相思入骨　人來秋院到眼關情
039 如此京華 16875 第三十九回 　　救佳人忽伸拿雲手　問身世偶動惜花心
040 如此京華 16876 第四十回 　　獅子狗來醉漢親吻　紅緯帽在妖怪現形
041 如此京華 16877 第四十一回 　　怒馬嘶風流氓變色　輕車踏曲志士換形
042 如此京華 16878 第四十二回 　　姨娘作遺產公用□　燕尾生以一怒動聽
043 如此京華 16879 第四十三回 　　杯酒忘形瞿太傅充說客　密函出袖方公子失親歡
044 如此京華 16880 第四十四回 　　鴉片煙中妙計　鴇兒口內佳人
045 如此京華 16881 第四十五回 　　鳳去台空花場大索　雀殘人到客邸潛身
046 如此京華 16882 第四十六回 　　嫩掌硬皮膚聲如敗革　老鷹抓小雞鴇離於羅
047 如此京華 16883 第四十七回 　　鳴軺夜發有影娟娟　載豔北歸深情款款
048 如此京華 16884 第四十八回 　　起民意奸雄成一瞬　結書旨新句釋七言
