001 婆羅岸全傳 17883 第一回 　　白花蛇幻形入人世　司空女心動引情魔
002 婆羅岸全傳 17884 第二回 　　窈窈娘問疾惹邪緣　淫妒婦捻酸償宿債
003 婆羅岸全傳 17885 第三回 　　獲靈符吳氏妾為妻　遭雷擊馮家蛇變狗
004 婆羅岸全傳 17886 第四回 　　誤配藥夫人幸脫災　巧誨淫後生終殞命
005 婆羅岸全傳 17887 第五回 　　吳小住分娩釋前因　馬蘭姐歸寧訂私約
006 婆羅岸全傳 17888 第六回 　　重敘舊大鬧繡房中　枉留情初設偷香計
007 婆羅岸全傳 17889 第七回 　　說公事平分百兩金　議私情再設偷香計
008 婆羅岸全傳 17890 第八回 　　惡風流輕拋枉法錢　熱因果三設偷香計
009 婆羅岸全傳 17891 第九回 　　遭晦辱壯體攖羸疾　受虛驚貞婦出藏金
010 婆羅岸全傳 17892 第十回 　　查陰事合家登鬼錄　陷良民一命喪監門
011 婆羅岸全傳 17893 第十一回 　　暗偷情枕上權消渴　明接客筵前暫了緣
012 婆羅岸全傳 17894 第十二回 　　獲異藥公子乍試方　破新瓜女兒初進喜
013 婆羅岸全傳 17895 第十三回 　　驚奇遇蘭姐欲婁身　遭惡客英兒將出閣
014 婆羅岸全傳 17896 第十四回 　　得嬌妻暢偕鸞鳳侶　進雙美大興溫柔鄉
015 婆羅岸全傳 17897 第十五回 　　通消息惹恨花容損　計葬埋轉眼燕巢空
016 婆羅岸全傳 17898 第十六回 　　晤親人口敘別離情　履佛地魂消因果事
017 婆羅岸全傳 17899 第十七回 　　小英兒病裡見前身　狂和尚街前說往事
018 婆羅岸全傳 17900 第十八回 　　周鳳官哭妻腸欲斷　袁佛子生孫喜未闌
019 婆羅岸全傳 17901 第十九回 　　不茹葷孩子饒佛性　計捨子袁大拂初心
020 婆羅岸全傳 17902 第二十回 　　憶兒身蠢妻偏係懷　歸佛門靈蛇終證果
