001 宛如約 13274 第一回 　　天水佳人洗蛾眉充白面　司空學士開花逕代紅絲
002 宛如約 13275 第二回 　　青眼誤借彈詞款婚姻　俏心深偷和詩送消息
003 宛如約 13276 第三回 　　趙如子恐錯過兩題勾引句　司空約要分明一訪列眉村
004 宛如約 13277 第四回 　　趙如子苦留意再題勾引句　司空約不放心二訪列眉村
005 宛如約 13278 第五回 　　司空約訪假名真著急　趙媽媽明勾引細商量
006 宛如約 13279 第六回 　　窺半面銷魂欲死　現全身信筆題詩
007 宛如約 13280 第七回 　　刻骨鏤心無暇鹿鳴先報喜　憐才注意忽聞有女且停驂
008 宛如約 13281 第八回 　　百拜香奩自愧書生命薄　經年選閣甘憐淑女無緣
009 宛如約 13282 第九回 　　豪華紈絝目不識丁　現任公卿直言無隱
010 宛如約 13283 第十回 　　觸目驚心急向蛾眉爭坐位　輸情到底何妨月老定雙棲
011 宛如約 13284 第十一回 　　奸人播弄計可瞞天　淑女深心巧能迴護
012 宛如約 13285 第十二回 　　少年及第垂涎有女之家　醜婦洞房卻恨貪杯之客
013 宛如約 13286 第十三回 　　司空約苦陳情無倫無黨　趙如子感生憐有始有終
014 宛如約 13287 第十四回 　　執柯斧變成姊妹　驗生辰分別尊卑
015 宛如約 13288 第十五回 　　惡姻緣各自圖謀　聖天子赫然震怒
016 宛如約 13289 第十六回 　　佳人才子大團圓　醜婦蠢夫皆遂意
