001 第一回　　入京華勛裔晉道台　游天津爵臣徵幕府
002 第二回　　監朝鮮使節趲遙程　入京華群僚開大會
003 第三回　　宴華園別友出京門　電天津請兵平亂黨
004 第四回　　爭韓政清日交兵　策軍情袁氏返國
005 第五回　　改電文革員遭重譴　練軍營袁道拜私恩
006 第六回　　談新政袁氏擢侍郎　發私謀榮相興黨禍
007 第七回　　革樞臣黨人臨菜市　立阿哥天子入瀛台
008 第八回　　附端王積仇騰謗語　發伊犁送友論交情
009 第九回　　蓄異志南省括資財　勘參案上房通賄賂
010 第十回　　墮欲海相國入迷途　剿團黨撫臣陳左道
011 第十一回　　立盟約疆臣抗偽命　獎殊勛撫帥授兼析
012 第十二回　　離東島返國謁疆臣　入北洋督衙擒刺客
013 第十三回　　縱刺客贈款南歸　對強鄰觀兵中立
014 第十四回　　論中立諸將紀功　興黨禍廿人流血
015 第十五回　　疚家庭介弟陳書　論國仇學生寄柬
016 第十六回　　贖青樓屬吏獻嬌姿　憾黃泉美人悲薄命
017 第十七回　　爭內閣藩邱擊疆臣　謀撫院道台獻歌妓
018 第十八回　　出京門美人悲薄倖　入樞垣疆吏卸兵權
019 第十九回　　息風謠購槍驚各使　被讒言具表卸兼差
020 第二十回　　慶生辰蘭弟拜蘭兄　籌借款國民責國賊
021 第二十一回　　拒借款汪大燮出差　遭大喪袁尚書入衛
022 第二十二回　　請訓政鐵良惑宮禁　遭讒言袁氏遁山林
