000 本書說明
001 第一回　　顏按院奉旨上任　襄陽王興心害人
002 第二回　　智化夜深銅網陣　玉堂涉險盜盟單
003 第三回　　青臉虎看陣遇害　白玉堂失印追賊
004 第四回　　顏大人哭勸錦毛鼠　公孫策智騙盜印賊
005 第五回　　王爺府二賊廢命　白義士墜網亡身
006 第六回　　襄陽王帥眾觀義士　白護衛死屍斬張華
007 第七回　　臥虎溝蔣平定醜女　上院衙貓鼠見欽差
008 第八回　　穿山鼠小店摔酒盞　蔣澤長撈印奔寒泉
009 第九回　　逆水潭中不見大人印　山神廟內巧遇惡嘍兵
010 第十回　　盧方自縊蟠龍嶺　路彬指告鵝頭峰
011 第十一回　　樵夫巧言哄寨主　大人見印哭賓朋
012 第十二回　　王官仗勢催用印　蔣平定計哄賊人
013 第十三回　　神手聖奮勇行刺　沈中元棄暗投明
014 第十四回　　樹林氣走巡風　客當堂哭死忠義人
015 第十五回　　挖雙睛鄧車吸呼死　祭拜弟俠義墜牢籠
016 第十六回　　山內鍾雄謙恭和藹　寨中徐慶酒後反桌
017 第十七回　　二俠義巧會鍾寨主　三英雄求見蔣澤長
018 第十八回　　徐三爺鬼眼川發燥　無鱗鼇在水寨追人
019 第十九回　　入水寨吸呼廢命　到大關受險擔驚
020 第二十回　　蔣爺一人鎸船底　北俠大眾盜骨壇
021 第二十一回　　徐慶獨自擋山寇　智化二友假投降
022 第二十二回　　晨起望群雄設計　洞庭湖二友觀山
023 第二十三回　　讀招賢榜有人偷看　改豹貔庭自顯奇能
024 第二十四回　　飛雲關念榜談故典　徹水寨吊起獨木橋
025 第二十五回　　識破機關仗著糊拉混扯　哄信寨主全憑口巧舌能
026 第二十六回　　削剛刀毛保甘受苦　論寶劍智化暗罵人
027 第二十七回　　論本領刀削佞性漢　發誓願結拜假意人
028 第二十八回　　在後寨見姪誇相貌　獅子林老僕暗偷聽
029 第二十九回　　眾人議論捨命勸寨主　彼此商量備帖請沙龍
030 第三十回　　一個英雄中計遭兇險　二位姑娘奮勇鬧公堂
031 第三十一回　　姑娘扮男妝行路　智化討書信求情
032 第三十二回　　回王爺府苦求釋　老將山谷中二女墜牢籠
033 第三十三回　　假艾虎受害悲後喜　真蔣平遊戲死中活
034 第三十四回　　魏昌小店逢義士　蔣平古廟遇龍滔
035 第三十五回　　盜髮簪柳員外受哄　舞寶劍鍾太保添歡
036 第三十六回　　為誆寶劍丁展雙舞劍　設局詐降龍姚假投降
037 第三十七回　　承運殿大醉因貪酒　五雲軒夢裡受毒香
038 第三十八回　　回慶生辰鍾雄被獲　闖大寨智化遭擒
039 第三十九回　　逃難遇難親姐弟　起誓應誓同胞人
040 第四十回　　甘婆藥酒害艾虎　智化苦口勸鍾雄
041 第四十一回　　寨主回山重整軍務　英雄聽勸骨肉團圓
042 第四十二回　　蔣澤長八寶巷探路　老霍振在家中泄機
043 第四十三回　　蔣平見鐵車套實話　展昭遇黑影暗追賊
044 第四十四回　　伏薰香捉拿彭啟　假害怕哄信雷英
045 第四十五回　　見大人見刑具魂飛魄散　看油鍋看刀山膽戰心驚
046 第四十六回　　地君府聽審鬼可怕　閻王殿招清供畫圖
047 第四十七回　　陣圖畫全商量破網　大人一丟議論懸樑
048 第四十八回　　觀詩文參破其中意　定計策分路找大人
049 第四十九回　　小義士偷跑尋按院　勇金剛遭打找門人
050 第五十回　　張家莊三人重結拜　華容縣二友問牧童
051 第五十一回　　覆盛店店東暗用計　綺春園國內看遊人
052 第五十二回　　賞雪亭喬賓奮勇　流風閣張豹助拳
053 第五十三回　　回到花園為朋友捨命　在葦塘表兄弟相逢
054 第五十四回　　眾好漢分手岔路　小英雄自奔西東
055 第五十五回　　空有銀錢難買命　尋找拜弟救殘生
056 第五十六回　　徐良上囊陽獻鐵　艾虎奔賊店救人
057 第五十七回　　小義士戲耍高家店　山西雁藥酒灌賊人
058 第五十八回　　到黑店胡喬裝病　烏龍崗徐艾追賊
059 第五十九回　　徐良得刀精神倍長　高解丟店喪氣垂頭
060 第六十回　　朋友初逢一見如故　好漢無錢寸步難行
061 第六十一回　　因打虎巧遇展國棟　為吃肉染病猛烈人
062 第六十二回　　打虎將有心結拜　盧公子無意聯姻
063 第六十三回　　小爺敗走西花園　內公子助拳太湖石前
064 第六十四回　　黃花鎮小五義聚會　全珍館眾英雄相逢
065 第六十五回　　楞漢子吃茶誇好　莽男兒喝湯噴人
066 第六十六回　　盧珍假充小義士　張英被哄錯磕頭
067 第六十七回　　結金蘭五人同心合意　在破廟艾虎搭救賓朋
068 第六十八回　　三賊喪命惡貫滿　二人連夜奔家鄉
