001 常言道 9472 第一回 　　論人我當思人即我我即人　計得失須知得是失失是得
002 常言道 9473 第二回 　　錢落空身輕浮大海　心向上手援遇燧人
003 常言道 9474 第三回 　　時規被小人作賤　錢愚受一文牽制
004 常言道 9475 第四回 　　坐井觀天得錢便作驕態　斯文掃地失意怎肯低頭
005 常言道 9476 第五回 　　時伯濟有去無來　錢士命只進弗出
006 常言道 9477 第六回 　　萬笏見柴起意　時生遇李安身
007 常言道 9478 第七回 　　化僧飽暖思行浴　邛詭饑寒起道心
008 常言道 9479 第八回 　　試利場柴主拖威　摸奶河邛詭被殺
009 常言道 9480 第九回 　　施利仁重富貴甘心受辱　墨用繩賣聰明當面倒霉
010 常言道 9481 第十回 　　掩耳偷鈴不搜自己房幃　吹毛求疵只覓別人破綻
011 常言道 9482 第十一回 　　自汛將軍無藥可治　脫空祖師有法難使
012 常言道 9483 第十二回 　　錢愚心虛求佛　化僧膽大弄鬼
013 常言道 9484 第十三回 　　時伯濟時運來前後一人名頓改　小人國大人國高低兩地各攸分
014 常言道 9485 第十四回 　　時伯濟得時便得濟　錢士命要錢不要命
015 常言道 9486 第十五回 　　飛錢原作飛錢用　惡人自有惡人磨
016 常言道 9487 第十六回 　　半世經營無隻字禍因惡積　一家歡樂得雙錢福緣善慶
