001 廿載繁華夢 6066 第一回 　　就關書負擔訪姻親　買職吏匿金欺舅父
002 廿載繁華夢 6067 第二回 　　領年庚演說書吏　論妝奩義諫豪商
003 廿載繁華夢 6068 第三回 　　返京城榷使殞中途　鬧閨房鄧娘歸地府
004 廿載繁華夢 6069 第四回 　　續琴弦馬氏嫁豪商　謀差使聯元宴書吏
005 廿載繁華夢 6070 第五回 　　三水館權作會陽台　十二紳同結談瀛社
006 廿載繁華夢 6071 第六回 　　賀姜酌周府慶宜男　建齋壇馬娘哭主婦
007 廿載繁華夢 6072 第七回 　　偷龍轉鳳巧計難成　打鴨驚鴛姻緣錯配
008 廿載繁華夢 6073 第八回 　　活填房李慶年迎妾　擋子班王春桂從良
009 廿載繁華夢 6074 第九回 　　鬧別宅馬娘喪氣　破紅塵桂妹修齋
010 廿載繁華夢 6075 第十回 　　鬧谷埠李宗孔爭釵　走香江周棟臣懼禍
011 廿載繁華夢 6076 第十一回 　　築劇台大興土木　交豪門共結金蘭
012 廿載繁華夢 6077 第十二回 　　狡和尚看相論銀精　冶丫環調情鬧花逕
013 廿載繁華夢 6078 第十三回 　　餘慶雲被控押監房　周少西受委權書吏
014 廿載繁華夢 6079 第十四回 　　賴債項府堂辭舅父　饋嬌姿京邸拜王爺
015 廿載繁華夢 6080 第十五回 　　拜恩命倫敦任參贊　禮經筵馬氏慶宜男
016 廿載繁華夢 6081 第十六回 　　斷姻情智卻富豪家　慶除夕火燒參贊府
017 廿載繁華夢 6082 第十七回 　　論寶鏡周家賞傭婦　贈繡衣馬氏結尼姑
018 廿載繁華夢 6083 第十八回 　　譖長男驚夢惑尼姑　遷香江卜居鄰戲院
019 廿載繁華夢 6084 第十九回 　　對繡衣桂尼哭佛殿　竊金珠田姐逮公堂
020 廿載繁華夢 6085 第二十回 　　定竊案控僕入監牢　謁祖祠分金修屋舍
021 廿載繁華夢 6086 第二十一回 　　遊星洲馬氏漏私煙　悲往事伍娘歸地府
022 廿載繁華夢 6087 第二十二回 　　辦煤礦馬氏喪資　宴娼樓周紳祝壽
023 廿載繁華夢 6088 第二十三回 　　天師局李慶年弄計　賽金樓佘老五爭娼
024 廿載繁華夢 6089 第二十四回 　　勤報效書吏進京卿　應恩闈幼男領鄉薦
025 廿載繁華夢 6090 第二十五回 　　酌花筵娼院遇丫環　營部屋周家嫁長女
026 廿載繁華夢 6091 第二十六回 　　周淑姬出閣嫁豪門　德榷使吞金殉宦海
027 廿載繁華夢 6092 第二十七回 　　繁華世界極侈窮奢　冷暖人情因財失義
028 廿載繁華夢 6093 第二十八回 　　誣姦情狡妾裸衣　賑津饑周紳助款
029 廿載繁華夢 6094 第二十九回 　　爭家權長子誤婚期　重洋文京卿尋侍妾
030 廿載繁華夢 6095 第三十回 　　苦謀差京卿拜閹宦　死忘情債主籍良朋
031 廿載繁華夢 6096 第三十一回 　　黃家兒納粟捐虛銜　周次女出閨成大禮
032 廿載繁華夢 6097 第三十二回 　　挾前仇佘子谷索資　使西歐周棟臣奉詔
033 廿載繁華夢 6098 第三十三回 　　謀參贊汪太史謁欽差　尋短見周乃慈憐侍妾
034 廿載繁華夢 6099 第三十四回 　　留遺物慘終歸地府　送年庚許字配豪門
035 廿載繁華夢 6100 第三十五回 　　赴京城中途驚噩耗　查庫項大府劾欽差
036 廿載繁華夢 6101 第三十六回 　　潘雲卿逾垣逃險地　李香桃奉主入監牢
037 廿載繁華夢 6102 第三十七回 　　奉督諭抄檢周京堂　匿資財避居香港界
038 廿載繁華夢 6103 第三十八回 　　聞示令商界苦誅求　請查封港官駁照會
039 廿載繁華夢 6104 第三十九回 　　情冷暖侍妾別周家　苦羈留馬娘憐弱女
040 廿載繁華夢 6105 第四十回 　　走暹羅重尋安樂窩　慘風潮驚散繁華夢
