001 後宋慈雲走國全傳 7717 第一回 　　賢良母命子省親　英雄漢鋤奸惹禍
002 後宋慈雲走國全傳 7718 第二回 　　遵國法押子登朝　承君命抗奸定案
003 後宋慈雲走國全傳 7719 第三回 　　保忠良視死如歸　抹奏折被蒙似偶
004 後宋慈雲走國全傳 7720 第四回 　　五路藩王歸國急　三忠扶主進謀高
005 後宋慈雲走國全傳 7721 第五回 　　露機謀含冤殞命　盡臣節構死毆奸
006 後宋慈雲走國全傳 7722 第六回 　　辱龐妃鄭彪中計　保藩王趙儲規陳
007 後宋慈雲走國全傳 7723 第七回 　　投古廟神祇指示　遇故人英雄結拜
008 後宋慈雲走國全傳 7724 第八回 　　善善國入貢興師　寇兵部泄機表儲
009 後宋慈雲走國全傳 7725 第九回 　　赦藩王回關復職　妒仇嗣買馬為名
010 後宋慈雲走國全傳 7726 第十回 　　岳元帥詐病回師　耀武侯提兵代印
011 後宋慈雲走國全傳 7727 第十一回 　　保英雄柴王諫主　憫忠嗣種帥誆奸
012 後宋慈雲走國全傳 7728 第十二回 　　泄軍機二將分逃　卸罪名三雄妙算
013 後宋慈雲走國全傳 7729 第十三回 　　劉家莊佳人著祟　雙龍山杰漢招親
014 後宋慈雲走國全傳 7730 第十四回 　　忘大義小人泄忿　假辦公奸佞窮過
015 後宋慈雲走國全傳 7731 第十五回 　　辜恩狠毒難逃法　守禮賢良易喪身
016 後宋慈雲走國全傳 7732 第十六回 　　圖殺奸臣因致仕　重托孤兒悔昔非
017 後宋慈雲走國全傳 7733 第十七回 　　泄真情賈氏歸陰　拜假父慈雲落泊
018 後宋慈雲走國全傳 7734 第十八回 　　王太子招災遇舅　孫指揮狹路逢仇
019 後宋慈雲走國全傳 7735 第十九回 　　范太尉按律除奸　龐國丈唆兵損子
020 後宋慈雲走國全傳 7736 第二十回 　　存大節龐清捐軀　施妖術道人傷將
021 後宋慈雲走國全傳 7737 第二十一回 　　避妖術君臣失散　破高山龍鳳分離
022 後宋慈雲走國全傳 7738 第二十二回 　　散雙龍焦帥班師　逢村漢儲君權駐
023 後宋慈雲走國全傳 7739 第二十三回 　　貪功謀害傾家業　遇救收留脫網羅
024 後宋慈雲走國全傳 7740 第二十四回 　　贈龍帕露泄真情　拘儲君傷殘家口
025 後宋慈雲走國全傳 7741 第二十五回 　　王太子窮途得濟　程小姐險道逢安
026 後宋慈雲走國全傳 7742 第二十六回 　　識儲君主心結拜　賺佞黨用智安排
027 後宋慈雲走國全傳 7743 第二十七回 　　龍鳳再離仍寄跡　君臣復會定三軍
028 後宋慈雲走國全傳 7744 第二十八回 　　奉懿旨提兵對壘　破大敵用火攻營
029 後宋慈雲走國全傳 7745 第二十九回 　　看龍舟儲君驚失　渡懷江吏部欣逢
030 後宋慈雲走國全傳 7746 第三十回 　　貪功奸佞終難遁　有福君王定脫危
031 後宋慈雲走國全傳 7747 第三十一回 　　疆場地妖道破敵　紫金山柴王會兵
032 後宋慈雲走國全傳 7748 第三十二回 　　破妖術眾軍授首　解重圍五路興兵
033 後宋慈雲走國全傳 7749 第三十三回 　　議興師暗投密旨　謀墓位明聚群奸
034 後宋慈雲走國全傳 7750 第三十四回 　　眾藩王起義興師　群奸佞交鋒遭網
035 後宋慈雲走國全傳 7751 第三十五回 　　獲私書封臣會合　誅奸佞繼統團圓
