001 後水滸傳 21928 第一回 　　燕小乙訪舊事暗傷心　羅真人指新魔重出世
002 後水滸傳 21929 第二回 　　寄遠鄉百姓被金兵　柳壤村楊么夢神女
003 後水滸傳 21930 第三回 　　小陽春騎虎識英雄　游六藝領眾鬧村市
004 後水滸傳 21931 第四回 　　逞武藝楊么服眾　交錢糧花茂遭殃
005 後水滸傳 21932 第五回 　　焦面鬼劫擄自家人　小陽春薦賢同入伙
006 後水滸傳 21933 第六回 　　鐵殼臉獨劫大樹坡　揭浪蛟挈避軒轅廟
007 後水滸傳 21934 第七回 　　火老鴉設計散相思　花蝴蝶窮探春消息
008 後水滸傳 21935 第八回 　　圖富貴賣奸瞞婿　甘作妾表裡仇夫
009 後水滸傳 21936 第九回 　　鬼算計冷笑似無情　小太歲殺人如切菜
010 後水滸傳 21937 第十回 　　楊么為村人府堂刺配　邰元酒結識江上殺人
011 後水滸傳 21938 第十一回 　　小太歲焦山同入伙　楊義勇園內結新仇
012 後水滸傳 21939 第十二回 　　小陽春甘認罪不攀人　常好漢自伏辜出好友
013 後水滸傳 21940 第十三回 　　楊大郎路阻蛾眉嶺　殷尚赤情戀張瑤琴
014 後水滸傳 21941 第十四回 　　殷尚赤爭風月打鹽商　董敬泉苦銀錢買節級
015 後水滸傳 21942 第十五回 　　孫節級獄底放冤人　屠金剛陣前招女婿
016 後水滸傳 21943 第十六回 　　好夫妻拚命捻酸　熱心腸兩頭和事
017 後水滸傳 21944 第十七回 　　朱仙鎮打擂台逞英雄　節級家賞中秋致奇禍
018 後水滸傳 21945 第十八回 　　無知婢暗偷情碎寶杯　壞心奴巧逃生首家主
019 後水滸傳 21946 第十九回 　　開封府孫本充軍　麒麟山王摩被逐
020 後水滸傳 21947 第二十回 　　青竹蛇調麻藥作生涯　鄭天佑合群雄劫秦餉
021 後水滸傳 21948 第二十一回 　　眾愚民昇天成白骨　兩好漢雙箭射紅燈
022 後水滸傳 21949 第二十二回 　　弄風沙潛蹤滅跡　秦虞侯畫影圖形
023 後水滸傳 21950 第二十三回 　　楊么赦還鄉同形被縛　馬霳愛好漢拚命救人
024 後水滸傳 21951 第二十四回 　　白雲山四英雄小結義　龍尾嶺兩押差私害人
025 後水滸傳 21952 第二十五回 　　黑瘋子氣憤憤怪人輕　許蕙娘鐵錚錚守節義
026 後水滸傳 21953 第二十六回 　　楊義士拚命救佳人　前知神設謀合大伙
027 後水滸傳 21954 第二十七回 　　不約同大鬧開封府　義氣合齊上白雲山
028 後水滸傳 21955 第二十八回 　　小陽春思父母還鄉　黑瘋子趕朋友作伴
029 後水滸傳 21956 第二十九回 　　屠俏不提防遇官兵　楊么用妙計擒黃佐
030 後水滸傳 21957 第三十回 　　路見不平打德明　坐護鄉村遇常況
031 後水滸傳 21958 第三十一回 　　鄉人乘醉捉馬霳　當事無知升太尉
032 後水滸傳 21959 第三十二回 　　楊么為父母受刑　馬霳救朋友陷獄
033 後水滸傳 21960 第三十三回 　　何能義激柳壤村　文用智賺岳陽府
034 後水滸傳 21961 第三十四回 　　柳壤村應風水奔楊么　眾弟兄驗天時同聚義
035 後水滸傳 21962 第三十五回 　　賀太尉魂銷九曲嶺　黑瘋子身脫武昌監
036 後水滸傳 21963 第三十六回 　　誦真經智擒雙將　看車水巧制輪船
037 後水滸傳 21964 第三十七回 　　襲廣陵喜歸勇士　下教場快殺前仇
038 後水滸傳 21965 第三十八回 　　夏不求因名償實罪　小陽春感夢見前身
039 後水滸傳 21966 第三十九回 　　神棍合借朱潤還家　鐵匣開遇楊么出井
040 後水滸傳 21967 第四十回 　　小陽春聞朝政心傷　宋高宗遇天中作樂
041 後水滸傳 21968 第四十一回 　　楊么入宮諫天子　高宗因義釋楊么
042 後水滸傳 21969 第四十二回 　　再蕭何抗違軍令　眾豪傑大悟前身
043 後水滸傳 21970 第四十三回 　　英雄誤入煙花寨　俏婦從權認丈夫
044 後水滸傳 21971 第四十四回 　　袁軍師錦囊遺妙計　岳少保決算大驚人
045 後水滸傳 21972 第四十五回 　　岳少保收服么摩　眾星宿各安躔次
