001 第一回　　花果山心源流後派　水濂洞小聖悟前因
002 第二回　　旁參無正道　歸來得真師
003 第三回　　力降龍虎　道伏鬼神
004 第四回　　亂出萬緣　定於一本
005 第五回　　唐三藏悲世墮邪魔　如來佛欲人得真解
006 第六回　　匡君失賢臣遭貶　明佛教高僧出山
007 第七回　　大顛僧盡心護法　唐三藏顯聖封經
008 第八回　　大顛僧承恩求解　唐祖師傳咒收心
009 第九回　　心猿求意馬　東土望西天
010 第十回　　心明清淨法　棒喝野狐禪
011 第十一回　　後因不昧皆前果　外道收回即本家
012 第十二回　　一戒認親　釘耙歸主
013 第十三回　　缺陷留連　葛藤掛礙
014 第十四回　　金有氣填平缺陷　默無言斬斷葛藤
015 第十五回　　假沙彌水面陷師　小天蓬河底捉怪
016 第十六回　　弄陰風熱心欲死　灑聖血枯骨回春
017 第十七回　　小行者力打截腰坑　老魔王密鋪情欲塹
018 第十八回　　唐長老心散著魔　小行者分身伏怪
019 第十九回　　唐長老坐困火雲樓　小行者大鬧五莊觀
020 第二十回　　黑風吹鬼國　狹路遇冤家
021 第二十一回　　域中夜黑亂魔生潭　底日紅陰怪滅
022 第二十二回　　唐長老逢迂儒絕糧　小行者假韋馱獻供
023 第二十三回　　文筆壓人　金錢捉將
024 第二十四回　　走漏出無心　收回因有主
025 第二十五回　　莽和尚受風流罪過　俏佳人弄花月機關
026 第二十六回　　歸並一心　掃除十惡
027 第二十七回　　唐長老真屈真消　野狐精假遭假騙
028 第二十八回　　鑿通二氣無寒暑　陷入陰陽有死生
029 第二十九回　　顛倒陰陽　深窮造化
030 第三十回　　造化弄人　平心脫套
031 第三十一回　　掃清六賊　殺盡三尸
032 第三十二回　　小行者金箍棒聞名　豬一戒玉火鉗被夾
033 第三十三回　　冷雪方能洗欲火　情絲繫不住心猿
034 第三十四回　　惡妖精口中設城府　莽和尚腹內動干戈
035 第三十五回　　唐長老清淨無掛礙　豬一戒貪嗔有牽纏
036 第三十六回　　蓮化村思食得食　從東寺避魔逢魔
037 第三十七回　　笑和尚傳咒卻邪　惡閻羅授方超生
038 第三十八回　　從肝脾肺腎以求心　歷地水火風而證道
039 第三十九回　　到靈山有無見佛　得真解來去隨心
040 第四十回　　開經重講　得解證盟
