000 本書說明
001 第一回　　觀勝會游憩梵宮　看嬌娃奔馳城市
002 第二回　　小秀才改扮書童　老婆子拿扳券保
003 第三回　　楚卿假贈綠蔥簪　衾兒錯認鴛鴦譜
004 第四回　　沒奈何押盤隨轎　有機變考古徵詩
005 第五回　　題畫扇當面挑情　換藍魚痴心解佩
006 第六回　　沈夫人打草驚蛇　俞縣尹執柯泣鳳
007 第七回　　守錢梟燒作爛蝦蟆　濫淫婦斷配群花子
008 第八回　　村學究山舍作歪詩　富監生茶坊傳喜信
009 第九回　　費功夫嚴於擇婿　空跋涉祇是投詩
010 第十回　　端陽哭別娘離女　秋夜欣逢弟會兄
011 第十一回　　喪良心酒鬼賣甥　報深恩美婢救主
012 第十二回　　有錢時醉漢偏醒　遇難處金蟬脫殼
013 第十三回　　貞且烈擲簪斷義　負淑女二載幽期
014 第十四回　　剛而正贈婦無淫　哄新郎一時逃走
015 第十五回　　錯裏錯二美求婚　誤中誤終藏醋意
016 第十六回　　是不是兩生敘舊　喜相逢熬煞春心
017 第十七回　　貼試錄驚駭岳母　送燈籠急壞丈人
018 第十八回　　戲新婦吉席自招磨　為情郎舟中各吃醋
019 第十九回　　假報讎衾兒難新郎　真掉包若素尋夫婿
020 第二十回　　醒塵夢軒庭合笑　聯鴛被魚水同諧
