001 第一回　　校士館家奴談歷史　高升店太守謁洋人
002 第二回　　識大體刺史講外交　惑流言童生肇事端
003 第三回　　礦師窬牆逃性命　舉人係獄議罪名
004 第四回　　倉猝逃生災星未退　中西交謫賢守為難
005 第五回　　通賄賂猾吏贈川資　聽攛撥礦師索賠款
006 第六回　　新太守下馬立威　弱書生會文被捕
007 第七回　　捕會黨雷厲風行　設捐局癡心妄想
008 第八回　　改洋裝書生落難　竭民膏暴吏橫征
009 第九回　　毀捐局商民罷市　救會黨教士索人
010 第十回　　縱虎歸山旁觀灼見　為魚設餌當道苦心
011 第十一回　　卻禮物教士見機　毀生祠太尊受窘
012 第十二回　　助資斧努力前途　質嫁衣傷心廉吏
013 第十三回　　不亢不卑難求中禮　近朱近墨洞識先機
014 第十四回　　解牙牌數難祛迷信　讀新聞紙漸悟文明
015 第十五回　　違慈訓背井離鄉　誇壯游乘風破浪
016 第十六回　　妖姬纖豎婚姻自由　草帽皮靴裝束殊異
017 第十七回　　老副貢論世發雄談　洋學生著書誇秘本
018 第十八回　　一燈呼吸競說維新　半價招徠謬稱克己
019 第十九回　　婚姻進化桑濮成風　女界改良鬚眉失色
020 第二十回　　演說壇忽生爭競　熱鬧場且賦歸來
021 第二十一回　　還遺財商業起家　辦學堂仕途借逕
022 第二十二回　　巧夤緣果離學界　齊著力丕振新圖
023 第二十三回　　為遊學枉道干時　阻翻台正言勸友
024 第二十四回　　太史維新喜膺總教　中丞課吏妙選真才
025 第二十五回　　學華文師生沆瀣　聽演說中外糾纏
026 第二十六回　　入會黨慈母心驚　議避禍書生膽怯
027 第二十七回　　湖上風光足娛片晌　官場交際略見一斑
028 第二十八回　　戕教士大令急辭官　懼洋兵鄉紳偷進府
029 第二十九回　　修法律欽使回京　裁書吏縣官升座
030 第三十回　　辦刑錢師門可靠　論新舊翰苑稱雄
031 第三十一回　　名士清談西城挾妓　幕僚籌策北海留賓
032 第三十二回　　請客捐貲刁商後到　趁風縱火惡棍逞凶
033 第三十三回　　查閉市委員訛索　助罰款新令通融
034 第三十四回　　下鄉場腐儒矜秘本　開學堂志士表同心
035 第三十五回　　謁撫院書生受氣　遇貴人會黨行兇
036 第三十六回　　適異國有心向學　謁公使無故遭殃
037 第三十七回　　出警署滿腔熱血　入洋教一線生機
038 第三十八回　　脫罪名只憑詞組　辦交涉還仗多財
039 第三十九回　　捐紳富聊充貪吏囊　論婚姻竟拂慈闈意
040 第四十回　　河畔尋芳盈盈一水　塘邊遇美脈脈兩情
041 第四十一回　　北闕承恩一官還我　西河抱痛多士從公
042 第四十二回　　阻新學警察鬧書坊　懲異服書生下牢獄
043 第四十三回　　誇華族中丞開學校　建酒館革牧創公司
044 第四十四回　　辦官報聊籌抵制方　聘洋員隱寓羈縻意
045 第四十五回　　柔色怡聲待遊歷客　卑禮厚幣聘顧問官
046 第四十六回　　謁志士如入黑獄　送行人齊展白巾
047 第四十七回　　黃金易盡故主寒心　華髮重添美人回意
048 第四十八回　　改華裝巧語飾行藏　論圜法救時抒抱負
049 第四十九回　　該晦氣無端賠貴物　顯才能乘醉讀西函
050 第五十一回　　公司船菜單冒行家　跳舞會花翎驚貴女
051 第五十二回　　聞禁約半途破膽　出捐款五字驚心
052 第五十三回　　風光在眼著書記游　利欲熏心當筵受騙
053 第五十四回　　改稟帖佐雜虛心　購機器觀察快意
054 第五十五回　　險世界聯黨覓錙銖　惡社會無心落圈套
055 第五十六回　　閱大操耀武天津衛　讀絕句訂交莫愁湖
056 第五十七回　　聲東擊西傻哥甘上當　樹援結黨賤僕巧謀差
057 第五十八回　　善鑽營深信老奴言　假按摩巧獻美人計
058 第五十九回　　論革命幕府縱清談　救月食官衙循舊例
059 第六十回　　一分禮聳動骨董名家　半席談結束文明小史
