001 明清兩週志演義 20496 第一回 　　董其昌識拔吳三桂　袁崇煥計斬毛文龍
002 明清兩週志演義 20497 第二回 　　還五將建州修玉帛　贅三桂藩府鬧笙歌
003 明清兩週志演義 20498 第三回 　　結勇將田畹獻歌姬　出重鎮吳襄留庶媳
004 明清兩週志演義 20499 第四回 　　發舊案袁崇煥遭刑　謀大事李自成起義
005 明清兩週志演義 20500 第五回 　　憤縣令李岩從亂黨　破神京闖逆擄圓姬
006 明清兩週志演義 20501 第六回 　　殺妻兒崇禎皇自縊　爭美姬吳三桂哭師
007 明清兩週志演義 20502 第七回 　　爭圓圓吳三桂借兵　殺吳襄李自成抗敵
008 明清兩週志演義 20503 第八回 　　棄圓姬闖王奔西陝　賜誥命三桂卻南朝
009 明清兩週志演義 20504 第九回 　　左懋第被困北京城　李自成走死羅公嶺
010 明清兩週志演義 20505 第十回 　　掃流寇吳帥就藩封　懺前情圓姬修道果
011 明清兩週志演義 20506 第十一回 　　孫可望歸降永歷皇　吳平西大破劉文秀
012 明清兩週志演義 20507 第十二回 　　平西王兵進雲南城　永歷皇夜走永昌府
013 明清兩週志演義 20508 第十三回 　　孫可望逼封三秦王　吳平西手弒永歷帝
014 明清兩週志演義 20509 第十四回 　　篦子坡永歷皇被縊　北京城吳三桂奔喪
015 明清兩週志演義 20510 第十五回 　　築菜園陳姬托修齋　依海市楊娥謀討賊
016 明清兩週志演義 20511 第十六回 　　捕刺客勇士護吳王　忌兵權朝意移藩鎮
017 明清兩週志演義 20512 第十七回 　　陳圓姬遺書諫藩邸　吳三桂易服祭明陵
018 明清兩週志演義 20513 第十八回 　　北京城使臣告變　衡州府三桂稱尊
019 明清兩週志演義 20514 第十九回 　　建帝號吳三桂封官　受軍符蔡毓榮調將
020 明清兩週志演義 20515 第二十回 　　迎馬首孫延齡殞命　卜龜圖吳三桂灰心
021 明清兩週志演義 20516 第二十一回 　　據陝西王屏藩起事　逼洞庭夏國相鏖兵
022 明清兩週志演義 20517 第二十二回 　　張勇大戰王屏藩　鄭經通使吳三桂
023 明清兩週志演義 20518 第二十三回 　　王輔臣舉兵戕經略　南懷仁制炮破吳軍
024 明清兩週志演義 20519 第二十四回 　　高大節智破安親王　夏國相敗走醴陵縣
025 明清兩週志演義 20520 第二十五回 　　韓大任敗死揚子江　高提台大戰大覺寺
026 明清兩週志演義 20521 第二十六回 　　高大節憤死九江城　吳三桂親征鬆磁市
027 明清兩週志演義 20522 第二十七回 　　走固原王輔臣投降　奪荊州蔡毓榮獻捷
028 明清兩週志演義 20523 第二十八回 　　棄岳州馬寶走長沙　據平涼屏藩破圖海
029 明清兩週志演義 20524 第二十九回 　　棄江西國相退兵　走廣東尚王殞命
030 明清兩週志演義 20525 第三十回 　　郭壯圖飾時修古塔　夏國相倡議棄長沙
031 明清兩週志演義 20526 第三十一回 　　出鄖陽三桂殯天　陷敵營蓮兒絕粒
032 明清兩週志演義 20527 第三十二回 　　吳世蕃繼位衡陽　夏國相退兵黔省
033 明清兩週志演義 20528 第三十三回 　　拔固原圖海鏖兵　走漢中屏藩殉國
034 明清兩週志演義 20529 第三十四回 　　胡國柱敗走貴陽城　傅宏烈起兵桂林府
035 明清兩週志演義 20530 第三十五回 　　康親王會兵平閩浙　趙良棟奉命取成都
036 明清兩週志演義 20531 第三十六回 　　趙良棟大戰陽平關　楊嘉來敗走夔州府
037 明清兩週志演義 20532 第三十七回 　　困羅森五將取成都　逼永興孤城抗大敵
038 明清兩週志演義 20533 第三十八回 　　敗譚洪趙良棟進雲南　間馬寶蔡毓榮擺象陣
039 明清兩週志演義 20534 第三十九回 　　戰平遠蔡毓榮奏功　守曲靖郭壯圖敗績
040 明清兩週志演義 20535 第四十回 　　破長圍七將定雲南　賞戰功朝廷頒諭旨
