001 第一回　　朱若虛孝弟全天性　朱天錫聰明識童謠
002 第二回　　竇忠怒擊虎頭牌　朱盈夢會痘神女
003 第三回　　入龍宮凡夫行雨　酬茶恩義士封屍
004 第四回　　授天書蛟精返窟　謁越王女俠盜令
005 第五回　　彈寶鋏紅絹說奇人　畫三策李靖獻良馬
006 第六回　　評花卉盈川師李靖　觀書法若虛薦尉遲
007 第七回　　魏徵揮金逢傑士　若虛解夢識天機
008 第八回　　木蘭山天祿三祈嗣　大霧頂喪吾初聆法
009 第九回　　觀音寺喪吾說法　白蓮池九賢賦詩
010 第十回　　朱若虛遺言囑子媳　尉遲恭奉旨造西寺
011 第十一回　　天祿貧受千戶職　木蘭劍劈白狐精
012 第十二回　　香元參禪難喪吾　太宗降詔討突厥
013 第十三回　　憐親病孝女從征　聽波聲木蘭賦詩
014 第十四回　　占營運李靖識奇人　餞軍儀青蓮談敵國
015 第十五回　　黑水渡焦周回上國　五臺山靖松贈明駝
016 第十六回　　界牌關額保告急　五狼關頡和被擒
017 第十七回　　老頡和再搶五狼　小木蘭三敗番兵
018 第十八回　　木箕三敗誘唐兵　木蘭黑夜襲界牌
019 第十九回　　宛邱城唐將報捷　石子鋪寶林被擒
020 第二十回　　金牛關康和換將　五狼鎮木蘭裝神
021 第二十一回　　金沙谷木箕自刎　康和阿仍復帥印
022 第二十二回　　康和下令赦番兵　尉遲冒雪取金牛
023 第二十三回　　太宗降詔責尉遲　突厥出榜募賢士
024 第二十四回　　真孝女遭厄刎頸　鐵道人遺書誅妖
025 第二十五回　　突厥稱臣降中國　木蘭舉酒論奇門
026 第二十六回　　靖松封書謝故人　太宗賜爵酬將士
027 第二十七回　　天祿焚香祝神明　喪吾懸書試門人
028 第二十八回　　木蘭險遭花棍厄　太宗敕賜功臣宴
029 第二十九回　　伍登省親走湖廣　太宗慕賢賜詔書
030 第三十回　　木蘭初上陳情表　喪吾吟偈上西天
031 第三十一回　　木蘭二上陳情表　太宗屈殺伍娘子
032 第三十二回　　木蘭三上陳情表　太宗建廟旌賢良
033 附錄　　編修記錄
