001 第一回　　試秋闈良材獲售　參縣幕奇案親查
002 第二回　　片言折獄名重公卿　老役緝捕石打太守
003 第三回　　身入諫台揭參降將　心存叵測謀刺賢臣
004 第四回　　愛賢才老師薦幕友　入險境俠女救書生
005 第五回　　長途僕僕響馬追蹤　良夜迢迢霜鋒飛至
006 第六回　　以德服人釋放刺客　告養歸裡飽受虛驚
007 第七回　　訪能人酒客說真話　受愚弄乾役入牢籠
008 第八回　　捉鹽梟老謀深算　訪惡霸微服私行
009 第九回　　金雞湖惡霸行兇　白石洞賢臣受困
010 第十回　　遇義俠林公脫險　入江湖惡霸棄家
011 第十一回　　俠恩爵討差拿要犯　莽楊彪出手打高僧
012 第十二回　　首凶正法大快人心　義士探莊共商良策
013 第十三回　　探葛莊楊彪陷機關　拿惡棍幼德奮神勇
014 第十四回　　史大娘報德追贓　邱船主以寡勝眾
015 第十五回　　巧遇凶徒甕中捉鱉　私通寡婦海底翻瀾
016 第十五回　　宿山村俠士鋤強　奉上諭賢臣升任
017 第十七回　　酒客說出逃荒惡習　吏胥串吞賑濟巨金
018 第十八回　　親勘災荒掃除積弊　略施小技驚走群雄
019 第十九回　　赴東河巡三門砥柱　登北岸睹隻手拔船
020 第二十回　　獲正犯解案銷差　吐真情同仇敵愾
021 第二十一回　　利國驛巡撫被擄　抱犢峪名捕購線
022 第二十二回　　史林恩棄暗投明　張保仔獸心人面
023 第二十三回　　任封圻保障東南　查漕弊救濟州縣
024 第二十四回　　買缸尋釁巧遇名家　聚眾復仇又逢大吏
025 第二十五回　　撈淺拉舟運河冰凍　奸姑殺嫂命案奇冤
026 第二十六回　　遭誣陷無辜被逮　得真情奮勇緝凶
027 第二十七回　　幫匪囊空劫漁船　令尹幕客弄玄虛
028 第二十八回　　充巡捕化裝查案　接公文添差緝凶
029 第二十九回　　王安福奮勇捉幫頭　史林恩渡江獲要犯
030 第三十回　　訪命案跑堂泄真相　緝凶首縣署請添差
031 第三十一回　　悍幫頭菜館遭擒獲　小糧戶茶肆發牢騷
032 第三十二回　　茶肆無聊暢談漕弊　謾藏誨盜忽見奇人
033 第三十三回　　俠丐冰筵悵懷陳跡　賢臣規劃重整漕規
034 第三十四回　　秋汛屆期履勘險要　堤防鞏固江漢安瀾
035 第三十五回　　施老海小試富陽法　黃爵滋請禁鴉片煙
036 第三十六回　　厲煙禁加重論罪　擬復奏附列良方
037 第三十七回　　陳錦堂戒煙得美缺　楊天德匿怨訪同僚
038 第三十八回　　至友告訐變生意外　美姬設計妙絕人寰
039 第三十九回　　助力感恩委身擅寵　失官盜印報怨相當
040 第四十回　　奏請禁煙維持銀價　拿獲販土重擬罪名
041 第四十一回　　美鳳姑喬裝護親夫　賢觀察奉委訪猾吏
042 第四十二回　　遇樵夫問路歷險境　見逃犯假意說卑詞
043 第四十三回　　繳煙槍當場燒燬　施丸藥普渡眾生
044 第四十四回　　論煙害追源往事　聞嚴禁運動權奸
045 第四十五回　　權奸得賄倒行逆施　公憤難平上疏抗議
046 第四十六回　　尤協鎮狂妄辱欽差　鄧制軍直言論權相
047 第四十七回　　移檄英主會禁種煙　傳諭夷販呈繳存土
048 第四十八回　　絕供給降服英領事　繳鴉片稟復林欽差
049 第四十九回　　移節虎門收繳煙土　激惱領事遣回夷船
050 第五十回　　撒鹽灰銷毒務盡　驗水量夾帶難瞞
051 第五十一回　　傷人命嚴正交涉　關天培添建炮台
052 第五十二回　　義律霸阻夷船入口　英皇怒派軍艦示威
053 第五十三回　　輕啟兵端損船折將　火攻匪艇焦頭爛額
054 第五十四回　　澳門交兵英將逃遁　定海失守林公見疑
055 第五十五回　　功罪倒持林公去位　昏庸瀆職琦善私和
056 第五十六回　　失虎門關提督殉國　戰省河楊參贊揚威
057 第五十七回　　賠兵費捏詞蒙聽　墾邊疆遣戍立功
058 第五十八回　　長都統殉難乍浦城　陳提督炮毀英兵艦
059 第五十九回　　良將陣亡議和辱國　賢臣開復奉旨平番
060 第六十回　　化民釋怨匪患肅清　暴病歸真全書結束
