000 本書說明
001 林蘭香叢語
002 第一回　　錄勛舊瞞照蒙恩　彈甲科祖圭獲咎
003 第二回　　叩彤廷信義全朋　覽副奏抒誠愛婦
004 第三回　　茅御史摘奸成案　林夫人相婿結婚
005 第四回　　三夫人前廳論婿　二小姐密室談情
006 第五回　　說火災木氏知因　誤藥性燕媛抱恙
007 第六回　　耿存忠痛哭燕玉　任自立急呈香兒
008 第七回　　思舊侶愛娘題壁　和新詩夢姐遺簪
009 第八回　　全司禮奏赦夢卿　茅指揮媒說宣愛
010 第九回　　話病源胡醫薦友　弄幻術葉道攝魂
011 第十回　　平彩雲因思致夢　茅大剛為色傷生
012 第十一回　　全節義甘為側室　感情懷擬結同心
013 第十二回　　老鰥夫妄思繼娶　瞎婆子濫引聯婚
014 第十三回　　任香兒被底讒言　宣愛娘花間麗句
015 第十四回　　激義俠一夫獨往　適心意三女同歸
016 第十五回　　燕夢卿讓居別院　林雲屏承理家私
017 第十六回　　聆游歌良朋勸友　宴夜飲淑女規夫
018 第十七回　　三公子大鬧勾闌　二秀才浪遊燈市
019 第十八回　　中和日助款良朋　寒食節憐傷孝女
020 第十九回　　刑部郎執法如山　任氏女出言似蜜
021 第二十回　　聰慧姿一姝獨擅　風流事五美同歡
022 第二十一回　　水成疾海氏能醫　藥未投愛娘解病
023 第二十二回　　泗國公病中遺語　楊安人夢後勸言
024 第二十三回　　宣愛娘賭詩博趣　燕夢卿書扇留疑
025 第二十四回　　全司禮進言秉正　茅都堂立議懷私
026 第二十五回　　金匱傷胎傾彩艾　玉池煉汞蠱童觀
027 第二十六回　　彩雲一日幾般妝　耿服三秋無限恨
028 第二十七回　　貝錦箕芳雙入室　青裳丹棘兩同歸
029 第二十八回　　半老佳人學密約　雙盲才子赴幽期
030 第二十九回　　彩蕭報憤泄讒言　宣喜抒情傳笑語
031 第三十回　　蠱婢淫鬟彰穢惡　良姊義妹話幽微
032 第三十一回　　居別院香兒擅寵　理家私平氏希權
033 第三十二回　　溫柔鄉里疏良朋　冷淡場中顯淑女
034 第三十三回　　奮功名冑子從戎　爭節志文人講武
035 第三十四回　　婚孤兒良友為媒　寫遺肖情人作伴
036 第三十五回　　季子章轉戰三關　燕夢卿重驚舊兆
037 第三十六回　　三尺劍借成功業　一封書寄斷心情
038 第三十七回　　情侍密語暢蘭閏　倩女幽魂驚虎帳
039 第三十八回　　孟元帥力薦良臣　康誥命痛思淑女
040 第三十九回　　宣愛娘愛鐘幼子　燕夢卿夢慰慈親
041 第四十回　　老司禮祭設一壇　眾僕人哭分三奠
042 第四十一回　　遇蠱毒蕭推彩艾　覓邪術觀唆童蒙
043 第四十二回　　彩雲借物取新歡　瞞照觀容添舊恨
044 第四十三回　　撫幼子繼居側室　承先人再結同心
045 第四十四回　　偷鞋才子識原鞋　覓扇佳人得舊扇
046 第四十五回　　俏丫鬟揮劍驅邪　賢侍女彈琴解憤
047 第四十六回　　訪蓬戶良友雄談　侍翠帷淑姬麗語
048 第四十七回　　逞前技謀移東所　思舊患出繼伯家
049 第四十八回　　舊朋感義結新親　小妾叨恩成大婦
050 第四十九回　　泗國府成遺愛府　九臯亭作冷心亭
051 第五十回　　三女觀容賦悼亡　眾鬟鬥物徵留愛
052 第五十一回　　才子情深真才子　佳人義重果佳人
053 第五十二回　　凶醫蠱婢敗奸謀　賊道淫僧遭惡報
054 第五十三回　　寶劍瑤琴歸舊主　花簪詩扇獲新評
055 第五十四回　　水深火熱病蕭郎　夢想魂思逢倩女
056 第五十五回　　不用流連思往事　且將風雅繼當年
057 第五十六回　　弟兄郎舅大登科　父子夫妻同貴顯
058 第五十七回　　守貞義重三姊妹　分產情聯四弟兄
059 第五十八回　　祭中元春畹傷生　悲重九雲屏謝世
060 第五十九回　　識火攻永鎮海疆　解夢事雙歸林下
061 第六十回　　春畹貽簪深誡子　伯宣試劍勇勤王
062 第六十一回　　丹棘青裳思舊主　性瀾情圃上新墳
063 第六十二回　　後苑喜邀群士子　前庭情話老佳人
064 第六十三回　　緹縈再見演梨園　金谷重悲彈瞽女
065 第六十四回　　養正焚修隆一祠　伯宣夢警邯鄲道
