000 序
001 第一回　　太祖善念動天庭　玉帝賜花開帝業
002 第二回　　蕭侍中養高遷吉地　張夫人應夢產麟兒
003 第三回　　托酒交朋餐虎肉　逢猿煮石飽天書
004 第四回　　望王氣英雄擇主　丁父艱魚龍護舟
005 第五回　　魏孝文有志侵鄰　王將軍無謀劫寨
006 第六回　　蕭元帥兵分兩路　柳參謀法演六丁
007 第七回　　埋伏計遭埋伏計　搶糧人遇搶糧人
008 第八回　　魏文帝兵敗班師　蕭元帥功成出鎮
009 第九回　　草莽中英雄擇主　朝廷上臣主荒淫
010 第十回　　齊寶卷開市屠沽　蕭令君入宮被鴆
011 第十一回　　捋虎鬚鄭植行刺　報兄仇蕭衍揚兵
012 第十二回　　蕭元帥轟轟起義　齊寶融草草稱尊
013 第十三回　　蕭元帥發高論驚人　房僧寄展奇謀致敗
014 第十四回　　房僧寄死盡魯山節　柳軍師水灌加湖城
015 第十五回　　東昏侯國破被誅　蕭司馬功成受禪
016 第十六回　　魏主興師報父仇　梁兵血戰威鄰國
017 第十七回　　柳軍師地雷坑魏　郗夫人承寵妒人
018 第十八回　　苗宮人恩遭情主盼　孟太妃力保壽陽城
019 第十九回　　聖主愛子立東宮　王足逢君築淮堰
020 第二十回　　掘莊墓三築淮水堤　賀郗壽立逼苗妃死
021 第二十一回　　沈尚書陰遭和帝譴　長乾寺普度陣亡魂
022 第二十二回　　雲光說法天雨花　郗後破戒地生蒜
023 第二十三回　　曹景宗大戰長孫稚　王將軍夜襲睢陵城
024 第二十四回　　柳慶遠乘霧破荊山　昌義之潛兵襲下蔡
025 第二十五回　　磬石山二王遭火　壽陽城李憲投降
026 第二十六回　　李將軍寺裡求僧　郗皇后宮中遇鬼
027 第二十七回　　梁武帝瑯邪閱武　毗迦那枯樹出身
028 第二十八回　　聖天子大封功臣　賢東宮諫止漕役
029 第二十九回　　郗夫人游地獄變蟒　梁武帝喜佛法談經
030 第三十回　　受苦惱蟒蛇求懺悔　念恩情梁主覓高僧
031 第三十一回　　梁皇懺釋罪昇天　寶志公飛錫擇地
032 第三十二回　　子盡孝舉國稱仁　塔放光外邦進貢
033 第三十三回　　功名成天書返洞　劫運消九曜歸垣
034 第三十四回　　不投機達摩渡江　遭讒譖昭明屈死
035 第三十五回　　梁武帝十二時念佛　寶志公一俄頃歸西
036 第三十六回　　侯景弄奸投敵國　梁君貪利納亡臣
037 第三十七回　　梁主三捨身同泰寺　侯景屢敗走壽陽城
038 第三十八回　　侯景檄十罪責梁主　羊侃請大兵守彩石
039 第三十九回　　正德藏舟渡侯景　梁王拜佛困台城
040 第四十回　　賊殺賊冤冤相報　佛引佛荷荷西歸
