001 第一回　　吃清茶放懷談戲劇　游勝地無意得奇書
002 第二回　　米喜子初隸四喜　方松齡重噪和春
003 第三回　　賽松齡一曲擅清歌　劉趕三片言興大獄
004 第四回　　頭角崢嶸小叫天出世　衣冠傾倒大老闆登場
005 第五回　　有酒學仙名伶機智　借花獻佛豪俠心腸
006 第六回　　遇同心燈下聽書　杼孤憤獄中編戲
007 第七回　　錯裡錯劉趕三蒙賞　俠中俠徐小香焚券
008 第八回　　論果報塵世泄天機　發慈悲活人饒鬼命
009 第九回　　李按察虎帳論功　王千總軍營談戲
010 第十回　　王小玉拼命成功　孫大個報喪被打
011 第十一回　　孫大個立志做優人　沈芷秋熱心薦票友
012 第十二回　　郝德寶暢談戲曲　胡喜祿盡掃鉛華
013 第十三回　　福興居酒餘談往事　安義堂燈下聽清歌
014 第十四回　　用機謀毓四賺腳本　施毒計德海殺伶人
015 第十五回　　敬子齋片言解訟　侯老兒決意罷婚
016 第十六回　　酒店主有心尋釁隙　花媒婆無意泄機關
017 第十七回　　逞雄心劫妻成婚　施譎計拐友偕遁
018 第十八回　　郝蘭田捨短用長　餘三勝能文善武
019 第十九回　　延樹楠暢談《因果報》　李香萍情賦《彩菱篇》
020 第二十回　　膺寄托美優伶仗義　嚴禁例老中堂敬神
021 第二十一回　　梅巧玲筵上獻新詞　李香萍廟中聞後果
022 第二十二回　　顯色相美伶裸體　爭戲曲文士揮拳
023 第二十三回　　評花選名士風流　說戲文樞臣寡陋
024 第二十四回　　曹春山輕財全戚誼　梅巧玲焚券見交情
025 第二十五回　　曹春山議翻舊曲　明侍郎講說佚聞
026 第二十六回　　李州牧義釋譚金福　惇親王怒打劉趕三
027 第二十七回　　沈天喜發心皈淨土　楊月樓避難入京都
028 第二十八回　　悟真空脫離苦海　感孽果墮落冥途
029 第二十九回　　大臣展才評戲曲　名將發怒哄歌樓
030 第三十回　　延尚書講論周德清　蘆台子稱揚祁舄藻
