000 本書說明
001 第一回　　盤古王一出世初分天地
002 第二回　　至三皇傳多氏漸剖乾坤
003 第三回　　五帝起亶聰明創制立法
004 第四回　　堯讓舜舜讓禹總為斯民
005 第五回　　夏後氏四百年一十七世
006 第六回　　殷湯氏三十世六百餘春
007 第七回　　成周氏至平王遷都洛邑
008 第八回　　齊桓公晉重耳五霸稱尊
009 第九回　　簡王後至靈王時生孔子
010 第十回　　李老子釋迦氏說法談經
011 第十一回　　周社稷八百年三十七世
012 第十二回　　九州中諸列國並入強秦
013 第十三回　　秦無道四十年止傳二世
014 第十四回　　六國人並楚漢起義爭衡
015 第十五回　　漢高祖定江山一十二帝
016 第十六回　　二百年遭王莽篡國鴆君
017 第十七回　　漢光武復中興一十三帝
018 第十八回　　二百年曹操起漢室三分
019 第十九回　　三國志亂紛紛五十餘載
020 第二十回　　漢歸曹吳入晉取次銷沉
021 第二十一回　　司馬晉五十年五胡大亂
022 第二十二回　　走江東承舊統百歲雲奔
023 第二十三回　　宋齊梁傳陳國俱都江左
024 第二十四回　　索頭魏分齊周北地稱尊
025 第二十五回　　周並齊隋篡周平陳一統
026 第二十六回　　四十年彈指過海內風塵
027 第二十七回　　唐高祖立根基二十一帝
028 第二十八回　　三百年捱不到禍亂相尋
029 第二十九回　　朱溫起號梁朝歸於李氏
030 第三十回　　晉滅唐漢繼晉郭氏周承
031 第三十一回　　宋太祖統中原未能混一
032 第三十二回　　西北邊遼金夏不住相爭
033 第三十三回　　康王構仗名將偏安半壁
034 第三十四回　　三百年元世祖一鼓而吞
035 第三十五回　　蒙古氏九十春群雄並起
036 第三十六回　　壬辰年明太祖應運龍興
037 第三十七回　　二百有八十年二十七帝
038 第三十八回　　李自成犯京邑社稷摧崩
039 第三十九回　　天付與大清朝昇平萬歲
040 第四十回　　混乾坤歸一統海晏河清
041 第四十一回　　大清朝膺景命二百六八
042 第四十二回　　洪楊起據金陵南北搆兵
043 第四十三回　　曾文正左文襄同心秉政
044 第四十四回　　十八載滅洪楊四海安寧
045 第四十五回　　庚子年拳會起遷都陝地
046 第四十六回　　滅拳會訂和約太后回鑾
047 第四十七回　　孫逸仙造革命排滿興漢
048 第四十八回　　清宣統遜帝位民國成立
049 第四十九回　　移政府北京城袁公就任
050 第五十回　　滬寧站宋教仁中彈亡身
051 第五十一回　　摧殘國民黨寧贑雙獨立
052 第五十二回　　歐事風雲日人乘間要求
053 第五十三回　　袁世凱稱帝唐都督誓師
054 第五十四回　　袁項城殯天段祺瑞組閣
055 第五十五回　　督軍團要挾黎總統失權
056 第五十六回　　猛張勛復辟馮總統就任
057 第五十七回　　任私人遭物議李純自戕
058 第五十八回　　為選舉曹吳聯軍敗雨帥
059 第五十九回　　奉直失睦張吳再決雌雄
060 第六十回　　吳佩孚失機退駐雞公山
