001 第一回　　睹赤蛇老母覺異徵　得豔鳳梟雄償夙願
002 第二回　　報親恩歡迎朱母　探妻病慘別張妃
003 第三回　　登大寶朱梁篡位　明正義全昱進規
004 第四回　　康懷貞築壘圍潞州　李存勗督兵破夾寨
005 第五回　　策淮南嚴可求除逆　戰薊北劉守光殺兄
006 第六回　　劉知俊降岐挫汴將　周德威援趙破梁軍
007 第七回　　殺諫臣燕王僭號　卻強敵晉將善謀
008 第八回　　父子聚麀慘遭剸刃　君臣討逆謀定鋤凶
009 第九回　　失燕土偽帝作囚奴　平宣州徐氏專政柄
010 第十回　　逾黃澤劉鄩失計　襲晉陽王檀無功
011 第十一回　　阿保機得勢號天皇　胡柳陂輕戰喪良將
012 第十二回　　莽朱瑾手刃徐知訓　病徐溫計焚吳越軍
013 第十三回　　嗣蜀主淫昏失德　唐監軍諫阻稱尊
014 第十四回　　助趙將發兵圍鎮州　嗣唐統登壇即帝位
015 第十五回　　王彥章喪師失律　梁末帝隕首覆宗
016 第十六回　　滅梁朝因驕思逸　冊劉後以妾為妻
017 第十七回　　房幃溺愛牝雞司晨　酒色亡家牽羊待命
018 第十八回　　得後教椎擊郭招討　遘兵亂劫逼李令公
019 第十九回　　郭從謙突門弒主　李嗣源據國登基
020 第二十回　　立德光番後愛次子　殺任圜權相報私仇
021 第二十一回　　王德妃更衣承寵　唐明宗焚香祝天
022 第二十二回　　攻三鎮悍帥生謀　失兩川權臣碎首
023 第二十三回　　殺董璋亂兵賣主　寵從榮驕子弄兵
024 第二十四回　　斃秦王夫妻同受刃　號蜀帝父子迭稱雄
025 第二十五回　　討鳳翔軍帥溃歸　入洛陽藩王篡位
026 第二十六回　　衛州廨賊臣縊故主　長春宮逆子弒昏君
027 第二十七回　　嘲公主醉語啟戎　援石郎番兵破敵
028 第二十八回　　契丹主冊立晉高祖　述律後笑罵趙大王
029 第二十九回　　一炬成灰到頭孽報　三帥叛命依次削平
030 第三十回　　楊光遠貪利噬人　王延羲乘亂竊國
031 第三十一回　　討叛鎮行宮遣將　納叔母嗣主亂倫
032 第三十二回　　悍弟殺兄僭承漢祚　逆臣弒主大亂閩都
033 第三十三回　　得主援高行周脫圍　迫父降楊光遠伏法
034 第三十四回　　戰陽城遼兵敗溃　失建州閩主覆亡
035 第三十五回　　拒唐師李達守危城　中遼計杜威設孤寨
036 第三十六回　　張彥澤倒戈入汴　石重貴舉國降遼
037 第三十七回　　遷漠北出帝泣窮途　鎮河東藩王登大位
038 第三十八回　　聞亂驚心遼主遄返　乘喪奪位燕王受拘
039 第三十九回　　故妃被逼與子同亡　御史敢言奉母出戍
040 第四十回　　徙建州晉太后絕命　幸鄴都漢高祖親征
041 第四十一回　　奉密諭王景崇入關　捏遺詔杜重威肆市
042 第四十二回　　智郭威抵掌談兵　勇劉詞從容破敵
043 第四十三回　　覆叛巢智全符氏女　投火窟悔拒漢家軍
044 第四十四回　　弟兄構釁湖上操戈　將相積嫌席間用武
045 第四十五回　　伏甲士駢誅權宦　溃御營竄死孱君
046 第四十六回　　清君側入都大掠　遭兵變擁駕爭歸
047 第四十七回　　廢劉宗嗣主被幽　易漢祚新皇傳詔
048 第四十八回　　陷長沙馬希萼稱王　攻晉州劉承鈞折將
049 第四十九回　　降南唐馬氏亡國　征東魯周主督師
050 第五十回　　逐邊鎬攻入潭州府　拘劉言計奪武平軍
051 第五十一回　　滋德殿病終留遺囑　高平縣敵愾奏奇勛
052 第五十二回　　喪猛將英主班師　築堅城良臣破虜
053 第五十三回　　寵徐娘賦詩驚變　俘蜀帥得地報功
054 第五十四回　　李重進涉水掃千軍　趙匡胤斬關擒二將
055 第五十五回　　唐孫晟奉使效忠　李景達喪師奔命
056 第五十六回　　督租課嚴夫人歸裡　盡臣節唐司空就刑
057 第五十七回　　破山寨君臣耀武　失州城夫婦盡忠
058 第五十八回　　楚北鏖兵闔城殉節　淮南納土奉表投誠
059 第五十九回　　懲奸黨唐主施刑　正樂懸周臣明律
060 第六十回　　得遼關因病返蹕　殉周將禪位終篇
