001 歷史通俗演義-元史 5382 第一回 　　感白光孀姝成孕　劫紅顏異兒得妻
002 歷史通俗演義-元史 5383 第二回 　　擁眾稱尊創始立國　班師奏凱復慶生男
003 歷史通俗演義-元史 5384 第三回 　　女丈夫執旗招叛眾　小英雄逃難遇救星
004 歷史通俗演義-元史 5385 第四回 　　追失馬幸遇良朋　喜乘龍送歸佳耦
005 歷史通俗演義-元史 5386 第五回 　　合浦還珠三軍奏凱　穹廬返幕各族投誠
006 歷史通俗演義-元史 5387 第六回 　　帖木真獨勝諸部　札木合復興聯軍
007 歷史通俗演義-元史 5388 第七回 　　報舊恨重遇麗姝　復前仇疊逢美婦
008 歷史通俗演義-元史 5389 第八回 　　四傑赴援以德報怨　一夫拚命用少勝多
009 歷史通俗演義-元史 5390 第九回 　　責汪罕潛師劫寨　殺脫里恃力興兵
010 歷史通俗演義-元史 5391 第十回 　　納忽山孱主亡身　斡難河雄酋稱帝
011 歷史通俗演義-元史 5392 第十一回 　　西夏主獻女乞和　蒙古軍入關耀武
012 歷史通俗演義-元史 5393 第十二回 　　拔中都分兵南略　立繼嗣定議西征
013 歷史通俗演義-元史 5394 第十三回 　　回酋投荒竄死孤島　雄師追寇窮極遐方
014 歷史通俗演義-元史 5395 第十四回 　　見角端西域班師　破欽察歸途喪將
015 歷史通俗演義-元史 5396 第十五回 　　滅西夏庸主覆宗　遭大喪新君嗣統
016 歷史通俗演義-元史 5397 第十六回 　　將帥迭亡乞盟城下　后妃被劫失守都中
017 歷史通俗演義-元史 5398 第十七回 　　南北夾攻完顏赤族　東西遣將蒙古張威
018 歷史通俗演義-元史 5399 第十八回 　　阿魯思全境被兵　歐羅巴東方受敵
019 歷史通俗演義-元史 5400 第十九回 　　姑婦臨朝生暗釁　弟兄佐命立奇功
020 歷史通俗演義-元史 5401 第二十回 　　勤南略齎志告終　據大位改元頒敕
021 歷史通俗演義-元史 5402 第二十一回 　　守襄陽力屈五年　覆厓山功成一統
022 歷史通俗演義-元史 5403 第二十二回 　　漁色徇財計臣致亂　表忠流血信國成仁
