001 第一回　　祀南郊司馬開基　立東宮庸雛伏禍
002 第二回　　墮詭計儲君納婦　慰癡情少女偷香
003 第三回　　楊皇后枕膝留言　左貴嬪摅才上頌
004 第四回　　圖東吳羊祜定謀　討西虜馬隆奏捷
005 第五回　　搗金陵數路並舉　俘孫皓二將爭功
006 第六回　　納群娃羊車恣幸　繼外孫螟子亂宗
007 第七回　　指御座諷諫無功　侍帝榻權豪擅政
008 第八回　　怙勢招殃楊氏赤族　逞凶滅紀賈后廢姑
009 第九回　　遭反噬楚王受戮　失後援周處捐軀
010 第十回　　諷大廷徙戎著論　誘小吏侍宴肆淫
011 第十一回　　草逆書醉酒逼儲君　傳偽敕稱兵廢悍后
012 第十二回　　墜名樓名姝殉難　奪御璽御駕被遷
013 第十三回　　迎惠帝反正除奸　殺王豹擅權拒諫
014 第十四回　　操同室戈齊王畢命　中詐降計李特敗亡
015 第十五回　　討逆蠻力平荊土　拒君命冤殺陸機
016 第十六回　　劉刺史抗忠盡節　皇太弟挾駕還都
017 第十七回　　劉淵擁眾稱漢王　張方恃強劫惠帝
018 第十八回　　作盟主東海起兵　誅惡賊河間失勢
019 第十九回　　偽都督敗回江左　呆皇帝暴斃宮中
020 第二十回　　戰陽平苟晞破賊壘　佐瑯琊王導集名流
021 第二十一回　　北宮純力破群盜　太傅越擅殺諸臣
022 第二十二回　　乘內亂劉聰據國　借外援猗盧受封
023 第二十三回　　傾國出師權相畢命　覆巢同盡太尉知非
024 第二十四回　　執天子洛中遭巨劫　起義旅關右迓親王
025 第二十五回　　貽書歸母難化狼心　行酒為奴終遭鴆毒
026 第二十六回　　詔江東愍帝徵兵　援靈武麴允破虜
027 第二十七回　　拘王濬羯胡吞薊北　斃趙染晉相保關中
028 第二十八回　　漢劉後進表救忠臣　晉陶侃合軍破亂賊
029 第二十九回　　小兒女突圍求救　大皇帝銜璧投降
030 第三十回　　牧守聯盟奉箋勸進　君臣屈辱蒙難喪生
031 第三十一回　　晉王睿稱尊嗣統　漢主聰見鬼亡身
032 第三十二回　　誅逆登基羊后專寵　乘釁獨立石勒稱王
033 第三十三回　　段匹磾受擒失河朔　王處仲抗表叛江南
034 第三十四回　　鎮湘中譙王舉義　失石頭元帝驚心
035 第三十五回　　逆賊橫行廷臣受戮　皇靈失馭嗣子承宗
036 第三十六回　　扶錢鳳即席用謀　遣王含出兵犯順
037 第三十七回　　平大憝群臣進爵　立幼主太后臨朝
038 第三十八回　　召外臣庾亮激變　入內廷蘇峻縱凶
039 第三十九回　　溫嶠推誠迎陶侃　毛寶負劍救桓宣
040 第四十回　　梟首逆戡亂成功　宥元舅顧親屈法
041 第四十一回　　察鈐音異僧獻技　失軍律醉漢遭擒
042 第四十二回　　並前趙石勒稱尊　防中山徐遐泣諫
043 第四十三回　　背顧命鴞子毀室　凜夢兆狐首歸邱
044 第四十四回　　盡愚孝適貽蜀亂　保遺孤終立代王
045 第四十五回　　殺妻孥趙主寡恩　協君臣燕都卻敵
046 第四十六回　　議北伐蔡謨抗諫　篡西蜀李壽改元
047 第四十七回　　餞劉翔晉臣受責　逐高钊燕主逞威
048 第四十八回　　斬敵將進滅宇文部　違朝議徙鎮襄陽城
049 第四十九回　　擢桓溫移督荊梁　降李勢蕩平巴蜀
050 第五十回　　選將得人涼州破敵　築宮漁色石氏宣淫
051 第五十一回　　誅逆子縱火焚屍　責病主抗顏極諫
052 第五十二回　　乘羯亂進攻反失利　弒趙主易位又遭囚
053 第五十三回　　養子復宗冉閔複姓　孱主授首石氏垂亡
054 第五十四回　　卻桓溫晉相貽書　滅冉魏燕王僭號
055 第五十五回　　拒忠言殷浩喪師　射敵帥桓溫得勝
056 第五十六回　　逞刑戮苻生縱虐　盜淫威張祚殺身
057 第五十七回　　具使才說下涼州　滿惡貫變生秦闕
058 第五十八回　　圍廣固慕容恪善謀　戰東河諸葛攸敗績
059 第五十九回　　謝安石應征變節　張天錫乘亂弒君
060 第六十回　　失洛陽沈勁死義　阻石門桓溫退師
061 第六十一回　　慕容垂避禍奔秦　王景略統兵入洛
062 第六十二回　　略燕地連摧敵將　拔鄴城追擄孱王
063 第六十三回　　海西公遭誣被廢　崑崙婢產子承基
064 第六十四回　　謁崇陵桓溫見鬼　重正朔王猛留言
065 第六十五回　　失姑臧涼主作降虜　守襄陽朱母築斜城
066 第六十六回　　救孤城謝玄卻秦軍　違眾議苻堅窺晉室
067 第六十七回　　山墅賭弈寇來不驚　淝水交鋒兵多易敗
068 第六十八回　　結丁零再興燕祚　索鄴城申表秦庭
069 第六十九回　　據渭北後秦獨立　入阿房西燕稱尊
070 第七十回　　墮虜謀晉將逾絕澗　應童謠秦主縊新城
071 第七十一回　　用僧言呂光還兵　依逆謀段隨弒主
072 第七十二回　　謀刺未成秦后死節　失營被獲毛氏捐軀
073 第七十三回　　拓跋珪創興後魏　慕容垂討滅丁零
074 第七十四回　　智姚萇旋師驚噩夢　勇翟瑥斬將掃孱宗
075 第七十五回　　失都城西燕被滅　壓山寨北魏爭雄
076 第七十六回　　子逼母燕太后自盡　弟陵兄晉道子專權
077 第七十七回　　殷仲堪倒柄授桓玄　張貴人逞凶弒孝武
078 第七十八回　　迫誅奸稱戈犯北闕　僭稱尊遣將伐西秦
079 第七十九回　　呂氏肆虐涼土分崩　燕祚祚衰魏兵深入
080 第八十回　　拓跋珪轉敗為勝　慕容寶因怯出奔
081 第八十一回　　攻舊都逆子忘天理　陷中山嬌女作人奴
082 第八十二回　　通叛黨蘭汗弒君　誅賊臣燕宗復國
083 第八十三回　　再發難王恭受戮　好惑人孫泰伏誅
084 第八十四回　　戕內史獨全謝婦　殺太守復陷會稽
085 第八十五回　　失荊州參軍殉主　棄苑川乾歸逃生
086 第八十六回　　受逆報呂纂被戕　據偏隅李暠獨立
087 第八十七回　　掃殘孽南燕定都　立奸叔東宮失位
088 第八十八回　　呂隆累敗降秦室　劉裕屢勝走孫恩
089 第八十九回　　覆全軍元顯受誅　奪大位桓玄行逆
090 第九十回　　賢孟婦助夫舉義　勇劉軍敗賊入都
091 第九十一回　　濛江洲馮遷誅逆首　陷成都譙縱害疆臣
092 第九十二回　　貪女色吞針欺僧侶　戕婦翁擁眾號天主
093 第九十三回　　葬愛妻遇變喪身　立猶子臨終傳位
094 第九十四回　　得使才接眷還都　失兵機縱敵入險
095 第九十五回　　覆孤城慕容超亡國　誅逆賊馮文起開基
096 第九十六回　　何無忌戰死豫章口　劉寄奴固守石頭城
097 第九十七回　　竄南交盧循斃命　平西蜀譙縱伏辜
098 第九十八回　　南涼王愎諫致亡　西秦後敗謀殉難
099 第九十九回　　入荊州驅除異黨　奪長安翦滅後秦
100 第一○○回　　招寇亂秦關再失　迫禪位晉祚永終
