001 第一回　　移花接木計獻美姬　用李代桃歡承淫后
002 第二回　　誅假父納言迎母　稱皇帝立法愚民
003 第三回　　封泰岱下山避雨　過湘江中渡驚風
004 第四回　　誤椎擊逃生遇異士　見圖讖遣將造長城
005 第五回　　信佞臣盡毀詩書　築阿房大興土木
006 第六回　　阬深谷諸儒斃命　得原璧暴主驚心
007 第七回　　尋生路徐市墾荒　從逆謀李斯矯詔
008 第八回　　葬始皇驪山成巨冢　戮宗室豻獄構奇冤
009 第九回　　充屯長中途施詭計　殺將尉大澤揭叛旗
010 第十回　　違諫議陳勝稱王　善招撫武臣獨立
011 第十一回　　降真龍光韜泗水　斬大蛇夜走豐鄉
012 第十二回　　戕縣令劉邦發跡　殺郡守項梁舉兵
013 第十三回　　說燕將廝卒救王　入趙宮叛臣弒主
014 第十四回　　失兵機陳王斃命　免子禍嬰母垂言
015 第十五回　　從范增訪立楚王孫　信趙高冤殺李丞相
016 第十六回　　駐定陶項梁敗死　屯安陽宋義喪生
017 第十七回　　破釜沈舟奮身殺敵　損兵折將畏罪乞降
018 第十八回　　智酈生獻謀取要邑　愚胡亥遇弒斃齋宮
019 第十九回　　誅逆閹難延秦祚　坑降卒直入函關
020 第二十回　　宴鴻門張樊保駕　焚秦宮關陝成墟
021 第二十一回　　燒棧道張良定謀　築郊壇韓信拜將
022 第二十二回　　用秘計暗渡陳倉　受密囑陰弒義帝
023 第二十三回　　下河南陳平走謁　過洛陽董老獻謀
024 第二十四回　　脫楚厄幸遇戚姬　知漢興拚死陵母
025 第二十五回　　木罌渡軍計擒魏豹　背水列陣誘斬陳餘
026 第二十六回　　隨何傳命招英布　張良借箸駁酈生
027 第二十七回　　縱反間范增致斃　甘替死紀信被焚
028 第二十八回　　入內帳潛奪將軍印　救全城幸得舍人兒
029 第二十九回　　貪功得禍酈生就烹　數罪陳言漢王中箭
030 第三十回　　斬龍且出奇制勝　劃鴻溝接眷修和
031 第三十一回　　大將奇謀鏖兵垓下　美人慘別走死江濱
032 第三十二回　　即帝位漢主稱尊　就驛舍田橫自剄
033 第三十三回　　勸移都婁敬獻議　偽出遊韓信受擒
034 第三十四回　　序侯封優待蕭丞相　定朝儀功出叔孫通
035 第三十五回　　謀弒父射死單于　求脫圍賂遺番後
036 第三十六回　　宴深宮奉觴祝父壽　係詔獄拚死白王冤
037 第三十七回　　議廢立周昌爭儲　討亂賊陳豨敗走
038 第三十八回　　悍呂后毒計戮功臣　智陸生善言招蠻酋
039 第三十九回　　討淮南箭傷御駕　過沛中宴會鄉親
040 第四十回　　保儲君四皓與宴　留遺囑高祖升遐
041 第四十一回　　折雄狐片言杜禍　看人彘少主驚心
042 第四十二回　　媚公主靦顏拜母　戲太后嫚語求妻
043 第四十三回　　審食其遇救謝恩人　呂娥姁挾權立少帝
044 第四十四回　　易幼主諸呂加封　得悍婦兩王枉死
045 第四十五回　　聽陸生交歡將相　連齊兵合拒權奸
046 第四十六回　　奪禁軍捕誅諸呂　迎代王廢死故君
047 第四十七回　　兩重喜竇後逢兄弟　一紙書文帝服蠻夷
048 第四十八回　　遭眾忌賈誼被遷　正閫儀袁盎強諫
049 第四十九回　　辟陽侯受椎斃命　淮南王謀反被囚
050 第五十回　　中行說叛國降虜庭　緹縈女上書贖父罪
051 第五十一回　　老郎官犯顏救魏尚　賢丞相當面劾鄧通
052 第五十二回　　爭棋局吳太子亡身　肅軍營周亞夫守法
053 第五十三回　　嘔心血氣死申屠嘉　主首謀變起吳王濞
054 第五十四回　　信袁盎詭謀斬御史　遇趙涉依議出奇兵
055 第五十五回　　平叛軍太尉建功　保孱王鄰封乞命
056 第五十六回　　王美人有緣終作後　栗太子被廢復蒙冤
057 第五十七回　　索罪犯曲全介弟　賜肉食戲弄條侯
058 第五十八回　　嗣帝祚董生進三策　應主召申公陳兩言
059 第五十九回　　迎母姊親馳御駕　訪公主喜遇歌姬
060 第六十回　　因禍為福仲卿得官　寓正於諧東方善辯
061 第六十一回　　挑嫠女即席彈琴　別嬌妻入都獻賦
062 第六十二回　　厭夫貧下堂致悔　開敵釁出塞無功
063 第六十三回　　執國法王恢受誅　罵座客灌夫得罪
064 第六十四回　　遭鬼祟田蚡斃命　撫夷人司馬揚鑣
065 第六十五回　　竇太主好淫甘屈膝　公孫弘變節善承顏
066 第六十六回　　飛將軍射石驚奇　愚主父受金拒諫
067 第六十七回　　失儉德故人燭隱　慶凱旋大將承恩
068 第六十八回　　舅甥踵起一戰封侯　父子敗謀九重討罪
069 第六十九回　　勘叛案重興大獄　立戰功還挈同胞
070 第七十回　　賢汲黯直諫救人　老李廣失途刎首
071 第七十一回　　報私仇射斃李敢　發詐謀致死張湯
072 第七十二回　　通西域復滅南夷　進神馬兼迎寶鼎
073 第七十三回　　信方士連番被惑　行封禪妄想求仙
074 第七十四回　　東征西討絕域窮兵　先敗後成貳師得馬
075 第七十五回　　入虜庭蘇武抗節　出朔漠李陵敗降
076 第七十六回　　巫盅獄丞相滅門　泉鳩里儲君斃命
077 第七十七回　　悔前愆痛下輪台詔　授顧命囑遵負扆圖
078 第七十八回　　六齡幼女竟主中宮　廿載使臣重還故國
079 第七十九回　　識詐書終懲逆黨　效刺客得斃番王
080 第八十回　　迎外藩新主入都　廢昏君太后登殿
081 第八十一回　　謁祖廟驂乘生嫌　囑女醫入宮進毒
082 第八十二回　　孝婦伸冤於公造福　淫嫗失德霍氏橫行
083 第八十三回　　泄逆謀殺盡後族　矯君命殲厥渠魁
084 第八十四回　　詢宮婢才識酬恩　擢循吏迭聞報績
085 第八十五回　　兩疏見機辭官歸里　三書迭奏罷兵屯田
086 第八十六回　　逞淫謀番婦構釁　識子禍嚴母知幾
087 第八十七回　　杰閣圖形名標麟史　錦車出使功讓蛾眉
088 第八十八回　　寵閹豎屈死蕭望之　惑讒言再貶周少傅
089 第八十九回　　馮婕妤挺身當猛獸　朱子元仗義救良朋
090 第九十回　　斬郅支陳湯立奇功　嫁匈奴王嬙留遺恨
091 第九十一回　　賴直諫太子得承基　寵正宮詞臣同抗議
092 第九十二回　　識番情指日解圍　違婦言上書惹禍
093 第九十三回　　懲諸舅推恩赦罪　嬖二美奪嫡宣淫
094 第九十四回　　智班伯借圖進諫　猛朱雲折檻留旌
095 第九十五回　　泄機謀鴆死許后　爭座位怒斥中官
096 第九十六回　　忤重闈師丹遭貶　害故妃史立售奸
097 第九十七回　　莽朱博附勢反亡身　美董賢闔家同邀寵
098 第九十八回　　良相遭囚嘔血致斃　倖臣失勢與婦並戕
099 第九十九回　　獻白雉罔上居功　驚赤血殺兒構獄
100 第一○○回　　竊國權王莽弒帝　投御璽元后覆宗
