001 歷史通俗演義-南北史 4859 第一回 　　射蛇首興王呈預兆　睹龍顏慧婦忌英雄
002 歷史通俗演義-南北史 4860 第二回 　　起義師入京討逆　迎御駕報績增封
003 歷史通俗演義-南北史 4861 第三回 　　伐燕南冒險成功　捍東都督兵禦寇
004 歷史通俗演義-南北史 4862 第四回 　　毀賊船用火破盧循　發軍函出奇平譙縱
005 歷史通俗演義-南北史 4863 第五回 　　搗洛陽秦將敗沒　破長安姚氏滅亡
006 歷史通俗演義-南北史 4864 第六回 　　失秦土劉世子逃歸　移晉祚宋武帝篡位
007 歷史通俗演義-南北史 4865 第七回 　　弒故主冤魂索命　喪良將胡騎橫行
008 歷史通俗演義-南北史 4866 第八回 　　廢營陽迎立外藩　反江陵驚聞內變
009 歷史通俗演義-南北史 4867 第九回 　　平謝逆功歸檀道濟　入夏都擊走赫連昌
010 歷史通俗演義-南北史 4868 第十回 　　逃將軍棄師中虜計　亡國后侑酒作人奴
011 歷史通俗演義-南北史 4869 第十一回 　　破氐帥收還要郡　殺司空自壞長城
012 歷史通俗演義-南北史 4870 第十二回 　　燕王弘投奔高麗　魏主燾攻克姑臧
013 歷史通俗演義-南北史 4871 第十三回 　　捕奸黨殷景仁定謀　露逆萌范蔚宗伏法
014 歷史通俗演義-南北史 4872 第十四回 　　陳參軍立柵守危城　薛安都用矛刺虜將
015 歷史通俗演義-南北史 4873 第十五回 　　騁辯詞張暢報使　貽溲溺臧質復書
016 歷史通俗演義-南北史 4874 第十六回 　　永安宮魏主被戕　含章殿宋帝遇弒
017 歷史通俗演義-南北史 4875 第十七回 　　發尋陽出師問罪　克建康梟惡鋤奸
018 歷史通俗演義-南北史 4876 第十八回 　　犯上興兵一敗塗地　誅叔納妹隻手瞞天
019 歷史通俗演義-南北史 4877 第十九回 　　發雄師慘屠骨肉　備喪具厚葬妃嬙
020 歷史通俗演義-南北史 4878 第二十回 　　狎姑姊宣淫鸞掖　辱諸父戲宰豬王
021 歷史通俗演義-南北史 4879 第二十一回 　　戕暴主湘東正位　討宿孽江右鏖兵
022 歷史通俗演義-南北史 4880 第二十二回 　　掃逆藩眾叛蕩平　激外變四州淪陷
023 歷史通俗演義-南北史 4881 第二十三回 　　殺弟兄宋帝濫刑　好佛老魏主禪統
024 歷史通俗演義-南北史 4882 第二十四回 　　江上墮謀親王授首　殿中醉寢狂豎飲刀
025 歷史通俗演義-南北史 4883 第二十五回 　　討權臣石頭殉節　失鎮地櫟林喪身
026 歷史通俗演義-南北史 4884 第二十六回 　　篡宋祚廢主出宮　弒魏帝淫嫗專政
027 歷史通俗演義-南北史 4885 第二十七回 　　膺帝箓父子相繼　禮名賢昆季同心
028 歷史通俗演義-南北史 4886 第二十八回 　　造孽緣孽兒自盡　全愚孝愚主終喪
029 歷史通俗演義-南北史 4887 第二十九回 　　蕭昭業喜承祖統　魏孝文計徙都城
030 歷史通俗演義-南北史 4888 第三十回 　　上淫下烝丑傳宮掖　內應外合刃及殿庭
031 歷史通俗演義-南北史 4889 第三十一回 　　殺諸王宣城肆毒　篡宗祚海陵沉冤
032 歷史通俗演義-南北史 4890 第三十二回 　　假仁襲義兵達江淮　易后廢儲釁傳河洛
033 歷史通俗演義-南北史 4891 第三十三回 　　兩國交兵齊師屢挫　十王駢戮蕭氏相殘
