001 第一回　　溯龍興開編談將種　選蛾眉侍宴賺唐公
002 第二回　　定秘計誘殺副留守　聯外助自號大將軍
003 第三回　　攻霍邑陣斬宋老生　入長安擁立代王侑
004 第四回　　記豔聞李郎遇俠　禪帝位唐祚開基
005 第五回　　李密敗績入關中　秦王出奇平隴右
006 第六回　　盛彥師設伏斃叛徒　竇建德興兵誅逆賊
007 第七回　　啖人肉烹食段欽使　討亂酋擊走劉武周
008 第八回　　河朔修和還舊俘　鄭兵戰敗保孤城
009 第九回　　擒渠殲敵耀武東都　奏凱還朝獻俘太廟
010 第十回　　下江東梁蕭銑亡國　戰洺南劉黑闥喪師
011 第十一回　　唐太子發兵平山左　李大使乘勝下丹陽
012 第十二回　　誅文幹傳首長安　卻頡利修和突厥
013 第十三回　　玄武門同胞受刃　庐江王謀反被誅
014 第十四回　　納弟婦東宮瀆倫　盟胡虜便橋申約
015 第十五回　　偃武修文君臣論治　易和為戰將帥揚鑣
016 第十六回　　獲渠魁掃平東突厥　統雄師深入吐谷渾
017 第十七回　　長孫後臨終箴主闕　武媚娘奉召沐皇恩
018 第十八回　　滅高昌獻俘觀德殿　逐真珠擊敗薛延陀
019 第十九回　　強胡內亂列部紛爭　逆跡上聞儲君被廢
020 第二十回　　易東宮親授御訓　征高麗連破敵鋒
021 第二十一回　　東略無功全軍歸國　北荒盡服群酋入朝
022 第二十二回　　使天竺調兵擒叛酋　征龜茲入穴虜名王
023 第二十三回　　出嬌娃英主升遐　逞姦情帝女謀變
024 第二十四回　　武昭儀還宮奪寵　褚遂良伏闕陳忠
025 第二十五回　　下辣手害死王皇后　遣大軍擒歸沙缽羅
026 第二十六回　　許敬宗搆陷三家　劉仁軌蕩平百濟
027 第二十七回　　發三箭薛禮定天山　統六師李勣滅高麗
028 第二十八回　　伐西羌連番敗績　易東宮兩次蒙冤
029 第二十九回　　裴總管出師屢捷　唐高宗得病告終
030 第三十回　　被廢立庐陵王坐徙　違良策徐敬業敗亡
031 第三十一回　　敕告密濫用嚴刑　謀匡復構成大禍
032 第三十二回　　武則天革命稱尊　狄仁杰奉制出獄
033 第三十三回　　安金藏剖心明信　僧懷義稔惡受誅
034 第三十四回　　累次發兵才平叛酋　借端詳夢迭獻忠忱
035 第三十五回　　默啜汗悔婚入寇　狄梁公盡職歸天
036 第三十六回　　證冤獄張說辨誣　誅淫豎中宗復位
037 第三十七回　　通三思正宮縱欲　竄五王內使行兇
038 第三十八回　　誅首惡太子興兵　狎文臣上官恃寵
039 第三十九回　　規夜宴特獻回波辭　進毒餅枉死神龍殿
040 第四十回　　討韋氏掃清宿穢　平譙王駢戮叛徒
041 第四十一回　　應星變睿宗禪位　泄逆謀公主殺身
042 第四十二回　　贈美人張說得厚報　破強虜王晙立奇功
043 第四十三回　　任良相美政紀開元　閱邊防文臣平叛虜
044 第四十四回　　信妾言皇后被廢　叢敵怨節使遭戕
045 第四十五回　　張守珪誘番得虜首　李林甫毒計害儲君
046 第四十六回　　卻隆恩張果老歸山　開盛宴江梅妃獻技
047 第四十七回　　梅悴楊榮撒嬌絮閣　羅鉗吉網黨惡濫刑
048 第四十八回　　洗祿兒中冓貽羞　寫幽怨長門擬賦
049 第四十九回　　戀愛妃密誓長生殿　寵胡兒親餞望春亭
050 第五十回　　勤政樓童子陳箴　范陽鎮逆胡構亂
051 第五十一回　　失潼關哥舒翰喪師　駐馬嵬楊貴妃隕命
052 第五十二回　　唐肅宗稱尊靈武　雷海青殉節洛陽
053 第五十三回　　結君心歡暱張良娣　受逆報刺死安祿山
054 第五十四回　　統三軍廣平奏績　復兩京李泌辭歸
055 第五十五回　　與城俱亡雙忠死義　從賊墮節六等定刑
056 第五十六回　　九節度受制魚朝恩　兩叛將投降李光弼
057 第五十七回　　遷上皇閹寺擅權　寵少子逆胡速禍
058 第五十八回　　弒張後代宗即位　平史賊蕃將立功
059 第五十九回　　避寇亂天子蒙塵　耀軍徽令公卻敵
060 第六十回　　入番營單騎盟虜　忤帝女綁子入朝
061 第六十一回　　定秘謀元舅除凶　竊主柄強藩抗命
062 第六十二回　　貶忠州劉晏冤死　守臨洺張伾得援
063 第六十三回　　三鎮連兵張家覆祀　四王僭號朱氏主盟
064 第六十四回　　叱逆使顏真卿抗節　擊叛帥段秀實盡忠
065 第六十五回　　僭帝號大興逆師　解賊圍下詔罪己
066 第六十六回　　趨大梁德宗奔命　戰貝州朱滔敗還
067 第六十七回　　朱泚敗死彭原城　李晟誘誅田希鑒
068 第六十八回　　竇桂娘密謀除逆　尚結贊狡計劫盟
069 第六十九回　　格君心儲君免禍　釋主怨公主和番
070 第七十回　　陸敬輿斥奸忤旨　韓全義掩敗為功
071 第七十一回　　王叔文得君怙寵　韋執誼坐黨貶官
072 第七十二回　　擒劉辟戡定西川　執李錡蕩平鎮海
073 第七十三回　　討成德中使無功　策魏博名相定議
074 第七十四回　　賢公主出閨循婦道　良宰輔免禍見陰功
075 第七十五回　　卻美妓渡水薄郾城　用降將冒雪擒元濟
076 第七十六回　　諫佛骨韓愈遭貶　縛逆首劉悟倒戈
077 第七十七回　　平叛逆因驕致禍　好盤游拒諫飾非
078 第七十八回　　河朔再亂節使遭戕　深州撤圍侍郎申命
079 第七十九回　　裂制書郭太后叱奸　信卜士張工頭構亂
080 第八十回　　盅敬宗逆閹肆逆　屈劉蕡名士埋名
081 第八十一回　　誅叛帥朝使爭功　誣相臣天潢坐罪
082 第八十二回　　嫉強藩杜牧作罪言　除逆閹李訓施詭計
083 第八十三回　　甘露敗謀黨人流血　鈞垣坐鎮都市弭兵
084 第八十四回　　奉皇弟權閹矯旨　迎公主猛將建功
085 第八十五回　　興大軍老成定議　墮狡計逆豎喪元
086 第八十六回　　信方士藥死唐武宗　立太叔竄斃李首相
087 第八十七回　　復河隴邊民入覲　立鄆夔內豎爭權
088 第八十八回　　平浙東王式用智　失安南蔡襲盡忠
089 第八十九回　　易猛將進克交趾城　得義友夾攻徐州賊
090 第九十回　　斬龐勛始清叛孽　葬同昌備極奢華
091 第九十一回　　曾元裕擊斬王仙芝　李克用叛戮段文楚
092 第九十二回　　鎮淮南高駢縱寇　入關中黃巢稱尊
093 第九十三回　　奔成都誤寵權閹　復長安追殲大盜
094 第九十四回　　入陷阱幸脫上源驛　劫車駕急走大散關
095 第九十五回　　襄王熅竄死河中　楊行密盜據淮甸
096 第九十六回　　討河東王師敗績　走山南閹黨失機
097 第九十七回　　三鎮犯闕輦轂震驚　一戰成功邠寧戡定
098 第九十八回　　占友妻張夫人進箴　挾兵威劉太監廢帝
099 第九十九回　　以亂易亂劫遷主駕　用毒攻毒盡殺宦官
100 第一百回　　徒乘輿朱全忠行弒　移國祚昭宣帝亡唐
