001 第一回　　河洛降神奇兒出世　弧矢見志遊子離鄉
002 第二回　　遇異僧幸示迷途　掃強敵連擒渠帥
003 第三回　　憂父病重托趙則平　肅軍威大敗李景達
004 第四回　　紫金山唐營盡覆　瓦橋關遼將出降
005 第五回　　陳橋驛定策立新君　崇元殿受禪登大位
006 第六回　　公主鐘情再婚志喜　孤臣敗死一炬成墟
007 第七回　　李重進闔家投火窟　宋太祖杯酒釋兵權
008 第八回　　遣師南下戡定荊湘　冒雪宵來商征巴蜀
009 第九回　　破川軍孱王歸命　受蜀俘美婦承恩
010 第十回　　戢兵變再定西川　興王師得平南漢
011 第十一回　　懸繪像計殺敵臣　造浮梁功成采石
012 第十二回　　明德樓綸音釋俘　萬歲殿燭影生疑
013 第十三回　　吳越王歸誠納土　北漢主窮蹙乞降
014 第十四回　　高梁河宋師敗績　雁門關遼將喪元
015 第十五回　　弄巧成拙妹倩殉邊　修怨背盟皇弟受禍
016 第十六回　　進治道陳希夷入朝　遁窮荒李繼遷降虜
017 第十七回　　岐溝關曹彬失律　陳家谷楊業捐軀
018 第十八回　　張齊賢用謀卻敵　尹繼倫奮力踹營
019 第十九回　　報宿怨故王索命　討亂黨宦寺典兵
020 第二十回　　伐西夏五路出師　立新皇百官入賀
021 第二十一回　　康保裔血戰亡身　雷有終火攻平匪
022 第二十二回　　收番部叛王中計　納忠諫御駕親征
023 第二十三回　　澶州城磋商和約　承天門偽降帛書
024 第二十四回　　孫待制空言阻西幸　劉美人徼寵繼中宮
025 第二十五回　　留遺恨王旦病終　坐株連寇準遭貶
026 第二十六回　　王沂公劾奸除首惡　魯參政挽輦進忠言
027 第二十七回　　劉太后極樂歸天　郭正宮因爭失位
028 第二十八回　　蕭耨斤挾權弒主母　趙元昊僭號寇邊疆
029 第二十九回　　中虜計任福戰歿　奉使命富弼辭行
030 第三十回　　爭和約折服契丹　除敵臣收降元昊
031 第三十一回　　明副使力破叛徒　曹皇后智平逆賊
032 第三十二回　　狄青夜奪崑崙關　包拯出知開封府
033 第三十三回　　立儲貳入承大統　釋嫌疑准請撤簾
034 第三十四回　　爭濮議聚訟盈廷　傳潁王長男主器
035 第三十五回　　神宗誤用王安石　種諤誘降嵬名山
036 第三十六回　　議新法創設條例司　讞疑獄狡脫謀夫案
037 第三十七回　　韓使相諫君論弊政　朱明府尋母竭孝思
038 第三十八回　　棄邊城撫臣坐罪　徙杭州名吏閒游
039 第三十九回　　借父威豎子成名　逞兵謀番渠被虜
040 第四十回　　流民圖為國請命　分水嶺割地畀遼
041 第四十一回　　奉使命率軍征交趾　蒙慈恩減罪謫黃州
042 第四十二回　　伐西夏李憲喪師　城永樂徐禧陷歿
043 第四十三回　　立幼主高后垂簾　拜首相溫公殉國
044 第四十四回　　分三黨廷臣構釁　備六禮冊后正儀
045 第四十五回　　囑後事賢后升遐　紹先朝姦臣煽禍
046 第四十六回　　寵妾廢妻皇綱倒置　崇邪黜正黨獄迭興
047 第四十七回　　拓邊防謀定制勝　竊后位喜極生悲
048 第四十八回　　承兄祚初政清明　信閹言再用奸慝
049 第四十九回　　端禮門立碑誣正士　河湟路遣將復西蕃
050 第五十回　　應供奉朱勔承差　得奧援蔡京復相
051 第五十一回　　巧排擠毒死輔臣　喜招徠載歸異族
052 第五十二回　　信道教詭說遇天神　築離宮微行探春色
053 第五十三回　　挾妓縱歡歌樓被澤　屈尊就宴相府承恩
054 第五十四回　　造雄邦恃強稱帝　通遠使約金攻遼
055 第五十五回　　幫源峒方臘揭竿　梁山泊宋江結寨
056 第五十六回　　知海州收降及時雨　破杭城計出智多星
057 第五十七回　　入深巖得擒叛首　征朔方再挫王師
058 第五十八回　　誇功銘石艮嶽成山　覆國喪身孱遼絕祀
059 第五十九回　　啟外釁胡人南下　定內禪上皇東奔
060 第六十回　　遵敵約城下乞盟　滿惡貫途中授首
061 第六十一回　　議和議戰朝局紛爭　誤國誤家京城失守
062 第六十二回　　墮姦謀闔宮被劫　立異姓二帝蒙塵
063 第六十三回　　承遺祚藩王登極　發逆案姦賊伏誅
064 第六十四回　　宗留守力疾捐軀　信王榛敗亡失跡
065 第六十五回　　招寇侮驚馳御駕　脅禪位激動義師
066 第六十六回　　韓世忠力平首逆　金兀朮大舉南侵
067 第六十七回　　巾幗英雄桴鼓助戰　鬚眉豪氣舞劍吟詞
068 第六十八回　　趙立中礮失楚州　劉豫降虜稱齊帝
069 第六十九回　　破劇盜將帥齊驅　敗強虜弟兄著績
070 第七十回　　岳家軍克復襄漢　韓太尉保障江淮
071 第七十一回　　入洞庭擒渠掃穴　返廬山奉櫬奔喪
072 第七十二回　　髯將軍敗敵揚威　愚參謀監軍遇害
073 第七十三回　　撤藩封偽主被縶　拒和議忠諫留名
074 第七十四回　　劉錡力捍順昌城　岳飛奏捷朱仙鎮
075 第七十五回　　傳偽詔連促班師　設毒謀構成冤獄
076 第七十六回　　屈膝求和母后返駕　刺奸被執義士喪生
077 第七十七回　　立趙宗親王嗣服　弒金帝逆賊肆淫
078 第七十八回　　金主亮分道入寇　虞允文大破敵軍
079 第七十九回　　誅暴主遼陽立新君　隳前功符離驚潰變
080 第八十回　　廢守備奸臣通敵　申和約使節還朝
081 第八十一回　　朱晦翁創立社倉法　宋孝宗重定內禪儀
082 第八十二回　　攬內權辣手逞兇　勸過宮引裾極諫
083 第八十三回　　趙汝愚定策立新皇　韓侂冑弄權逐良相
084 第八十四回　　賀生辰尚書鑽狗竇　侍夜宴豔后媚龍顏
085 第八十五回　　倡北伐喪師辱國　據西陲作亂亡家
086 第八十六回　　史彌遠定計除奸　鐵木真稱尊耀武
087 第八十七回　　失中都金丞相殉節　獲少女楊家堡成婚
088 第八十八回　　寇南朝孱主誤軍謀　據東海降盜加節鉞
089 第八十九回　　易嗣君濟邸蒙冤　逐制帥楚城屢亂
090 第九十回　　誅逆首淮南紓患　戕外使蜀右被兵
091 第九十一回　　約蒙古夾擊殘金　克蔡州獻俘太廟
092 第九十二回　　圖中原兩軍敗退　寇南宋三路進兵
093 第九十三回　　守蜀境累得賢才　劾史氏力扶名教
094 第九十四回　　余制使憂讒殞命　董丞相被脅罷官
095 第九十五回　　捏捷報欺君罔上　拘行人棄好背盟
096 第九十六回　　史天澤討叛誅李璮　賈似道弄權居葛嶺
097 第九十七回　　援孤城連喪二將　寵大憝貽誤十年
098 第九十九回　　報怨興兵蹂躪江右　喪師辱國竄殛嶺南
099 第九十九回　　屯焦山全軍告熸　陷臨安幼主被虜
100 第一○○回　　擁二王勉支殘局　覆兩宮悵斷重洋
