001 歷史通俗演義-明史 4759 第一回 　　揭史綱開宗明義　困涸轍避難為僧
002 歷史通俗演義-明史 4760 第二回 　　投軍伍有幸配佳人　捍孤城仗義拯主帥
003 歷史通俗演義-明史 4761 第三回 　　攻城掠地迭遇奇材　獻幣釋嫌全資賢婦
004 歷史通俗演義-明史 4762 第四回 　　登雉堞語驚張天祐　探虎穴約會孫德崖
005 歷史通俗演義-明史 4763 第五回 　　郭家女入侍濠城　常將軍力拔采石
006 歷史通俗演義-明史 4764 第六回 　　取集慶朱公開府　陷常州徐帥立功
007 歷史通俗演義-明史 4765 第七回 　　朱亮祖戰敗遭擒　張士德縶歸絕粒
008 歷史通俗演義-明史 4766 第八回 　　入太湖廖永安陷沒　略東浙胡大海薦賢
009 歷史通俗演義-明史 4767 第九回 　　劉伯溫定計破敵　陳友諒挈眷逃生
010 歷史通俗演義-明史 4768 第十回 　　救安豐護歸小明王　援南昌大戰偽漢主
011 歷史通俗演義-明史 4769 第十一回 　　鄱陽湖友諒亡身　應天府吳王即位
012 歷史通俗演義-明史 4770 第十二回 　　取武昌移師東下　失平江闔室自焚
013 歷史通俗演義-明史 4771 第十三回 　　檄北方徐元帥進兵　下南閩陳平章死節
014 歷史通俗演義-明史 4772 第十四回 　　四海歸心誕登帝位　三軍效命直搗元都
015 歷史通俗演義-明史 4773 第十五回 　　襲太原元擴廓中計　略臨洮李思齊出降
016 歷史通俗演義-明史 4774 第十六回 　　納降誅叛西徼揚威　逐梟擒雛南京獻俘
017 歷史通俗演義-明史 4775 第十七回 　　降夏主蕩平巴蜀　擊元將轉戰朔方
018 歷史通俗演義-明史 4776 第十八回 　　下征書高人抗志　泄逆謀奸相伏誅
019 歷史通俗演義-明史 4777 第十九回 　　定雲南沐英留鎮　征漠北藍玉報功
020 歷史通俗演義-明史 4778 第二十回 　　鳳微德杳再喪儲君　鳥盡弓藏迭興黨獄
021 歷史通俗演義-明史 4779 第二十一回 　　削藩封諸王得罪　戕使臣靖難興師
022 歷史通俗演義-明史 4780 第二十二回 　　耿炳文敗績滹沱河　燕王棣詐入大寧府
023 歷史通俗演義-明史 4781 第二十三回 　　折大旗南軍失律　脫重圍北走還都
024 歷史通俗演義-明史 4782 第二十四回 　　往復貽書囚使激怒　倉皇挽粟遇伏失糧
025 歷史通俗演義-明史 4783 第二十五回 　　越長江燕王入京　出鬼門建文遜國
026 歷史通俗演義-明史 4784 第二十六回 　　拒草詔忠臣遭慘戮　善諷諫長子得承家
027 歷史通俗演義-明史 4785 第二十七回 　　梅駙馬含冤水府　鄭中官出使外洋
028 歷史通俗演義-明史 4786 第二十八回 　　下南交殺敵擒渠　出北塞銘功勒石
