001 第一回　　溯往事慨談身世　述前朝細敘源流
002 第二回　　喪二祖誓師復仇　合九部因驕致敗
003 第三回　　祭天壇雄主告七恨　戰遼陽庸帥覆全軍
004 第四回　　熊廷弼守遼樹績　王化貞棄塞入關
005 第五回　　猛參政用炮擊敵　慈喇嘛偕使傳書
006 第六回　　下朝鮮貝勒旋師　守甯遠撫軍奏捷
007 第七回　　為敵作倀滿主入邊　因間信讒明帝中計
008 第八回　　明守將獻城賣友　清太宗獲璽稱尊
009 第九回　　朝鮮主稱臣乞降　盧督師忠君殉節
010 第十回　　失輜重全軍敗潰　迷美色大帥投誠
011 第十一回　　清太宗賓天傳幼主　多爾袞奉命略中原
012 第十二回　　失愛姬乞援外族　追流賊忍死雙親
013 第十三回　　闖王西走合浦還珠　清帝東來神京定鼎
014 第十四回　　抗清廷丹忱報國　屠揚州碧血流芳
015 第十五回　　棄南都昏主被囚　捍孤城遺臣死義
016 第十六回　　南下鏖兵明藩覆國　西征奏凱清將蒙誣
017 第十七回　　立宗支粤西存殘局　殉偏疆岩下表雙忠
018 第十八回　　創新儀太后聯婚　報宿怨中宮易位
019 第十九回　　李定國竭忠扈駕　鄭成功仗義興師
020 第二十回　　日暮途窮寄身異域　水流花謝撒手塵寰
021 第二十一回　　弒故主悍師徼功　除大憝沖人定計
022 第二十二回　　蓄逆謀滇中生變　撤藩鎮朝右用兵
023 第二十三回　　馳偽檄四方響應　失勇將三桂回軍
024 第二十四回　　兩親王因敗為功　諸藩鎮束手聽命
025 第二十五回　　僭帝號遘疾伏冥誅　集軍威破城殲叛孽
026 第二十六回　　臺灣島戰敗降清室　尼布楚訂約屈俄臣
027 第二十七回　　三部內哄禍起蕭牆　數次親征蕩平朔漠
028 第二十八回　　爭儲位冢嗣被黜　罹文網名士沉冤
029 第二十九回　　聞寇警發兵平藏衛　苦苛政倡亂據臺灣
030 第三十回　　暢春園聖祖賓天　乾清宮世宗立嗣
031 第三十一回　　平青海驅除叛酋　頒硃諭慘戮同胞
032 第三十二回　　兔死狗烹功臣驕戮　鴻罹魚網族姓株連
033 第三十三回　　畏虎將准部乞修和　望龍髯苗疆留遺恨
034 第三十四回　　分八路進平苗穴　祝千秋暗促華齡
035 第三十五回　　征金川兩帥受嚴刑　降蠻酋二公膺懋賞
036 第三十六回　　御駕南巡名園駐蹕　王師西討叛酋遭擒
037 第三十七回　　滅准部餘孽就殲　蕩回疆貞妃殉節
038 第三十八回　　游江南中宮截髮　征緬甸大將喪軀
039 第三十九回　　傅經略暫平南服　阿將軍再定金川
040 第四十回　　平海島一將含冤　定外藩兩邦懾服
041 第四十一回　　太和殿受禪承帝統　白蓮教倡亂釀兵災
042 第四十二回　　誤軍機屢易統帥　平妖婦獨著芳名
043 第四十三回　　撫賊寨首領遭擒　整朝綱權相伏法
044 第四十四回　　佈德揚威連番下詔　擒渠獻馘逐載報功
045 第四十五回　　撫叛兵良將蒙冤　剿海寇統帥奏捷
046 第四十六回　　兩軍門復仇慰英魄　八卦教煽亂鬧皇城
047 第四十七回　　聞警回鑾下詔罪己　護喪嗣統邊報驚心
048 第四十八回　　愚慶祥敗死回疆　智楊芳誘擒首逆
049 第四十九回　　征浩罕王師再出　剿叛傜欽使報功
050 第五十回　　飲鴆毒姑婦成疑案　焚鴉片中外起兵端
051 第五十一回　　林制軍慷慨視師　琦中堂昏庸誤國
052 第五十二回　　關提督粤中殉難　奕將軍城下乞盟
053 第五十三回　　效屍諫宰相輕生　失重鎮將帥殉節
054 第五十四回　　弈統帥因間致敗　陳軍門中炮歸仁
055 第五十五回　　江甯城萬姓被兵　靜海寺三帥定約
056 第五十六回　　怡制軍巧結臺灣獄　徐總督力捍廣州城
057 第五十七回　　清文宗嗣統除奸　洪秀全糾眾發難
058 第五十八回　　欽使迭亡太平建國　悍徒狡脫都統喪軀
059 第五十九回　　駱中丞固守長沙城　錢東平獻取江南策
060 第六十回　　陷江南洪氏定制　攻河北林酋挫威
061 第六十一回　　創水師衡陽發軔　發援卒岳州鏖兵
062 第六十二回　　湘軍屢捷水陸揚威　畿輔復安林李授首
063 第六十三回　　那拉氏初次承恩　圓明園四春爭寵
064 第六十四回　　羅先生臨陣傷軀　沈夫人佐夫抗敵
065 第六十五回　　瓜鎮喪師向營失陷　韋楊斃命洪酋中衰
066 第六十六回　　智統領出奇制勝　愚制軍輕敵遭擒
067 第六十七回　　四國耀威津門脅約　兩江喋血戰地埋魂
068 第六十八回　　戰皖北諸將立功　退丹陽大營又潰
069 第六十九回　　開外釁失律喪師　締和約償款割地
