001 第一回　　孫待詔史記世系
002 第二回　　唐天子開科取士
003 第三回　　赤牆村黃巢出身
004 第四回　　黃巢藏梅寺起手
005 第五回　　黃巢殺入長安城
006 第六回　　鄭畋大戰朱全忠
007 第七回　　敬思奉旨宣晉王
008 第八回　　晉王起兵入中原
009 第九回　　克用箭服周德威
010 第十回　　安景思牧羊打虎
011 第十一回　　李晉王閱兵試箭
012 第十二回　　存孝打破石嶺關
013 第十三回　　李晉王河中會兵
014 第十四回　　鴉館樓朱溫賭帶
015 第十五回　　存孝生擒孟絕海
016 第十六回　　周德威力救存孝
017 第十七回　　李存孝力殺四將
018 第十八回　　存孝火燒永豐倉
019 第十九回　　德威遣將滅黃巢
020 第二十回　　滅巢山黃巢自刎
021 第二十一回　　程敬思接駕還朝
022 第二十二回　　存孝力服王彥章
023 第二十三回　　朱溫火燒上源驛
024 第二十四回　　田令孜弄權封爵
025 第二十五回　　晉王勘問田令孜
026 第二十六回　　朱溫掣劍挾王鐸
027 第二十七回　　劉知遠大戰梁兵
028 第二十八回　　李晉王同台解圍
029 第二十九回　　朱溫計逼五侯反
030 第三十回　　存孝活捉鄧天王
031 第三十一回　　存孝病挾高思繼
032 第三十二回　　五牛掙死李存孝
033 第三十三回　　晉王痛哭勇南公
034 第三十四回　　梁兵劫奪勇南柩
035 第三十五回　　唐昭宗遷駕汴梁
036 第三十六回　　晉王起兵伐朱溫
037 第三十七回　　雞寶山存孝顯聖
038 第三十八回　　彥章智殺高思繼
039 第三十九回　　建唐智擒傅道昭
040 第四十回　　趙霸入汴誆軍糧
041 第四十一回　　君臣三弒椒蘭殿
042 第四十二回　　五龍逼死王彥章
043 第四十三回　　李嗣源據守大梁
044 第四十四回　　唐明宗焚香祝聖
045 第四十五回　　潞王奪位登天下
046 第四十六回　　石敬瑭反下三關
047 第四十七回　　廢帝遣將追公主
048 第四十八回　　契丹遣兵助敬瑭
049 第四十九回　　桑維翰獻策取城
050 第五十回　　石敬瑭長安即位
051 第五十一回　　晉兵智困王延政
052 第五十二回　　劉知遠奉命出師
053 第五十三回　　文寶賺關殺戴禮
054 第五十四回　　孫飛虎拒鐵籠山
055 第五十五回　　史弘肇擒孫飛虎
056 第五十六回　　立齊王重貴為帝
057 第五十七回　　幼主稱臣降契丹
058 第五十八回　　漢主謀殺史弘肇
059 第五十九回　　郭威為眾加黃袍
060 第六十回　　周世宗禪位宋祖
