001 第一回　　張天師祈禳瘟疫　洪太尉誤走妖魔
002 第二回　　王教頭私走延安府　九紋龍大鬧史家村
003 第三回　　史大郎夜走華陰縣　魯提轄拳打鎮關西
004 第四回　　趙員外重修文殊院　魯智深大鬧五臺山
005 第五回　　小霸王醉入銷金帳　花和尚大鬧桃花村
006 第六回　　九紋龍剪徑赤松林　魯智深火燒瓦罐寺
007 第七回　　花和尚倒拔垂楊柳　豹子頭誤入白虎堂
008 第八回　　林教頭刺配滄州道　魯智深大鬧野豬林
009 第九回　　柴進門招天下客　林沖棒打洪教頭
010 第十回　　林教頭風雪山神廟　陸虞候火燒草料場
011 第十一回　　朱貴水亭施號箭　林沖雪夜上梁山
012 第十二回　　梁山泊林沖落草　汴京城楊志賣刀
013 第十三回　　急先鋒東郭爭功　青面獸北京鬥武
014 第十四回　　赤髮鬼醉臥靈官殿　晁天王認義東溪村
015 第十五回　　吳學究說三阮撞籌　公孫勝應七星聚義
016 第十六回　　楊志押送金銀擔　吳用智取生辰綱
017 第十七回　　花和尚單打二龍山　青面獸雙奪寶珠寺
018 第十八回　　美髯公智穩插翅虎　宋公明私放晁天王
019 第十九回　　林沖水寨大併火　晁蓋梁山小奪泊
020 第二十回　　梁山泊義士尊晁蓋　鄆城縣月夜走劉唐
021 第二十一回　　虔婆醉打唐牛兒　宋江怒殺閻婆惜
022 第二十二回　　閻婆大鬧鄆城縣　朱仝義釋宋公明
023 第二十三回　　橫海郡柴進留賓　景陽岡武松打虎
024 第二十四回　　王婆貪賄說風情　鄆哥不忿鬧茶肆
025 第二十五回　　王婆計啜西門慶　淫婦藥鴆武大郎
026 第二十六回　　偷骨殖何九叔送喪　供人頭武二郎設祭
027 第二十七回　　母夜叉孟州道賣人肉　武都頭十字坡遇張青
028 第二十八回　　武松威鎮安平寨　施恩義奪快活林
029 第二十九回　　施恩重霸孟州道　武松醉打蔣門神
030 第三十回　　施恩三入死囚牢　武松大鬧飛雲浦
031 第三十一回　　張都監血濺鴛鴦樓　武行者夜走蜈蚣嶺
032 第三十二回　　武行者醉打孔亮　錦毛虎義釋宋江
033 第三十三回　　宋江夜看小鰲山　花榮大鬧清風寨
034 第三十四回　　鎮三山大鬧青州道　霹靂火夜走瓦礫場
035 第三十五回　　石將軍村店寄書　小李廣梁山射雁
036 第三十六回　　梁山泊吳用舉戴宗　揭陽嶺宋江逢李俊
037 第三十七回　　沒遮攔追趕及時雨　船火兒大鬧潯陽江
