001 水滸後傳 6542 第一回 　　阮統制感舊梁山泊　張別駕激變石碣村
002 水滸後傳 6543 第二回 　　毛孔目橫吞海貨　顧大嫂直斬豪家
003 水滸後傳 6544 第三回 　　病尉遲閒住受餘殃　欒廷玉失機同入伙
004 水滸後傳 6545 第四回 　　鬼臉兒寄書罹重禍　趙玉娥錯配遇多情
005 水滸後傳 6546 第五回 　　老管營少妾殺命　撲天雕舊僕株連
006 水滸後傳 6547 第六回 　　飲馬川群英興舊業　虎峪寨鬥法辱黃冠
007 水滸後傳 6548 第七回 　　李良嗣條陳因賜姓　鐵叫子避難暫更名
008 水滸後傳 6549 第八回 　　燕子磯玉貌惹奇殃　寶帶橋金蘭逢故友
009 水滸後傳 6550 第九回 　　混江龍賞雪受祥符　巴山蛇截湖征重稅
010 水滸後傳 6551 第十回 　　墨吏貪贓賠錢縱獄　豪紳聚斂加利償民
011 水滸後傳 6552 第十一回 　　駕長風群雄開霸業　射鯨魚一箭顯家傳
012 水滸後傳 6553 第十二回 　　金鼇島興兵圖遠略　暹羅城危困乞和親
013 水滸後傳 6554 第十三回 　　翻海舶天涯遇知己　換良方相府藥佳人
014 水滸後傳 6555 第十四回 　　安太醫遭讒先避跡　聞參謀高隱款名賢
015 水滸後傳 6556 第十五回 　　大征戰耶律淳奔潰　小割裂左企弓獻詩
016 水滸後傳 6557 第十六回 　　潯陽江悶和酒樓詩　柳塘灣快除雪舟恨
017 水滸後傳 6558 第十七回 　　穆春血濺雙峰廟　扈成計敗三路兵
018 水滸後傳 6559 第十八回 　　鎮三山遭冤入登雲　焦面鬼謀妻落枯井
019 水滸後傳 6560 第十九回 　　啟兵端輕納平州城　逞神力奪轉唐猊甲
020 水滸後傳 6561 第二十回 　　呼延灼父子透重圍　美髯公良朋解險阨
021 水滸後傳 6562 第二十一回 　　撲天雕火燒萬慶寺　小旋風冤困滄州牢
022 水滸後傳 6563 第二十二回 　　破滄州豪傑重逢　困汴京奷雄遠竄
023 水滸後傳 6564 第二十三回 　　跨青騾英雄尋退步　演六甲兒戲陷神京
024 水滸後傳 6565 第二十四回 　　換青衣二帝慘蒙塵　獻黃柑孤臣完大義
025 水滸後傳 6566 第二十五回 　　野狐鋪正言折王進　大名府巧計救關勝
026 水滸後傳 6567 第二十六回 　　小相逢古殿話新悉　大征戰松坡獲全勝
027 水滸後傳 6568 第二十七回 　　渡黃河叛臣因授首　進鴆酒狹路巧相逢
028 水滸後傳 6569 第二十八回 　　橫衝營良馬識故主　靖忠廟養卒奉英靈」
029 水滸後傳 6570 第二十九回 　　還道村法斬郭道士　紫髯伯術護美髯公
030 水滸後傳 6571 第三十回 　　陰陽設計鐵扇離殃　南北兩寨金鼇聚義
031 水滸後傳 6572 第三十一回 　　馬國主遊春逢羽客　共丞相訪道遇番僧
032 水滸後傳 6573 第三十二回 　　慶生辰龍舟觀競渡　篡寶位綺席進霞丹
033 水滸後傳 6574 第三十三回 　　薩頭陀役鬼燒海船　混江龍誓志守孤城
034 水滸後傳 6575 第三十四回 　　大復仇二凶同授首　權統攝杰士盡歸心
035 水滸後傳 6576 第三十五回 　　日本國借兵生釁　青霓島煽亂興師
036 水滸後傳 6577 第三十六回 　　振國威勝算平三島　建奇功異物貢遐方
037 水滸後傳 6578 第三十七回 　　徐神翁詩驗金鼇島　宋高宗駕困牡蠣灘
038 水滸後傳 6579 第三十八回 　　武行者敘舊六和塔　宿太慰敕封暹羅
039 水滸後傳 6580 第三十九回 　　丹霞宮三真修靜業　金鑾殿四美結良緣
040 水滸後傳 6581 第四十回 　　大聚會弟兄同宴樂　好結果君臣共賦詩
