001 第一章　　驂鳳翥仙侶臨凡　詣龍湫神僧飛錫
002 第二章　　逢密友慷慨談心　論人情詼諧嘲世
003 第三章　　松月波攜酒玩芳菲　石蓮峰賞花遇梅柳
004 第四章　　柳絲悲寄長歌　石生情感二妓
005 第五章　　空齋夜作有情癡　平康重訪多嬌面
006 第六章　　遣書帶密探梅柳　出簡帖義激松雲
007 第七章　　賞端陽江上同游　弔靈均舟中聯句
008 第八章　　義士捐金贖二美　佳人作畫寄情郎
009 第九章　　石生訪舊續前歡　二女矢心酬厚德
010 第十章　　神僧密贈蠟丸詩　契友相商入秦事
011 第十一章　　訂宵徵二女同歌　泛春波扁舟獨駕
012 第十二章　　天風吹送入花源　佛子扳留住繡嶺
013 第十三章　　石蓮峰巧拾錦溪鴛　水盈盈偷睹仙郎面
014 第十四章　　聞琴聲隔院覷佳人　和題紅投箋考詩賦
015 第十五章　　妙婢燈前雙遣候　纖蛾月底乍相逢
016 第十六章　　蓮峰金谷試冰心　盈盈芸窗論詩話
017 第十七章　　竊詩畫石岫披懷　會巫陽彩蘋送雨
018 第十八章　　石母得書驚問卜　松濤訪友遠辭家
019 第十九章　　深閨臨別訂鴛盟　孤棹逢秋辭錦水
020 第二十章　　山總戎絕親馳偽札　水散人拷婢得真情
021 第二十一章　　投合浦雲影探親　困雙娥富豪發難
022 第二十二章　　柳絲設計賺狂且　梅萼避仇入庾嶺
023 第二十三章　　遇舟人松濤入錦水　瞞蝶使水氏寄花箋
024 第二十四章　　出桃源散人歸合浦　泊江塹梅萼會盈盈
025 第二十五章　　戰西秦函關退木客　開東閣幕府贅松濤
026 第二十六章　　紅錦辭牽宦室　明珠飛入龍湫
027 第二十七章　　賺仙郎暗香吐梅萼　逢魔女欲海漲漣漪
028 第二十八章　　文鴛侶歡諧七夕巧　綠衣郎柳折一枝新
029 第二十九章　　辭丹詔不涉宦海　隱桃源共作散仙
030 第三十章　　老僧返錫白前因　水石團圓快萬古
