000 本書說明
001 第一回　　康熙爺覽奏私訪　胡忠孝異鄉受困
002 第二回　　病二郎鏢店遇友　王河龍救駕拿賊
003 第三回　　馬成龍窮困投母舅　柳金鐸大義贈多金
004 第四回　　山東馬大鬧蘇州街　活閻羅氣走馬家寨
005 第五回　　郭廣瑞店內施仁　馬成龍途中受困
006 第六回　　行惡反招惡報　欺人終被人欺
007 第七回　　五英雄救駕興順店　四霸天大鬧廣慶園
008 第八回　　馬夢太幫助義弟　顧煥章氣走天涯
009 第九回　　義士訂盟分南北　英雄訪友走西東
010 第十回　　顧煥章廣慶園見駕　馬成龍提督衙封官
011 第十一回　　定興縣獨角龍行刺　魏家樓山東馬拿賊
012 第十二回　　伊欽差私訪獨角龍　王玄真路遇山東馬
013 第十三回　　桃柳營欽差初逢險　乘義渡二次又逢凶
014 第十四回　　顧煥章水內拒強賊　伊欽差途中遇舊婢
015 第十五回　　姚直正泄機小耗神　馬成龍路遇真報應
016 第十六回　　金文學情急叫蒼天　山東馬慷慨施大義
017 第十七回　　真報應戲耍山東　馬賽報應暗偷老英雄
018 第十八回　　李家寨賊人拷成龍　滑縣令緝捕二雹頭
019 第十九回　　盧文龍夜入金家店　金眼雕捉拿李虎臣
020 第二十回　　伊欽差攻打剪子峪　馬成龍獨戰小耗神
021 第二十一回　　山東馬空手奪叉　伊欽差山口受困
022 第二十二回　　馬夢太誤走連三莊　胡忠孝大戰剪子峪
023 第二十三回　　小耗神被捉東山口　賽報應引見暢春園
024 第二十四回　　顧煥章升任真定府　王有義殺賊密樹林
025 第二十五回　　紅鬍子戲耍顧煥章　神力王調兵剿邪教
026 第二十六回　　馬杰泄機天地會　煥章私訪蘆溝橋
027 第二十七回　　叛國賊奉旨交部訊　白將軍兵定孽龍溝
028 第二十八回　　侯起龍連敗七將　山東馬醉破飛刀
029 第二十九回　　張廣太醉入勾欄院　韓紅玉俊目識英雄
030 第三十回　　狠心賊絕斷手足情　賢良婦放走張廣太
031 第三十一回　　張廣太天津受困　回教正河邊救人
032 第三十二回　　哈大人升任上海道　張廣太殺賊滄州城
033 第三十三回　　小豪傑賣身葬母　大英雄訪弟賣刀
034 第三十四回　　粉哪吒俊目識俠義　笑無常故意戲英雄
035 第三十五回　　故托病誘姦張廣太　感深恩殺死淫春姨
036 第三十六回　　張廣太誤入太保莊　侯起龍雄聚畫石嶺
037 第三十七回　　畫石嶺白將軍鏖兵　暢春園張廣太驗記
038 第三十八回　　張廣太奉旨歸家祭祖　胡忠孝離任送妹聯姻
039 第三十九回　　花燭夜失去黃馬褂　慶團圓大上白犬墳
040 第四十回　　小姜玉怒打墨龍　白氏女尋夫遇害
041 第四十一回　　于家圍四莊主見色起意　河西務大英雄入都逢凶
042 第四十二回　　張廣太奉旨交部問　顧煥章私訪于家圍
043 第四十三回　　假道士巧得真消息　真邪教誤信假神仙
044 第四十四回　　顧煥章假充神仙　神力王調兵剿賊
045 第四十五回　　張副將升任蘇州恊　顧煥章奉旨查黃河
046 第四十六回　　欽差願捨命盡忠　龍王夢指拿六寇
047 第四十七回　　馬成龍定計拿巡撫　王千層赴宴入牢籠
048 第四十八回　　三杰暗訪百花山　英雄被害隱仙觀
