001 第一回　　虎蛇肆虐信天翁飄泊江乾　歐鷺訂盟管城子歸來海外
002 第二回　　入紅氣絕處逢生　望火光忙中有錯
003 第三回　　萍水相逢雪中送炭　風波頓起笑裡藏刀
004 第四回　　活佛慈悲在於擊棒　神仙手段那用栽贓
005 第五回　　慧眼放光謾藏成自盜　耗星照命餘燼被瓜分
006 第六回　　局外漢牽連入局冤上加冤　書中人編改成書戲中作戲
007 第七回　　一女捐軀節孝雙全歸水府　兩舟分道奇聞半部落塵寰
008 第八回　　海島住人家天高地遠　船娘留種子男盜女娼
009 第九回　　免乞丐思過為僧　辭更夫居華作賊
010 第十回　　拜鯉魚養傷逢術士　挾皮虎弄假捉妖魔
011 第十一回　　小發財眾力修橋　半傾家獨肩放賑
012 第十二回　　結官員虎威狐假　遭人命李代桃僵
013 第十三回　　栽嫖賭梁陳雙受計　移死屍包宋兩婪贓
014 第十四回　　遇盜船義釋白老虎　舉石臼勇救粉金剛
015 第十五回　　燒糧營外放火害人　煎豆墳間熬油煉鬼
016 第十六回　　金沙島財多官商受惑　素貞局勢大文武遭殃
017 第十七回　　拆良緣堂斷二夫　滅活口並傷四命
018 第十八回　　助僕放刁棺財兩得　借官報怨玉石俱焚
019 第十九回　　報恩情劫囚歸賊寨　遭毒氣束手上苗山
020 第二十回　　鐵甕山范淑雲投營　裡苗島沈瓊芳讓國
021 第二十一回　　走西鄉巧遇報恩人　吞金錁逼作含貞鬼
022 第二十二回　　人濟他他害人恩將仇報　我救你你護我情從理生
023 第二十三回　　盜令箭山寨獨逃　感明珠宮闈雙納
024 第二十四回　　代償命地甲含冤　廣造寺居民被逐
025 第二十五回　　擒降將三破鐵甕山　定制科再返裡苗國
026 第二十六回　　一服丸傷彩藻胎　九條索繫文和頸
027 第二十七回　　遠來船上二女見王妃　新造殿中眾官宴苗王
028 第二十八回　　除異獸苗王返國　賂瘦羊活佛聘妻
029 第二十九回　　菜吃菜抵對勾消　船撞船賠償了結
030 第三十回　　似人似鬼孽滿受諸刑　半是半非書終成一夢
