001 第一回　　孫大理離鄉留定遠　劉公條扶阻到清風
002 第二回　　強氏由南雄歸家　孫大理央媒復娶
003 第三回　　大理洞房　小繼螟蛉
004 第四回　　小繼落院施錢　大理因嫖訓子
005 第五回　　小繼為債所逼　強氏因借通姦
006 第六回　　野飛熊教場賣卜　孫大理回家風鑒
007 第七回　　大理河廳上喪命　小繼清風前裝瘋
008 第八回　　孫強氏閉井支鍋　汪成龍選擇地理
009 第九回　　小繼請客　強氏招親
010 第十回　　孝姑自縊　大理相救
011 第十一回　　皮奉山議親　孫孝姑出嫁
012 第十二回　　看房成交　餪居揎屋
013 第十三回　　皮奉山支賀分　孫孝姑嫁窮神
014 第十四回　　洞房匪友聚會　破水缸做妝台
015 第十五回　　皮奉山鬧點心店　孫大理顯魂借貸
016 第十六回　　皮奉山賣菜　孫孝姑送灶
017 第十七回　　到年就過年　遇貨就打貨
018 第十八回　　馬蓋當錢賭　運轉四五六
019 第十九回　　皮奉山改姓　潘彩臣邀賭
020 第二十回　　八蠻聚賭　一人得彩
021 第二十一回　　二次聚賭　歸家謝神
022 第二十二回　　皮府遷居　財神點化
023 第二十三回　　皮奉山運轉挖窖　孝姑娘各廟拈香
024 第二十四回　　造花園落成　廳房上匾對
025 第二十五回　　皮奉山開當鋪　潘彩臣拔劣跡
026 第二十六回　　匪友聚會　捕廳赴宴
027 第二十七回　　皮奉山生子　包青天出京
028 第二十八回　　孫大理顯靈喊冤　包公出牌示招告
029 第二十九回　　孝姑替父鳴冤　包公檢驗大審
030 第三十回　　立拿毛郎二賊　求雨壇前認屍
031 第三十一回　　官媒婆鎖拿強氏　用非刑復審定罪
032 第三十二回　　新建包公祠　皮府大筵宴
