001 第一回　　周太史隱居歸仙闕　賢公子祭掃遇妖狐
002 第二回　　玉面狐幻化胡小姐　癡公子書室候佳期
003 第三回　　玉面狐採陽補陰　周公子貪歡致病
004 第四回　　玉面狐興心食童男　小延壽摘果妖喪命
005 第五回　　李蒼頭忠心勸幼主　周公子計瞞老家人
006 第六回　　眾佃戶拙計捕妖狐　老蒼頭收埋壽兒骨
007 第七回　　癡公子怒叱蒼頭　眾莊丁定計擒妖
008 第八回　　妖狐吐丹唬莊漢　書齋媚語探周生
009 第九回　　老蒼頭搶槍打妖狐　化天橋欲瞞眾莊客
010 第一十回　　嵯岈洞眾狐定計　老蒼頭延師治妖
011 第十一回　　迎喜觀王道捉妖　青石山妖狐鬥法
012 第十二回　　半仙周府黏符　眾狐荊抽王道人
013 第十三回　　王老道回觀邀眾友　老蒼頭書齋搭經台
014 第十四回　　群狐大鬧撕神像　老祖令召呂真人
015 第十五回　　呂祖金丹救周信　群妖法台見真人
016 第十六回　　法台上呂祖勸妖狐　半虛空真人鬥道法
017 第十七回　　呂真人淨室請天兵　托天王兵臨青石山
018 第十八回　　天兵大戰眾妖狐　識天機雲鳳歸山
019 第十九回　　青石山眾妖遭焚　玉面狐變蚊脫罩
020 第二十回　　天將妖狐鬥變化　神鷹仙犬把妖擒
021 第二十一回　　太平莊真人審妖　李天王回歸金闕
022 第二十二回　　運玄機重生小延壽　憐物命饒放玉面狐
