001 第一回　　老侍郎兔鶻題詩童子笑　村先生龍蛇染翰美人驚
002 第二回　　欲坦東床先引良人開絳帳　要爭西席旁牽野蔓繫紅絲
003 第三回　　驚座賣才自是佳人覓夫婿　當場塗面何殊醜婦見公婆
004 第四回　　逼才子題詩引賊入室　薦春卿促駕調虎離山
005 第五回　　才自憐才只一言而婚姻定　惡偏黨惡早多謀而機詐生
006 第六回　　慧女心靈用假聘消真禍　奸人計拙裝暗鬼哄明人
007 第八回　　償金贖聘有心用術反墮人術中　信筆題詩無意求婚早攛身婚內
008 第九回　　無心羅雀羅得了一網全收　有意釣魚釣不著兩頭齊跳
009 第十回　　卜公子使勢老拳頭送客　管小姐弄巧乞兒救人
010 第十二回　　管小姐巧用鬆鬆中著緊　卜公子強尋死死裡逃生
011 第十四回　　卜公子驚欲死而惡夢顛狂　長孫肖想不了而詩箋喪失
012 第十五回　　老丞相一怒害人情性惡　小書生兩番登第姓名香
013 第十六回　　長孫肖不忘生死請旨歸娶報深仇　管青眉巧變姓名暗地養姑行大孝
014 第十七回　　祖夫人捨不得捉李代桃　卜公了慌殺了移花接木
015 第十八回　　管不聞婉轉探才費小心　卜紅絲信筆題詩存大禮
016 第十九回　　二小姐驚驚喜喜說幽心　兩尚書真真假假討情面
017 第二十回　　乍相見未說破猶自疑　大團圓看分明方知巧
