001 第一回　　老狐禪微言皆中　小妖魅改念受誅
002 第二回　　能聚神魂方說劍　指明罪孽使投胎
003 第三回　　頻聞欠歲凶荒至　三請明師特地來
004 第四回　　邀得劍仙來府第　創成藝圃啟蒙童
005 第五回　　選子女滿堂學藝　貪色慾一劍除根
006 第六回　　福王受劍仙冷落　韓氏因勞瘵雲亡
007 第七回　　上新墳乍知春色　試畋獵埋卻前骸
008 第八回　　莊務初歸纖女手　家園全仗劍仙圖
009 第九回　　女庶子點驗家口　福藩王面試文才
010 第十回　　嬌容莫辨真堪笑　武藝超群盡吃驚
011 第十一回　　藝圃匾聯粗擬就　徵詩文啟早傳揚
012 第十二回　　詩社共吟題裡句　枕函如對鏡中人
013 第十三回　　評詩句咸欽卓識　賞荷花足暢幽情
014 第十四回　　王莊試武開關鍵　周府爭華設戲筵
015 第十五回　　已見睡情方竊笑　欲誇武藝反投誠
016 第十六回　　丹詔寵榮加美號　黑心肆意使奸謀
017 第十七回　　御苑試文武技藝　鄰家逗男女春情
018 第十八回　　游賜第淫心畢露　繳資財庫藏充盈
019 第十九回　　大閱歸來傳相術　陛辭就道耀兵威
020 第二十回　　滅寇成功留後勁　施金普賑贖前愆
021 第二十一回　　隔牆有耳聽春意　面帝陳情齎寵恩
022 第二十二回　　封侯帝女堪驚世　狂病王妃快隱情
023 第二十三回　　曠女新婚初識味　藩王續娶舊知音
024 第二十四回　　會新親當場出丑　因賞月即席議題
025 第二十五回　　擬賦聯吟羞擱筆　作詩又倩湊成章
026 第二十六回　　形影暫分因有後　師徒泣別奔前程
027 第二十七回　　運機宜試收妖蟒　論伎倆可笑妄人
028 第二十八回　　任俠懲貪寬縲紲　引魔入火識奸邪
029 第二十九回　　三雅沉酣迷色相　二形煽惑縱春情
030 第三十回　　秀士家風誠古樸　龍陽嫵媚忒新奇
031 第三十一回　　收桑二蟒妖銜術　殪珠泉父女殉身
032 第三十二回　　陰陽顛倒真堪異　婢僕尊崇非昔時
033 第三十三回　　重來賜第藏行跡　再敘前緣話夙因
034 第三十四回　　劍仙陰護空中至　長史窮途意外逢
035 第三十五回　　仇讎骨肉充燈燭　道路災殃幾死生
036 第三十六回　　睹人形方知險惡　遇方外莫悉因由
037 第三十七回　　形骸一一風為掃　山洞空空劍自留
038 第三十八回　　坤德侯莊還如舊　無礙子劍復會津
039 第三十九回　　豈意王莊來舊識　不圖雅奏入科儀
040 第四十回　　遺道演成驚俗眼　雄狐造就返仙蹤
041 第四十一回　　無知妄想興波浪　弄假成真獲罪愆
042 第四十二回　　延宗授產分支派　隱跡傳書囑後昆
