001 畫圖緣 17958 第一回 　　別開仕路下詔求賢　巧遇仙人授圖察賊
002 畫圖緣 17959 第二回 　　花天荷感仙傳挺身呈妙策　桑元戎惑讒言無意出奇兵
003 畫圖緣 17960 第三回 　　過路客認畫圖直游秘室　奉公差執牌票誤捉閒人
004 畫圖緣 17961 第四回 　　學霸相公受飽老拳之辱　家藏公子感不識面之恩
005 畫圖緣 17962 第五回 　　三生知己奔走粵中　二美憐才徘徊花下
006 畫圖緣 17963 第六回 　　智監軍呆折本巧釋冤　惡秀才明害人暗吃苦
007 畫圖緣 17964 第七回 　　花氏子吞鉤餌一段姻緣　柳家郎竊彤管兩番酬和
008 畫圖緣 17965 第八回 　　逼友題詩留心窺破綻　代弟聯吟當面弄機關
009 畫圖緣 17966 第九回 　　出自名借聘定他人之婚　托別故說親作本家之伐
010 畫圖緣 17967 第十回 　　俠男兒立崖岸明拒檄文　智才女識權變暗施妙計
011 畫圖緣 17968 第十一回 　　花大本逼子占高魁　夏按察薦賢膺重任
012 畫圖緣 17969 第十二回 　　賴徒夫死裡獲生機　花總戎美中尋不足
013 畫圖緣 17970 第十三回 　　亟催婚愈急疑李即桃　再睹面始真悟梅代杏
014 畫圖緣 17971 第十四回 　　喬裝丈母硬主婚　鶻突媒人空著急
015 畫圖緣 17972 第十五回 　　美恩愛親折證方得分明　好姻緣各揣摩尚多疑慮
016 畫圖緣 17973 第十六回 　　認花田俏佳人得婿　平峒賊大丈夫封候
