001 白圭志 1576 第一回 　　小梅村衡才施德　大江口方山遇孩
002 白圭志 1577 第二回 　　絕張宏廬山從學　遇菊英月下訂盟
003 白圭志 1578 第三回 　　建章無意遇緣人　美玉醉狂招橫禍
004 白圭志 1579 第四回 　　後花園小姐投古井　前陽山菊英遇鬼緣
005 白圭志 1580 第五回 　　美玉張村冒庭瑞　菊英洞房識奸人
006 白圭志 1581 第六回 　　劉小姐唱和有意詩　張美玉招引無頭禍
007 白圭志 1582 第七回 　　朱子壋劉忠得夢　城隆廟張宏殺身
008 白圭志 1583 第八回 　　說新文絕斷劉園約　講道德掩倒吳江盟
009 白圭志 1584 第九回 　　假書生妙論驚巡按　真才女奇文奪會魁
010 白圭志 1585 第十回 　　德泉庵道士解夢　文華殿聖主招婿
011 白圭志 1586 第十一回 　　張狀元衣錦還鄉　武探花居喪守服
012 白圭志 1587 第十二回 　　祭城隍劉張三結盟　接聖旨兄妹兩承恩
013 白圭志 1588 第十三回 　　考江寧王彥奇雙士　拜張村庭瑞荐兩賢
014 白圭志 1589 第十四回 　　文華殿六才並試　絲綸閣四女均潛
015 白圭志 1590 第十五回 　　選宮妃秀菊雙被執　招駙馬登華兩成婚
016 白圭志 1591 第十六回 　　紫微省二才成佳偶　懷遠樓二姓畢奇婚
