000 本書說明
001 序
002 第一回　　耿寡婦為子延師　　瞿先生守身矢節
003 第二回　　醉後兔兒追舊債　　夜深碩士受飛菑
004 第三回　　二真仙奇遇傳方　　裘五福巧言構釁
005 第四回　　聽讒言潑皮興大訟　　遇知己老穆訴衷情
006 第五回　　裘教唆硬證報仇　　陸夫人酬恩反目
007 第六回　　商天理肆惡辱明醫　　秋杰士奮威誅劇賊
008 第七回　　窺珠玉諸凶謀害　　觀梅雪二友和詩
009 第八回　　舞大刀秋僑演武　　拜花燭耿憲成親
010 第九回　　戀美色書生錯配　　貪厚贈老嫗求婚
011 第十回　　慶生辰妯娌分顏　　慪閒氣大家得病
012 第十一回　　全孝義郁氏善言　　看風水葛鷦詭計
013 第十二回　　寫議單敗子賣墳山　　假借宿禿囚探消息
014 第十三回　　華如剛藏機破法　　龔敬南看鷂消閒
015 第十四回　　凌老道華禿死　　奸養師母耿郎送地
016 第十五回　　躍金鯉孝子葬親　　築高壇真人發檄
017 第十六回　　葉煉師回神復旨　　張氏女妒孕生情
018 第十七回　　問肚仙半夜有餘　　薦醫士一字不識
019 第十八回　　全伯通巧處生情　　郁院君夢中顯聖
020 第十九回　　五彩落水全生定　　媚姐思兒得受病
021 第二十回　　瞿廷柏母子重逢　　劉廉訪弟兄蒞任
022 第二十一回　　好施小惠恒招禍　　急為偷生反喪軀
023 第二十二回　　叛獄賊市口遭刑　　燒香客廟前鬥寶
024 第二十三回　　惡公子見財起意　　老闍黎直口訴冤
025 第二十四回　　存公道猴蟹歸原　　正法度主僕受責
026 第二十五回　　木馬驛劍俠談心　　蒙山洞苗酋作亂
027 第二十六回　　眾百姓鼓勇逐蛇　　三洞主改邪歸正
028 第二十七回　　劉仁軌激蠻攻蠻　　骨查臘用計中計
029 第二十八回　　墨頂朱衝波救主　　哈一喃出獵興兵
030 第二十九回　　崆峒嶺二賢敘舊　　龍門府四將攻城
031 第三十回　　愛良馬番將獻謀　　掛數珠猢猻念佛
032 第三十一回　　黃鼠數枚神馬伏　　奇童三矢異僧亡
033 第三十二回　　劉經略執旗督陣　　瞿司理上表辭官
034 第三十三回　　瞿二郎吞符卻病　　黨氏女刺繡見妖
035 第三十四回　　藍面鬼撲捉黨翼兒　　大將軍錘擊滑道士
036 第三十五回　　瞿氏子放雷逐怪　　車雲甫挺斧劈邪
037 第三十六回　　攝魂和尚訴真情　　覓利黃冠謀放債
038 第三十七回　　厚贈侍兒為妾媵　　議芟權惡謁相知
039 第三十八回　　印常侍利口飾非　　許侍郎庇奸獲罪
040 第三十九回　　眾冤魂夜舞顯靈　　三異物宵徵降禍
041 第四十回　　散符療疫陰功大　　掘鼠開疑識見多
042 第四十一回　　白馬寺懷義嫉賢　　大峽山羊雷仗義
043 第四十二回　　卞心泉賂貴救親　　羊大郎肆凶拒捕
044 第四十三回　　三戒銘心權避跡　　一餐大嚼定交情
045 第四十四回　　嘍囉贈寶救冤民　　孔目收金寬獄犯
046 第四十五回　　二寨主停杯審事　　四冤犯遇赦遠奔
047 第四十六回　　俠士戮奸伸大義　　簿司移釁詐平民
048 第四十七回　　談積弊防禦明心　　試神臂二雄納款
049 第四十八回　　告病還鄉期避世　　割襟為聘結良緣
050 第四十九回　　顧大郎為弟求醫　　顏氏女訴冤索命
051 第五十回　　程員外聆音擇婿　　張別駕設計傾賢
052 第五十一回　　南明山玩景遇饑民　　西屏嶺焚祠驅孽鱷
053 第五十二回　　赴井泉棄名避世　　隱巖壑斂跡修真
054 第五十三回　　棲霞洞四道敵魔　　毗離村七仙入聖
