000 本書說明
001 第一回　　高丞相直諫闢邪　林將軍急流勇退
002 第二回　　鍾愛兒圓慧出家　梁武帝金鑾聽講
003 第三回　　林長老除孽安民　丘縣尹薦賢禮釋
004 第四回　　妙相寺王妃祝壽　安平村苗二設謀
005 第五回　　大俠夜闌降盜賊　淫僧夢裏害相思
006 第六回　　說風情趙尼畫策　赴佛會賽玉中機
007 第七回　　繡閨禪室兩心通　淫婦姦僧雙願逐
008 第八回　　信婆唆沈全逃難　全友誼澹然直言
009 第九回　　害忠良守淨獻讒　逃災難澹然遇舊
010 第十回　　貪利工人生歹意　知恩店主犯官刑
011 第十一回　　彌勒寺苗龍敘情　武平郡杜帥訪信
012 第十二回　　都督巧計解僧頭　守淨狼心驗枕骨
013 第十三回　　桂姐遺腹誕佳兒　長老借宿擒怪物
014 第十四回　　得天書符救李秀　正夫綱義激沈全
015 第十五回　　佞子妙相寺遭殃　奸黨風尾林中箭
016 第十六回　　奪先鋒諸將鬥勇　定埋伏陳玉鏖兵
017 第十七回　　古崤關啜守存孤　張老莊伏邪皈正
018 第十八回　　梁武帝愎諫納降　虞天敏感妻死節
019 第十九回　　司農忠憤大興師　梁武幽囚甘餓死
020 第二十回　　都督冥府指翁孫　阿醜書堂弄師父
021 第二十一回　　竊天書後園遣將　破妖術古剎誅邪
022 第二十二回　　張氏園中三義俠　隔塵溪畔二仙舟
023 第二十三回　　清虛境天主延賓　孟門山杜郎結義
024 第二十四回　　伏威計奪勝金姐　賢士教唆桑皮觔
025 第二十五回　　遭屈陷叔姪下獄　反囹圄俊傑報讎
026 第二十六回　　山徑逃蹤鋤禿惡　黃河訪故阻官兵
027 第二十七回　　計詐降薛舉破敵　圖霸業伏威求賢
028 第二十八回　　湯府丞中計敗兵　杜元帥納言正位
029 第二十九回　　軒轅廟蘇朴遭擒　延州府伏威遇弟
030 第三十回　　沈蘭劫寨陷全軍　牛進迎街懲大惡
031 第三十一回　　報讎瀝血祭先靈　釋怨營墳安父骨
032 第三十二回　　張善相夢中配偶　段春香月下佳期
033 第三十三回　　計入香閨貽異寶　俠逢朔郡慶良緣
034 第三十四回　　善相破法斬馮謙　士開解圍推段帥
035 第三十五回　　元帥兵陷苦株灣　眾俠同心歸齊國
036 第三十六回　　雙玉人重逢合巹　三義俠衣錦還鄉
037 第三十七回　　羅默伽肆兇受戮　尹氏女盡節還魂
038 第三十八回　　土地爭位動陰兵　孽虎改邪皈釋教
039 第三十九回　　順天時三俠稱王　宴李諤諸賢逞法
040 第四十回　　禪師坐化證菩提　三主雲遊成大道
