001 第一回　　禪關花證三生果　幻境珠還再世緣
002 第二回　　西域賣珠致奇福　南州賑粟荷隆恩
003 第三回　　賢郡主鸞誥膺封　癡郎君虹堤奏績
004 第四回　　諧鳳卜珠環賜巹　懲鳩占金傷別離
005 第五回　　償舊債一樣葫蘆　荷新封兩般翟□▉
006 第六回　　秋閣感情收蕙妾　冬閨集豔拜蓉仙
007 第七回　　子盜母青蚨盡散　弟如兄赤棒重施
008 第八回　　懷舊德設法平反　趁新年分題酬唱
009 第九回　　眾美聯袂雅制燈謎　群盜掛帆偷開米禁
010 第十回　　幻作真徵兵姽嫿　直報怨拿問趙全
011 第十一回　　再嫁婢羞侍餞筵　九秩妃歡尋壽宴
012 第十二回　　夫貴妻榮新任赴　女淫男盜宿愆償
013 第十三回　　無可奈何羅巾忿縊　似曾相識團扇羞遮
014 第十四回　　憾舊事棄婢潑水　發新令名姬選花
015 第十五回　　暗調笑派守芙蓉祠　明糟蹋裸受桃花板
016 第十六回　　呆霸王稠桑遭慘報　小學士醉竹荷殊恩
017 第十七回　　評詩畫風窠三集　宜嫁娶鵲渡雙圓
018 第十八回　　被膚訴侍妾含冤　剖心事太君悔過
019 第十九回　　怡紅院洗兒開宴　櫳翠庵夢姊貽詩
020 第二十回　　賈仲妃鳳藻承恩　史湘雲虎闈盼捷
021 第二十一回　　孝女代懺釋重愆　仙妃行權判庶獄
022 第二十二回　　老客談心露洋弊　中丞赴任論官常
023 第二十三回　　天妃閘祖孫授法　仙女廟姊弟奇逢
024 第二十四回　　林解元山祠得佳偶　芮勇士湖舫露真才
025 第二十五回　　奴欺主王邢受刑　男作女香玉賣解
026 第二十六回　　壯士軍中求故劍　美人帳裡戮殊魁
027 第二十七回　　番邦女轉世聯芳　狀元妻故鄉撒谷
028 第二十八回　　未免有情酬月老　似曾相識畫花神
029 第二十九回　　窈窕女投水悟前因　薄倖郎摧花膺現報
030 第三十回　　七旬翁開筵慶壽　十二美分屋藏嬌
031 第三十一回　　匯群芳夢中說夢　結全案圓後重圓
