001 第一回　　警幻仙情圓風世因　絳珠女魂遊太虛境
002 第二回　　願遂三生珠輝洛浦　緣成隔世玉粹藍田
003 第三回　　賈寶玉忿語激新偕　林顰卿微詞舒舊恨
004 第四回　　洽深情香盒俱軟玉　持正論淑德立賢箴
005 第五回　　光府第寶玉中鄉魁　返塵寰湘蓮求妙偶
006 第六回　　矢志持家累儲巨富　含悲認弟聯捷春闈
007 第七回　　林瓊玉孝讓分財　賈繹罷天恩特寵
008 第八回　　狗命奴刁謀隕命　義俠士奇遇成婚
009 第九回　　史湘雲重徵蝴蝶詩　林瓊玉雙效鸞凰侶
010 第十回　　頒御宴賀喜閒新娘　續前緣借屍還豔魄
011 第十一回　　載瓦弄璋醵金作宴　登樓度沼酌意題聯
012 第十二回　　遊目騁懷賞心樂事　群芳濃豔美景良辰
013 第十三回　　紅香圃分題花月吟　碧韻軒共議輪台會
014 第十四回　　燈月雙輝紅樓介壽　笙歌雜沓碧沼騰光
015 第十五回　　淑平兒欣麒麟兆　慧晴雯補題花月吟
016 第十六回　　深悟道雙玉談因　小遊仙群釵入夢
017 第十七回　　芳情繾綣卜緣續緣　蜜意徘徊尋夢補夢
018 第十八回　　王熙鳳孽劫歸泉　柳湘蓮奇功靖寇
019 第十九回　　雪夜吟詩樓台皎潔　春宵開甕衾枕歡娛
020 第二十回　　秘閨情群姬舒媚態　聯宴會三美逞奇能
021 第二十一回　　比美方容定評甲乙　葬花祭雪感格神靈
022 第二十二回　　誕雙生千人湯餅會　膺一品五世綽綸恩
023 第二十三回　　驚惡夢勘破情魔　訴幽情覺述夢幻
024 第二十四回　　心蕩漾翠被困春情　意纏綿紅樓醒幻夢
