001 第一回　　幻虛境冊開因果　大觀園夢啟情緣
002 第二回　　為恩情賈郎游地獄　還孽債鳳姐說藏珠
003 第三回　　係朱繩美人夢覺　服靈藥慈母病痊
004 第四回　　稽首蓮台萬緣獨立　相逢萍水一諾千金
005 第五回　　賈郎君纏綿銷宿帳　祝夫人邂逅結因緣
006 第六回　　釋冤仇一尊金佛　立心願兩粒明珠
007 第七回　　老庵主自言隱事　小郎君代說衷情
008 第八回　　故作情濃心非惜玉　溫存杯酒意在埋金
009 第九回　　柳夫人感恩歸裡　賈郎君懺孽修橋
010 第十回　　慶端陽夫妻分袂　敘家事姑表聯姻
011 第十一回　　柏夫人船房繼女　張姑娘飛彈驚人
012 第十二回　　皮老爺無心獲盜　祝公子有意鄰船
013 第十三回　　贈佩盟心綠楊城郭　淚痕留面風雨歸舟
014 第十四回　　松節度平山獎婿　林小姐石匣埋真
015 第十五回　　俏郎君夢中逢丑婦　相思女紙上遇知音
016 第十六回　　承瑛堂情悲叔姪　瓶花閣興掃癡婆
017 第十七回　　奉慈恩因悲定媳　消郎悶眾美聯芳
018 第十八回　　金雀一枝催酒陣　銀鉤滿幅寫芳名
019 第十九回　　魏紫簫燈前鴛譜　周婉貞膝上蓮鉤
020 第二十回　　俏姑娘甘心冷淡　冷小姐羞對荷花
021 第二十一回　　巧語說風情不妨畫卯　苦心嘗藥味慨試鸞刀
022 第二十二回　　書帶姐飲酒譏秀　慈太君嘗面憐簫
023 第二十三回　　說私情耳邊絮語　談苦況窗外知音
024 第二十四回　　窮侍兒忽然發跡　瘋和尚隨意高歌
025 第二十五回　　介壽堂籌添海屋　瓶花閣淚出情腸
026 第二十六回　　聽佳音私心竊喜　吞小影獨解相思
027 第二十七回　　小郎君傷情抱病　老壽母歡喜含悲
028 第二十八回　　慰病兒片言三合　傷往事一淚雙關
029 第二十九回　　石羅漢先失後得　角先生移東補西
030 第三十回　　感姻親金陵修屋　重交接榮府談心
031 第三十一回　　杜麻子門房尋樂　慧哥兒膝下追歡
032 第三十二回　　賈平兒灑淚定佳郎　劉大人熱心得恒產
033 第三十三回　　老尚書思家說夢　小姑娘留客唱歌
034 第三十四回　　林主管操持售宅　美裙釵談笑救焚
035 第三十五回　　會新親譜聯姐妹　重親誼喜定蟾珠
036 第三十六回　　追往事風雨離情　論慈恩芙蓉拜母
037 第三十七回　　薛寶釵喜接家書　柳夫人寄言志感
038 第三十八回　　慷慨贈金一人獨任　垂涎妙玉眾賊遭擒
039 第三十九回　　薛寶月去尼還俗　夏金桂附體顯靈
040 第四十回　　胡月生感緣訂良配　薛寶釵諧語解離愁
041 第四十一回　　賈珍珠因驚得妹　韓搗鬼為色亡身
042 第四十二　　脫官司移花接木　免俗套醉酒長亭
043 第四十三回　　賈茗煙街前遇故主　祝夢玉夢裡見佳人
044 第四十四回　　薛姨媽無心獲玉　王舅母稱願結姻
045 第四十五回　　甘露寺禪房花燭　介壽堂忍慟會親
046 第四十六回　　石夫人重後節哀　桑奶子逞凶撒潑
047 第四十七回　　周婉貞偷閒說命　梅香月見鬼擒人
048 第四十八回　　榮國府分金睦族　大觀園對畫傷情
049 第四十九回　　賈郎君舟中結秦晉　桂太守堤上拜神僧
050 第五十回　　梅香月對書獎婿　賈珍珠即景悲人
051 第五十一回　　雲巢庵寶釵題畫　金山寺珍珠投江
052 第五十二回　　對長江王夫人哭女　奠杯酒祝公子悲珠
